feature,gate,pearson,spearman,kendall,nmi,distance_corr
gross_inadv_interchange_mw,0.73521864,0.79199195,0.7628525,0.5690381,0.20209639,0.73475164
gross_sched_interchange_mw,0.6535306,0.4755776,0.44697994,0.32059655,0.062523216,0.43841583
gen_fuel_nuclear_mw,0.63386416,0.3467997,0.36801296,0.28245848,0.07335267,0.39888975
gen_fuel_coal_mw,0.6262851,0.38511184,0.3600225,0.2280482,0.042490024,0.3274274
forecast_load_mw_latest_available,0.6226131,0.33421966,0.3663112,0.22916141,0.0526354,0.31593087
gen_fuel_gas_mw,0.62059283,0.32080358,0.34796408,0.23539421,0.041153695,0.3245471
total_pjm_reg_purchases,0.6191497,0.33870372,0.34275055,0.21614401,0.039573457,0.30736977
marginal_loss_price_rt,0.6185874,0.08709686,0.3438425,0.25103056,0.34304237,0.3108414
gen_fuel_coal_pct,0.61823595,0.3469839,0.33265147,0.20139074,0.044204816,0.30423555
system_energy_price_da,0.6150299,0.29539046,0.34061974,0.21751325,0.05450354,0.28705588
total_pjm_assigned_reg,0.6143151,0.30101323,0.31451124,0.21356456,0.039422553,0.311638
forecast_load_mw_day_ahead,0.61002254,0.27664816,0.31160662,0.20768869,0.036496982,0.28894252
gen_fuel_nuclear_pct,0.6060242,0.2637391,0.26374662,0.20721011,0.03978431,0.29462385
total_lmp_rt,0.6042784,0.09732042,0.28279912,0.2116764,0.26754564,0.25467148
gen_fuel_solar_pct,0.6012845,0.28862607,0.23371352,0.17025487,0.029658912,0.27102056
gen_fuel_solar_mw,0.5965288,0.27122483,0.20722449,0.14689621,0.031714875,0.26860645
total_pjm_rmccp_cr,0.5913498,0.060150437,0.21432616,0.1553519,0.31394184,0.19893318
gen_fuel_other_renewables_pct,0.5884219,0.22358532,0.19726394,0.1618593,0.033477616,0.2087583
gen_fuel_multiple_fuels_mw,0.58826244,0.19115947,0.21227945,0.15813565,0.023386208,0.23552296
da_as_ss_mw_thirty_minutes_reserve,0.5876123,0.19208893,0.21004172,0.15366654,0.03736514,0.2213835
rmccp,0.5859584,0.044935912,0.16987272,0.14437114,0.30659312,0.20187655
da_as_ss_mw_primary_reserve,0.5853171,0.1851081,0.1900735,0.15012592,0.03277312,0.2244641
gen_fuel_gas_pct,0.584594,0.21045409,0.18927184,0.1373147,0.017008705,0.21072479
gen_fuel_oil_mw,0.58340764,0.1846985,0.16092063,0.13405596,0.050723847,0.22785713
gen_fuel_storage_mw,0.58203965,0.19666272,0.18136747,0.15075739,0.028917987,0.18068987
gen_fuel_other_renewables_mw,0.5811397,0.16535462,0.17695655,0.1361997,0.029914182,0.21598873
da_as_ss_mw_synchronized_reserve,0.58058614,0.16391516,0.17244221,0.14890553,0.020561077,0.21205813
gen_fuel_oil_pct,0.57996017,0.21613902,0.15143839,0.10329207,0.029458925,0.19844101
gen_fuel_multiple_fuels_pct,0.5776558,0.16478671,0.18230218,0.12303691,0.01935461,0.18351032
da_as_as_req_mw_primary_reserve,0.57010454,0.088483796,0.1678515,0.14420076,0.08233397,0.11687512
da_as_as_req_mw_synchronized_reserve,0.56666166,0.1009401,0.16797847,0.113327034,0.0656176,0.094745636
net_inadv_interchange_mw,0.5634705,0.10561247,0.10544287,0.11149029,0.0011023672,0.15954523
da_as_as_req_mw_thirty_minutes_reserve,0.558409,0.08896611,0.124712944,0.090796165,0.048461724,0.07324095
total_pjm_rmpcp_cr,0.5530678,0.020151302,0.09599565,0.08107439,0.030771302,0.124707475
da_as_nsr_mw_primary_reserve,0.5514725,0.089792185,0.08005867,0.036380477,0.023560675,0.086794056
gen_fuel_hydro_mw,0.5508197,0.10177554,0.050789673,0.0053718747,0.022565773,0.119147934
total_pjm_loc_credit,0.5477337,0.02655224,0.042726073,0.05952227,0.10443415,0.06486288
da_as_mcp_primary_reserve,0.54697657,0.051927637,0.0643492,0.049593583,0.013469552,0.08147544
gen_fuel_hydro_pct,0.54646206,0.024443053,0.02430707,0.027745808,0.030614614,0.14704922
da_as_mcp_synchronized_reserve,0.54526746,0.05008278,0.044272486,0.03861011,0.031592935,0.0764447
gen_fuel_wind_mw,0.5450419,0.04401851,0.02996741,0.054603197,0.014974363,0.0942284
gen_fuel_wind_pct,0.5449664,0.06834276,0.04187626,0.025307223,0.004771222,0.0857053
total_pjm_self_sched_reg,0.54036456,0.030167505,0.0220202,0.029924937,0.013888331,0.07600329
rmpcp,0.53949624,0.010776926,0.051448323,0.02574946,0.005633465,0.06491311
