ds,rep,h,K,M_audit均值,估计M_disc均值,C1_估计减audit,C1_同数据认证减独立认证,C1_disc真值max减其在audit上,C2_L除以M_audit,C2_同数据L除以M_disc,C2_同数据召回,C2_召回,C2_见证一致,C5_Kendall,C5_档位一致,C3_τ0.5_跨越背景复现率,C3_τ0.5_关键字段召回,C3_τ0.7_跨越背景复现率,C3_τ0.7_关键字段召回,C4_估计强交互数,C4_audit上I大于0,C4_audit上I大于002,C4_audit强交互召回,C6_α0.05_audit覆盖率,C6_α0.05_紧度,C6_α0.01_audit覆盖率,C6_α0.01_紧度
pjm,0,0,0,0.12840876,0.117409706,-0.010999054,-0.012919382,-0.012919382,1.0,1.0,1.0,1.0,1.0,0.7642919192512867,0.8191056910569106,0.8571428571428571,0.75,1.0,1.0,,,,,,,,
pjm,0,0,1,0.22953741,0.21513511,-0.014402285,-0.0075988937,0.00015793923,0.8622581,0.9081442,0.7032520325203252,0.556910569105691,0.3394308943089431,0.7664043034125343,0.823170731707317,0.8258609486679662,0.8316831683168316,0.9599198396793587,0.7605633802816901,625.0,0.7808,0.6688,0.7491039426523297,0.733739837398374,0.01871444707039774,0.8902439024390244,0.06008733603421871
pjm,0,0,2,0.28305706,0.25617096,-0.026886102,-0.00032181953,0.038888257,0.76742727,0.83485675,0.43902439024390244,0.3008130081300813,0.13821138211382114,0.748425339461105,0.8272357723577236,0.7660044150110376,0.7887700534759359,0.9007753288613991,0.782608695652174,,,,,0.6605691056910569,0.010409971206956277,0.8678861788617886,0.052978707038290135
pjm,0,1,0,0.11548938,0.13315009,0.017660705,0.012919382,0.012919382,1.0,1.0,1.0,1.0,1.0,0.7592564151226302,0.8048780487804879,0.6451612903225806,1.0,1.0,1.0,,,,,,,,
pjm,0,1,1,0.209572,0.23842156,0.028849555,0.021415919,0.037211865,0.843673,0.86358976,0.6260162601626016,0.5121951219512195,0.3048780487804878,0.7397064971345696,0.8211382113821138,0.6578521316783594,0.8131868131868132,0.8488576449912126,0.9491525423728814,724.0,0.7361878453038674,0.5911602209944752,0.7358490566037735,0.9512195121951219,0.06774079891317335,0.9959349593495935,0.12248103105230257
pjm,0,1,2,0.2598097,0.27661812,0.016808411,0.02065255,0.07573208,0.76629025,0.77631766,0.3597560975609756,0.3008130081300813,0.11991869918699187,0.7746079164820947,0.8699186991869918,0.6345132304026213,0.95578231292517,0.6766755682928418,0.8816568047337278,,,,,0.9288617886178862,0.06546852920901,0.9939024390243902,0.12066447140452097
pjm,1,0,0,0.12741509,0.13646314,0.009048035,0.007291711,0.007291711,1.0,1.0,1.0,1.0,1.0,0.7620029383690005,0.823170731707317,0.78125,1.0,1.0,1.0,,,,,,,,
pjm,1,0,1,0.21714996,0.27639145,0.059241492,0.0043569594,0.022382312,0.7888721,0.77778184,0.5934959349593496,0.5223577235772358,0.3150406504065041,0.7440486911871304,0.717479674796748,0.7264254385964912,0.9404761904761905,0.865546218487395,0.9166666666666666,656.0,0.6524390243902439,0.5289634146341463,0.7703703703703704,0.9695121951219512,0.10486617157372033,1.0,0.16216495809167986
pjm,1,0,2,0.2770652,0.31404188,0.036976717,0.0056607937,0.044781096,0.6378252,0.6877408,0.30691056910569103,0.22764227642276422,0.11788617886178862,0.7084029240570797,0.7784552845528455,0.7165616895146351,0.980225988700565,0.7325935861480307,0.9725274725274725,,,,,0.8983739837398373,0.08468257239073272,0.959349593495935,0.12979916671699868
pjm,1,1,0,0.1347068,0.12288616,-0.011820635,-0.007291711,-0.007291711,1.0,1.0,1.0,1.0,1.0,0.6887789481894305,0.8170731707317073,0.8518518518518519,0.7666666666666667,1.0,1.0,,,,,,,,
pjm,1,1,1,0.22584805,0.26670805,0.040859994,0.00334088,0.003936824,0.67886025,0.7214375,0.3699186991869919,0.3475609756097561,0.22764227642276422,0.6888899846493132,0.709349593495935,0.8371187540558079,0.7823834196891192,0.9692898272552783,0.7469879518072289,860.0,0.6023255813953489,0.44302325581395346,0.7731707317073171,0.9329268292682927,0.08385459687541867,0.9979674796747967,0.15388222568009685
pjm,1,1,2,0.26518703,0.30842945,0.043242417,0.00974245,0.057427656,0.63381493,0.64180547,0.23577235772357724,0.19308943089430894,0.11178861788617886,0.6926765073735704,0.7439024390243902,0.7492737373222568,0.9375,0.8918179746258452,0.8364485981308412,,,,,0.943089430894309,0.08857630320438524,0.9979674796747967,0.1484176582482651
pjm,2,0,0,0.121040404,0.13566563,0.014625235,0.009826032,0.009826032,1.0,1.0,1.0,1.0,1.0,0.7325219307325496,0.8434959349593496,0.7241379310344828,0.9545454545454546,1.0,1.0,,,,,,,,
pjm,2,0,1,0.21072721,0.23313247,0.022405243,0.016339825,0.027721925,0.88176256,0.8925075,0.5650406504065041,0.5467479674796748,0.3150406504065041,0.7768332688384018,0.8191056910569106,0.7167290219134153,0.8888888888888888,0.8148760330578513,1.0,632.0,0.7863924050632911,0.560126582278481,0.774712643678161,0.967479674796748,0.05961772068062934,0.9979674796747967,0.11394455740455448
pjm,2,0,2,0.25556657,0.2707931,0.015226509,0.018997354,0.053923935,0.7733492,0.80018914,0.3475609756097561,0.22967479674796748,0.11178861788617886,0.7432598510910212,0.8617886178861789,0.7092608749844198,0.9550561797752809,0.6660847880299252,0.9751552795031055,,,,,0.9247967479674797,0.05843212044366249,0.9959349593495935,0.11326000544931589
pjm,2,1,0,0.13086645,0.122236036,-0.008630416,-0.009826032,-0.009826032,1.0,1.0,1.0,1.0,1.0,0.7389185262624977,0.8455284552845529,0.84,0.7777777777777778,1.0,1.0,,,,,,,,
