ds,caiso,caiso,caiso,pjm,pjm,pjm
K,0,1,2,0,1,2
M_audit均值,0.1736 ± 0.0054,0.2462 ± 0.0065,0.2716 ± 0.0075,0.1263 ± 0.0073,0.2199 ± 0.009,0.2686 ± 0.0109
估计M_disc均值,0.1754 ± 0.0055,0.2554 ± 0.0121,0.28 ± 0.012,0.128 ± 0.0085,0.2453 ± 0.0237,0.2852 ± 0.0234
C1_估计减audit,0.0018 ± 0.0108,0.0092 ± 0.016,0.0084 ± 0.017,0.0016 ± 0.0143,0.0254 ± 0.0261,0.0166 ± 0.0258
C1_同数据认证减独立认证,0.0 ± 0.0105,0.0038 ± 0.0107,0.0068 ± 0.0101,0.0 ± 0.0118,0.0056 ± 0.0119,0.0099 ± 0.0087
C1_disc真值max减其在audit上,0.0 ± 0.0105,0.0088 ± 0.0118,0.0233 ± 0.0134,0.0 ± 0.0118,0.0153 ± 0.0167,0.0507 ± 0.0159
C2_L除以M_audit,1.0 ± 0.0,0.9366 ± 0.0194,0.8817 ± 0.0168,1.0 ± 0.0,0.8077 ± 0.0771,0.7108 ± 0.0697
C2_同数据L除以M_disc,1.0 ± 0.0,0.9521 ± 0.0245,0.9076 ± 0.0239,1.0 ± 0.0,0.8322 ± 0.0751,0.7478 ± 0.0756
C2_同数据召回,1.0 ± 0.0,0.8242 ± 0.0762,0.5854 ± 0.0504,1.0 ± 0.0,0.5783 ± 0.1176,0.336 ± 0.0701
C2_召回,1.0 ± 0.0,0.7266 ± 0.0501,0.4387 ± 0.0373,1.0 ± 0.0,0.4956 ± 0.0804,0.2493 ± 0.0454
C2_见证一致,1.0 ± 0.0,0.3703 ± 0.034,0.1247 ± 0.0213,1.0 ± 0.0,0.3039 ± 0.041,0.1223 ± 0.0119
C5_Kendall,0.8563 ± 0.0076,0.8653 ± 0.0252,0.8556 ± 0.0228,0.741 ± 0.0301,0.7395 ± 0.0333,0.7324 ± 0.0309
C5_档位一致,0.8835 ± 0.012,0.8509 ± 0.0456,0.8642 ± 0.0388,0.8255 ± 0.0167,0.7795 ± 0.0556,0.8154 ± 0.0509
C3_τ0.5_跨越背景复现率,0.9448 ± 0.0626,0.8855 ± 0.0445,0.8095 ± 0.0712,0.7833 ± 0.089,0.7661 ± 0.0796,0.7287 ± 0.059
C3_τ0.5_关键字段召回,0.9625 ± 0.038,0.8847 ± 0.0729,0.9312 ± 0.0412,0.8748 ± 0.128,0.8485 ± 0.0597,0.917 ± 0.074
C3_τ0.7_跨越背景复现率,0.9565 ± 0.0401,0.9255 ± 0.0365,0.9044 ± 0.0239,1.0 ± 0.0,0.9045 ± 0.0727,0.7995 ± 0.1267
C3_τ0.7_关键字段召回,0.9658 ± 0.0433,0.9388 ± 0.0439,0.9336 ± 0.0447,1.0 ± 0.0,0.8482 ± 0.1271,0.8656 ± 0.1006
C4_估计强交互数,nan ± nan,708.8333 ± 78.6206,nan ± nan,nan ± nan,693.3333 ± 93.2326,nan ± nan
C4_audit上I大于0,nan ± nan,0.9522 ± 0.0372,nan ± nan,nan ± nan,0.7094 ± 0.0765,nan ± nan
C4_audit上I大于002,nan ± nan,0.8826 ± 0.0403,nan ± nan,nan ± nan,0.5599 ± 0.0778,nan ± nan
C4_audit强交互召回,nan ± nan,0.9209 ± 0.0174,nan ± nan,nan ± nan,0.7555 ± 0.0209,nan ± nan
C6_α0.05_audit覆盖率,nan ± nan,0.815 ± 0.1048,0.8127 ± 0.1106,nan ± nan,0.8987 ± 0.0992,0.8696 ± 0.1116
C6_α0.05_紧度,nan ± nan,0.0297 ± 0.0164,0.0314 ± 0.0175,nan ± nan,0.0645 ± 0.0307,0.0602 ± 0.0295
C6_α0.01_audit覆盖率,nan ± nan,0.9614 ± 0.031,0.9431 ± 0.039,nan ± nan,0.9715 ± 0.0469,0.9597 ± 0.0528
C6_α0.01_紧度,nan ± nan,0.0603 ± 0.0166,0.057 ± 0.0178,nan ± nan,0.1206 ± 0.0382,0.1118 ± 0.034
