field,probe_r2,model_r2,delta,used
net_actual_interchange_mw,0.2481899560136845,-1.9254083633422852,-2.17359831935597,False
gross_actual_interchange_mw,0.2460934792895835,-0.5567127466201782,-0.8028062259097617,False
total_gen,0.9906449538219424,0.9539584927260876,-0.03668646109585483,True
metered_load_mw,0.9762308832723112,0.9733139742165804,-0.002916909055730832,True
total_losses,0.6540839836602339,0.5330101847648621,-0.12107379889537184,True
congestion_price_da,0.0475838272605031,0.16804367303848267,0.12045984577797957,True
congestion_price_rt,0.4561738508473963,0.44321662187576294,-0.012957228971633372,True
marginal_loss_price_da,0.4407231017762543,0.4613288640975952,0.020605762321340926,True
total_lmp_da,0.9299314144617218,0.8474479764699936,-0.08248343799172819,True
da_as_total_mw_primary_reserve,0.9752278189577616,0.9493704214692116,-0.025857397488549982,True
da_as_total_mw_synchronized_reserve,0.9418431110456468,0.9378755427896976,-0.003967568255949128,True
da_as_total_mw_thirty_minutes_reserve,0.4569040380045041,0.41422849893569946,-0.04267553906880461,True
