field,probe_r2,model_r2,delta,used
net_actual_interchange_mw,0.2481899560136845,0.7507741451263428,0.5025841891126583,True
gross_actual_interchange_mw,0.2460934792895835,0.7245482206344604,0.478454741344877,True
total_gen,0.9906449538219424,0.9835367202758789,-0.0071082335460634916,True
metered_load_mw,0.9762308832723112,0.9846855998039246,0.008454716531613338,True
total_losses,0.6540839836602339,0.7821319699287415,0.12804798626850755,True
congestion_price_da,0.0475838272605031,0.2809743881225586,0.2333905608620555,True
congestion_price_rt,0.4561738508473963,0.540056586265564,0.08388273541816765,True
marginal_loss_price_da,0.4407231017762543,0.713628888130188,0.2729057863539337,True
total_lmp_da,0.9299314144617218,0.9726265668869019,0.04269515242518007,True
da_as_total_mw_primary_reserve,0.9752278189577616,0.9444107413291931,-0.030817077628568446,True
da_as_total_mw_synchronized_reserve,0.9418431110456468,0.9089058637619019,-0.03293724728374492,True
da_as_total_mw_thirty_minutes_reserve,0.4569040380045041,0.7836112380027771,0.326707199998273,True
