kind,i,j,conf,est,truth
oracle,13,36,congestion_price_da,0.0,0.01676607131958
oracle,13,36,congestion_price_rt,0.00719519977402816,0.0099949836730957
oracle,13,36,da_as_total_mw_primary_reserve,0.004851505695933067,0.019395112991333
oracle,13,36,da_as_total_mw_synchronized_reserve,0.010175979402104018,0.0442661046981811
oracle,13,36,da_as_total_mw_thirty_minutes_reserve,0.005083519167539352,0.0217698812484741
oracle,13,36,gross_actual_interchange_mw,0.006023912327461911,0.0127245187759399
oracle,13,36,marginal_loss_price_da,0.003135150448608126,0.0290879607200622
oracle,13,36,metered_load_mw,0.022143232844135774,0.0576997399330139
oracle,13,36,net_actual_interchange_mw,-0.020112818846396152,0.0166123509407043
oracle,13,36,total_gen,0.017374023527684912,0.0513743162155151
oracle,13,36,total_lmp_da,0.012574539480724733,0.042773962020874
oracle,13,36,total_losses,-0.007893690782388108,0.020681619644165
oracle,16,35,congestion_price_da,0.004231524712334012,0.0140678882598876
oracle,16,35,congestion_price_rt,0.008987495991713113,0.0008285045623779
oracle,16,35,da_as_total_mw_primary_reserve,-0.012000411805227151,0.0042657256126403
oracle,16,35,da_as_total_mw_synchronized_reserve,0.013789735814980442,0.0172325372695922
oracle,16,35,da_as_total_mw_thirty_minutes_reserve,-0.009465967581933965,0.0405514240264892
oracle,16,35,gross_actual_interchange_mw,0.000787103044713966,0.0336709022521972
oracle,16,35,marginal_loss_price_da,0.005179929413361206,0.0223636031150817
oracle,16,35,metered_load_mw,0.023601714545886,0.0441191792488098
oracle,16,35,net_actual_interchange_mw,-0.028806123340867518,0.0190100669860839
oracle,16,35,total_gen,0.020035248802963035,0.039410650730133
oracle,16,35,total_lmp_da,0.007141241699096468,0.0415577888488769
oracle,16,35,total_losses,0.010397255188431598,0.047998309135437
oracle,10,41,congestion_price_da,-0.0006049458531692808,0.0058704614639282
oracle,10,41,congestion_price_rt,0.0,-0.0008634328842163
oracle,10,41,da_as_total_mw_primary_reserve,-0.0011678079447754453,0.0039055943489074
oracle,10,41,da_as_total_mw_synchronized_reserve,-0.0037524239004034232,0.0042616128921508
oracle,10,41,da_as_total_mw_thirty_minutes_reserve,-0.011534349014266088,0.003163993358612
oracle,10,41,gross_actual_interchange_mw,0.0087227463226216,0.0081071257591247
oracle,10,41,marginal_loss_price_da,-0.0034125398381334993,0.002274751663208
oracle,10,41,metered_load_mw,-0.01296940035560179,0.0095226764678955
oracle,10,41,net_actual_interchange_mw,0.002925513674225777,0.0054478645324707
oracle,10,41,total_gen,-0.011345014623198701,0.0097990632057189
oracle,10,41,total_lmp_da,-0.004866861509740472,0.0124357342720031
oracle,10,41,total_losses,0.00985822035841144,0.0034024715423583
