kind,i,j,conf,est,truth
oracle,13,36,congestion_price_da,0.0,0.01676607131958
oracle,13,36,congestion_price_rt,-0.00016832838960878505,0.0099949836730957
oracle,13,36,da_as_total_mw_primary_reserve,-0.005857281982653784,0.019395112991333
oracle,13,36,da_as_total_mw_synchronized_reserve,0.013943769137692241,0.0442661046981811
oracle,13,36,da_as_total_mw_thirty_minutes_reserve,-0.01059301299852966,0.0217698812484741
oracle,13,36,gross_actual_interchange_mw,0.0003373047506218807,0.0127245187759399
oracle,13,36,marginal_loss_price_da,-0.0020553885348117973,0.0290879607200622
oracle,13,36,metered_load_mw,-0.009571828984593411,0.0576997399330139
oracle,13,36,net_actual_interchange_mw,-0.022325085520609966,0.0166123509407043
oracle,13,36,total_gen,-0.016443793035166854,0.0513743162155151
oracle,13,36,total_lmp_da,-0.003934206812337915,0.042773962020874
oracle,13,36,total_losses,0.0,0.020681619644165
oracle,16,35,congestion_price_da,0.016951507221901974,0.0140678882598876
oracle,16,35,congestion_price_rt,0.0036956317393677107,0.0008285045623779
oracle,16,35,da_as_total_mw_primary_reserve,-0.011701044524552562,0.0042657256126403
oracle,16,35,da_as_total_mw_synchronized_reserve,0.016264101287772226,0.0172325372695922
oracle,16,35,da_as_total_mw_thirty_minutes_reserve,-0.013295331390578147,0.0405514240264892
oracle,16,35,gross_actual_interchange_mw,0.017015949876549308,0.0336709022521972
oracle,16,35,marginal_loss_price_da,-0.003643863796547131,0.0223636031150817
oracle,16,35,metered_load_mw,0.025596600354806265,0.0441191792488098
oracle,16,35,net_actual_interchange_mw,0.0017854596999888894,0.0190100669860839
oracle,16,35,total_gen,0.020613485601251647,0.039410650730133
oracle,16,35,total_lmp_da,0.0015268532830196024,0.0415577888488769
oracle,16,35,total_losses,0.020384720472630624,0.047998309135437
oracle,10,41,congestion_price_da,0.0012063792554899422,0.0058704614639282
oracle,10,41,congestion_price_rt,0.0,-0.0008634328842163
oracle,10,41,da_as_total_mw_primary_reserve,-0.009708510718299701,0.0039055943489074
oracle,10,41,da_as_total_mw_synchronized_reserve,0.002055765110319796,0.0042616128921508
oracle,10,41,da_as_total_mw_thirty_minutes_reserve,-0.009617241298280454,0.003163993358612
oracle,10,41,gross_actual_interchange_mw,0.0020795406957117013,0.0081071257591247
oracle,10,41,marginal_loss_price_da,0.0003219530985099084,0.002274751663208
oracle,10,41,metered_load_mw,-0.017682518551925153,0.0095226764678955
oracle,10,41,net_actual_interchange_mw,-0.026537276753688444,0.0054478645324707
oracle,10,41,total_gen,-0.022174708261830656,0.0097990632057189
oracle,10,41,total_lmp_da,-0.0036446898262499916,0.0124357342720031
oracle,10,41,total_losses,0.00019144787726699253,0.0034024715423583
oracle,9,22,congestion_price_da,0.0,0.012673795223236
oracle,9,22,congestion_price_rt,0.0,0.0042356252670288
oracle,9,22,da_as_total_mw_primary_reserve,0.014653341554475063,0.0193760395050048
oracle,9,22,da_as_total_mw_synchronized_reserve,0.013457070354367606,0.0261178612709045
oracle,9,22,da_as_total_mw_thirty_minutes_reserve,-0.0003952973287346673,0.0191448926925659
oracle,9,22,gross_actual_interchange_mw,-0.0014704667483280698,0.0052652955055236
oracle,9,22,marginal_loss_price_da,0.0,0.0086799263954162
oracle,9,22,metered_load_mw,-0.009854829243001517,0.0565495491027832
oracle,9,22,net_actual_interchange_mw,0.007846939398722719,0.0267882943153381
oracle,9,22,total_gen,-0.014134456429508058,0.0621256232261657
oracle,9,22,total_lmp_da,0.004955897482041838,0.0232561230659484
oracle,9,22,total_losses,0.00134578838191457,0.019276738166809
oracle,9,36,congestion_price_da,0.0,0.0016799569129943
oracle,9,36,congestion_price_rt,0.0,0.008369505405426
oracle,9,36,da_as_total_mw_primary_reserve,-0.002676919309564596,0.0073736906051635
oracle,9,36,da_as_total_mw_synchronized_reserve,0.01712351327677708,0.0333284139633178
oracle,9,36,da_as_total_mw_thirty_minutes_reserve,0.00295445352747592,0.0072484016418457
oracle,9,36,gross_actual_interchange_mw,0.0011313109580224356,0.0038378238677978
oracle,9,36,marginal_loss_price_da,0.0,0.0148350596427917
oracle,9,36,metered_load_mw,-0.0016033951571282623,0.068705141544342
oracle,9,36,net_actual_interchange_mw,0.003193848813981659,0.0305754542350769
oracle,9,36,total_gen,-0.00945850267561521,0.0626242160797119
oracle,9,36,total_lmp_da,0.0,0.0224086642265319
oracle,9,36,total_losses,0.018172458889762044,0.0675755739212036
oracle,40,43,congestion_price_da,0.07172003177634267,0.1007167696952819
oracle,40,43,congestion_price_rt,0.04137385359632795,0.0457895994186401
oracle,40,43,da_as_total_mw_primary_reserve,0.0,0.0023610591888427
oracle,40,43,da_as_total_mw_synchronized_reserve,0.005817274806123152,0.0156576633453369
oracle,40,43,da_as_total_mw_thirty_minutes_reserve,-0.005040023161382412,0.0183931589126586
oracle,40,43,gross_actual_interchange_mw,-0.0038728688636381348,0.0067638754844665
oracle,40,43,marginal_loss_price_da,-0.02144968222939947,0.0334909558296203
oracle,40,43,metered_load_mw,0.0946146806989403,0.0723851919174194
oracle,40,43,net_actual_interchange_mw,0.09495950920033092,0.1065487265586853
oracle,40,43,total_gen,0.1216415373233225,0.0941922664642334
oracle,40,43,total_lmp_da,0.03248870727001907,0.0414142608642578
oracle,40,43,total_losses,0.08993028432676453,0.1090519428253173
oracle,22,30,congestion_price_da,0.009092188738689444,0.0107396841049194
oracle,22,30,congestion_price_rt,0.0009977621054260144,-0.0020067691802978
oracle,22,30,da_as_total_mw_primary_reserve,0.015606714875063932,0.0319910645484924
