kind,i,j,conf,est,truth
oracle,13,36,congestion_price_da,0.00862844764424453,0.01676607131958
oracle,13,36,congestion_price_rt,-0.006173257157816581,0.0099949836730957
oracle,13,36,da_as_total_mw_primary_reserve,0.004656966731730328,0.019395112991333
oracle,13,36,da_as_total_mw_synchronized_reserve,0.012438289477770814,0.0442661046981811
oracle,13,36,da_as_total_mw_thirty_minutes_reserve,-0.03309092594557739,0.0217698812484741
oracle,13,36,gross_actual_interchange_mw,0.006813375736583915,0.0127245187759399
oracle,13,36,marginal_loss_price_da,0.008788301806510246,0.0290879607200622
oracle,13,36,metered_load_mw,0.0014973780400104886,0.0576997399330139
oracle,13,36,net_actual_interchange_mw,0.029993592879467124,0.0166123509407043
oracle,13,36,total_gen,0.0006346316071018654,0.0513743162155151
oracle,13,36,total_lmp_da,-0.003686041227890069,0.042773962020874
oracle,13,36,total_losses,0.0,0.020681619644165
oracle,16,35,congestion_price_da,0.0020369143176202087,0.0140678882598876
oracle,16,35,congestion_price_rt,-0.0025966848802644327,0.0008285045623779
oracle,16,35,da_as_total_mw_primary_reserve,-0.000775598265642885,0.0042657256126403
oracle,16,35,da_as_total_mw_synchronized_reserve,0.013283279926109115,0.0172325372695922
oracle,16,35,da_as_total_mw_thirty_minutes_reserve,0.007287858113672718,0.0405514240264892
oracle,16,35,gross_actual_interchange_mw,0.01862154796257698,0.0336709022521972
oracle,16,35,marginal_loss_price_da,0.003954988456458808,0.0223636031150817
oracle,16,35,metered_load_mw,0.015325141145431376,0.0441191792488098
oracle,16,35,net_actual_interchange_mw,-8.131222485152634e-05,0.0190100669860839
oracle,16,35,total_gen,0.014497844005767702,0.039410650730133
oracle,16,35,total_lmp_da,0.0001969365683225366,0.0415577888488769
oracle,16,35,total_losses,0.01175789453046261,0.047998309135437
oracle,10,41,congestion_price_da,0.00860225841813922,0.0058704614639282
oracle,10,41,congestion_price_rt,0.0,-0.0008634328842163
