kind,alpha,pct,rank,r2
cat3+p2,0.1,19.708333333333332,322.1666666666667,0.02266666666666667
cat3+p2,0.2,46.625,214.5,0.0721
cat3+p2,0.3,46.333333333333336,215.66666666666666,0.035666666666666666
cat3+p2,0.45,54.375,183.5,0.27058333333333334
last+p2,0.1,17.333333333333332,331.6666666666667,0.02598333333333333
last+p2,0.2,33.791666666666664,265.8333333333333,0.06183333333333333
last+p2,0.3,59.666666666666664,162.33333333333334,0.03348333333333333
last+p2,0.45,59.708333333333336,162.16666666666666,0.2572166666666667
t_test,0.1,90.91666666666667,37.333333333333336,
t_test,0.2,68.08333333333333,128.66666666666666,
t_test,0.3,81.41666666666667,75.33333333333333,
t_test,0.45,96.91666666666667,13.333333333333334,
