kind,n,rho,rho_tail,hit20,hit100,med_rank_true_top10,n_strong,sec,ckpt
oracle,11352,0.6057,0.1298,1.0,0.79,6527.0,143,0.7,oracle_uniform_seed0
oracle_affine,11352,0.6762,0.199,1.0,0.77,6450.5,143,1.0,oracle_uniform_seed0
poly2,11352,0.6795,0.7596,1.0,0.87,4.5,143,0.2,oracle_uniform_seed0
last,11352,0.7323,0.7806,1.0,0.92,4.5,143,2.3,oracle_uniform_seed0
cat3,11352,0.6635,0.758,0.55,0.43,4.5,143,17.9,oracle_uniform_seed0
last+p2,11352,0.7098,0.784,0.95,0.8,4.5,143,3.0,oracle_uniform_seed0
cat3+p2,11352,0.6593,0.7579,0.65,0.44,4.5,143,19.8,oracle_uniform_seed0
