kind,n,rho,rho_tail,hit50,med_rank_true_top10,n_strong,sec,gap_<.05,gap_.05-.1,gap_.1-.2,gap_.2-.35,gap_>.35
oracle,2400,0.4163,0.4755,0.0,57.5,0,0.4,0.0167,0.0442,0.0587,,
poly2,2400,0.5855,0.3796,0.0,32.5,0,0.1,0.0152,0.0362,0.0565,,
full,2400,0.5921,0.3543,0.0,40.5,0,0.1,0.0141,0.0352,0.0546,,
last,2400,0.5857,0.5907,0.0,9.0,0,1.5,0.0141,0.0238,0.0128,,
last+p2,2400,0.5696,0.5626,0.0,11.5,0,1.9,0.0166,0.027,0.0121,,
cat3,2400,0.6107,0.6163,0.0,7.5,0,11.0,0.0166,0.0127,0.0038,,
