kind,alpha,trial,S,true_r2,syn,pct,rank,rand_p99
last+p2,0.1,0,"(np.int64(5), np.int64(17), np.int64(33), np.int64(40))",0.0,0.0,22.5,311,0.0012
last+p2,0.1,1,"(np.int64(6), np.int64(11), np.int64(15), np.int64(35))",0.0021,-0.0015,12.0,353,0.0009
last+p2,0.1,2,"(np.int64(5), np.int64(14), np.int64(21), np.int64(42))",0.0303,-0.0055,40.5,239,0.0064
last+p2,0.1,3,"(np.int64(15), np.int64(21), np.int64(34), np.int64(37))",0.0,-0.0091,3.25,388,0.0026
last+p2,0.1,4,"(np.int64(15), np.int64(24), np.int64(39), np.int64(40))",0.1235,-0.0088,25.5,299,0.0045
last+p2,0.1,5,"(np.int64(17), np.int64(18), np.int64(26), np.int64(38))",0.0,-0.0057,0.25,400,0.0012
last+p2,0.2,0,"(np.int64(15), np.int64(20), np.int64(29), np.int64(33))",0.0356,-0.0063,29.75,282,0.0023
last+p2,0.2,1,"(np.int64(8), np.int64(11), np.int64(40), np.int64(42))",0.0118,-0.0311,4.25,384,0.0085
last+p2,0.2,2,"(np.int64(5), np.int64(7), np.int64(25), np.int64(38))",0.0,0.0,10.25,360,0.0012
last+p2,0.2,3,"(np.int64(29), np.int64(34), np.int64(39), np.int64(43))",0.0,-0.0,49.0,205,0.0042
last+p2,0.2,4,"(np.int64(2), np.int64(5), np.int64(29), np.int64(31))",0.0541,-0.0011,80.5,79,0.0041
last+p2,0.2,5,"(np.int64(5), np.int64(18), np.int64(24), np.int64(27))",0.2695,-0.0183,29.0,285,0.016
last+p2,0.3,0,"(np.int64(13), np.int64(18), np.int64(21), np.int64(28))",0.0687,0.0059,98.0,9,0.0093
last+p2,0.3,1,"(np.int64(4), np.int64(9), np.int64(17), np.int64(23))",0.0,0.0,3.25,388,0.0
last+p2,0.3,2,"(np.int64(10), np.int64(18), np.int64(22), np.int64(37))",0.0081,0.0081,100.0,1,0.0001
last+p2,0.3,3,"(np.int64(17), np.int64(25), np.int64(37), np.int64(38))",0.0164,0.0072,100.0,1,0.0043
last+p2,0.3,4,"(np.int64(10), np.int64(29), np.int64(30), np.int64(41))",0.0,0.0,0.5,399,0.0
last+p2,0.3,5,"(np.int64(3), np.int64(20), np.int64(30), np.int64(38))",0.1077,-0.0057,56.25,176,0.0058
last+p2,0.45,0,"(np.int64(16), np.int64(19), np.int64(39), np.int64(41))",0.6997,-0.0046,48.25,208,0.0161
last+p2,0.45,1,"(np.int64(12), np.int64(19), np.int64(20), np.int64(27))",0.5389,-0.0029,71.75,114,0.0409
last+p2,0.45,2,"(np.int64(14), np.int64(16), np.int64(35), np.int64(43))",0.1571,0.0158,99.75,2,0.0072
last+p2,0.45,3,"(np.int64(6), np.int64(12), np.int64(27), np.int64(43))",0.0,0.0,22.25,312,0.0014
last+p2,0.45,4,"(np.int64(4), np.int64(19), np.int64(21), np.int64(37))",0.0,-0.0283,16.25,336,0.0146
last+p2,0.45,5,"(np.int64(9), np.int64(20), np.int64(26), np.int64(42))",0.1476,0.0904,100.0,1,0.0068
cat3+p2,0.1,0,"(np.int64(5), np.int64(17), np.int64(33), np.int64(40))",0.0,0.0,8.0,369,0.0
cat3+p2,0.1,1,"(np.int64(6), np.int64(11), np.int64(15), np.int64(35))",0.0,0.0,7.5,371,0.0
cat3+p2,0.1,2,"(np.int64(5), np.int64(14), np.int64(21), np.int64(42))",0.0278,-0.0093,34.5,263,0.0112
cat3+p2,0.1,3,"(np.int64(15), np.int64(21), np.int64(34), np.int64(37))",0.0,-0.0077,7.75,370,0.0058
cat3+p2,0.1,4,"(np.int64(15), np.int64(24), np.int64(39), np.int64(40))",0.1082,-0.0073,58.25,168,0.0117
cat3+p2,0.1,5,"(np.int64(17), np.int64(18), np.int64(26), np.int64(38))",0.0,0.0,2.25,392,0.0
cat3+p2,0.2,0,"(np.int64(15), np.int64(20), np.int64(29), np.int64(33))",0.0211,-0.0157,8.5,367,0.0051
cat3+p2,0.2,1,"(np.int64(8), np.int64(11), np.int64(40), np.int64(42))",0.074,0.0177,98.75,6,0.0229
cat3+p2,0.2,2,"(np.int64(5), np.int64(7), np.int64(25), np.int64(38))",0.0,0.0,4.25,384,0.0
cat3+p2,0.2,3,"(np.int64(29), np.int64(34), np.int64(39), np.int64(43))",0.0,-0.01,9.75,362,0.0035
cat3+p2,0.2,4,"(np.int64(2), np.int64(5), np.int64(29), np.int64(31))",0.0455,0.0014,94.0,25,0.0063
cat3+p2,0.2,5,"(np.int64(5), np.int64(18), np.int64(24), np.int64(27))",0.292,-0.0105,64.5,143,0.0379
cat3+p2,0.3,0,"(np.int64(13), np.int64(18), np.int64(21), np.int64(28))",0.0829,0.0695,100.0,1,0.0212
cat3+p2,0.3,1,"(np.int64(4), np.int64(9), np.int64(17), np.int64(23))",0.0,0.0,2.5,391,0.0
cat3+p2,0.3,2,"(np.int64(10), np.int64(18), np.int64(22), np.int64(37))",0.0,0.0,6.75,374,0.0
cat3+p2,0.3,3,"(np.int64(17), np.int64(25), np.int64(37), np.int64(38))",0.0327,0.0239,100.0,1,0.0077
cat3+p2,0.3,4,"(np.int64(10), np.int64(29), np.int64(30), np.int64(41))",0.0,0.0,0.0,401,0.0
cat3+p2,0.3,5,"(np.int64(3), np.int64(20), np.int64(30), np.int64(38))",0.0984,-0.0046,68.75,126,0.0109
cat3+p2,0.45,0,"(np.int64(16), np.int64(19), np.int64(39), np.int64(41))",0.7008,-0.0031,36.5,255,0.0605
cat3+p2,0.45,1,"(np.int64(12), np.int64(19), np.int64(20), np.int64(27))",0.5446,-0.0053,72.0,113,0.0651
cat3+p2,0.45,2,"(np.int64(14), np.int64(16), np.int64(35), np.int64(43))",0.1558,0.012,97.75,10,0.0148
cat3+p2,0.45,3,"(np.int64(6), np.int64(12), np.int64(27), np.int64(43))",0.0,0.0,8.75,366,0.0
cat3+p2,0.45,4,"(np.int64(4), np.int64(19), np.int64(21), np.int64(37))",0.0654,-0.0464,11.25,356,0.0246
cat3+p2,0.45,5,"(np.int64(9), np.int64(20), np.int64(26), np.int64(42))",0.1569,0.0965,100.0,1,0.0115
t_test,0.1,0,"(np.int64(5), np.int64(17), np.int64(33), np.int64(40))",,1.256,73.5,107,
t_test,0.1,1,"(np.int64(6), np.int64(11), np.int64(15), np.int64(35))",,5.26,100.0,1,
t_test,0.1,2,"(np.int64(5), np.int64(14), np.int64(21), np.int64(42))",,1.973,86.25,56,
t_test,0.1,3,"(np.int64(15), np.int64(21), np.int64(34), np.int64(37))",,3.18,100.0,1,
t_test,0.1,4,"(np.int64(15), np.int64(24), np.int64(39), np.int64(40))",,1.78,85.75,58,
t_test,0.1,5,"(np.int64(17), np.int64(18), np.int64(26), np.int64(38))",,3.961,100.0,1,
t_test,0.2,0,"(np.int64(15), np.int64(20), np.int64(29), np.int64(33))",,0.458,25.25,300,
t_test,0.2,1,"(np.int64(8), np.int64(11), np.int64(40), np.int64(42))",,6.337,100.0,1,
t_test,0.2,2,"(np.int64(5), np.int64(7), np.int64(25), np.int64(38))",,7.374,100.0,1,
t_test,0.2,3,"(np.int64(29), np.int64(34), np.int64(39), np.int64(43))",,1.51,50.5,199,
t_test,0.2,4,"(np.int64(2), np.int64(5), np.int64(29), np.int64(31))",,0.852,45.0,221,
t_test,0.2,5,"(np.int64(5), np.int64(18), np.int64(24), np.int64(27))",,3.138,87.75,50,
t_test,0.3,0,"(np.int64(13), np.int64(18), np.int64(21), np.int64(28))",,8.299,100.0,1,
t_test,0.3,1,"(np.int64(4), np.int64(9), np.int64(17), np.int64(23))",,17.625,100.0,1,
t_test,0.3,2,"(np.int64(10), np.int64(18), np.int64(22), np.int64(37))",,20.851,100.0,1,
t_test,0.3,3,"(np.int64(17), np.int64(25), np.int64(37), np.int64(38))",,18.628,100.0,1,
