kind,alpha,trial,S,true_r2,syn,pct,rank,rand_p99
full,0.1,0,"(np.int64(5), np.int64(17), np.int64(33), np.int64(40))",0.0251,0.0032,99.25,4,0.0026
full,0.1,1,"(np.int64(6), np.int64(11), np.int64(15), np.int64(35))",0.0039,0.0028,100.0,1,0.0009
full,0.1,2,"(np.int64(5), np.int64(14), np.int64(21), np.int64(42))",0.0321,-0.0065,24.5,303,0.0064
full,0.1,3,"(np.int64(15), np.int64(21), np.int64(34), np.int64(37))",0.031,0.0052,98.75,6,0.0055
full,0.1,4,"(np.int64(15), np.int64(24), np.int64(39), np.int64(40))",0.1123,-0.0198,6.25,376,0.0174
full,0.1,5,"(np.int64(17), np.int64(18), np.int64(26), np.int64(38))",0.0064,0.0051,100.0,1,0.0013
full,0.2,0,"(np.int64(15), np.int64(20), np.int64(29), np.int64(33))",0.0374,-0.0029,42.0,233,0.0058
full,0.2,1,"(np.int64(8), np.int64(11), np.int64(40), np.int64(42))",0.2036,0.0297,99.5,3,0.019
full,0.2,2,"(np.int64(5), np.int64(7), np.int64(25), np.int64(38))",0.0147,0.0099,100.0,1,0.0015
full,0.2,3,"(np.int64(29), np.int64(34), np.int64(39), np.int64(43))",0.0213,0.0025,97.0,13,0.0056
full,0.2,4,"(np.int64(2), np.int64(5), np.int64(29), np.int64(31))",0.0644,0.0038,94.75,22,0.0105
full,0.2,5,"(np.int64(5), np.int64(18), np.int64(24), np.int64(27))",0.339,0.007,83.25,68,0.0396
full,0.3,0,"(np.int64(13), np.int64(18), np.int64(21), np.int64(28))",0.147,0.0764,100.0,1,0.03
full,0.3,1,"(np.int64(4), np.int64(9), np.int64(17), np.int64(23))",0.0052,0.0052,100.0,1,0.0
full,0.3,2,"(np.int64(10), np.int64(18), np.int64(22), np.int64(37))",0.1829,0.1829,100.0,1,0.0009
full,0.3,3,"(np.int64(17), np.int64(25), np.int64(37), np.int64(38))",0.0726,0.064,100.0,1,0.0067
full,0.3,4,"(np.int64(10), np.int64(29), np.int64(30), np.int64(41))",0.0007,0.0007,100.0,1,0.0
full,0.3,5,"(np.int64(3), np.int64(20), np.int64(30), np.int64(38))",0.1194,-0.0014,58.25,168,0.0111
full,0.45,0,"(np.int64(16), np.int64(19), np.int64(39), np.int64(41))",0.7149,0.0028,87.0,53,0.0913
full,0.45,1,"(np.int64(12), np.int64(19), np.int64(20), np.int64(27))",0.5526,0.0056,66.25,136,0.0694
full,0.45,2,"(np.int64(14), np.int64(16), np.int64(35), np.int64(43))",0.1846,0.1083,100.0,1,0.0106
full,0.45,3,"(np.int64(6), np.int64(12), np.int64(27), np.int64(43))",0.1386,0.1386,100.0,1,0.0069
full,0.45,4,"(np.int64(4), np.int64(19), np.int64(21), np.int64(37))",0.2489,0.2336,100.0,1,0.0533
full,0.45,5,"(np.int64(9), np.int64(20), np.int64(26), np.int64(42))",0.2186,0.1808,100.0,1,0.0076
t_test,0.1,0,"(np.int64(5), np.int64(17), np.int64(33), np.int64(40))",,1.256,73.5,107,
t_test,0.1,1,"(np.int64(6), np.int64(11), np.int64(15), np.int64(35))",,5.26,100.0,1,
t_test,0.1,2,"(np.int64(5), np.int64(14), np.int64(21), np.int64(42))",,1.973,86.25,56,
t_test,0.1,3,"(np.int64(15), np.int64(21), np.int64(34), np.int64(37))",,3.18,100.0,1,
t_test,0.1,4,"(np.int64(15), np.int64(24), np.int64(39), np.int64(40))",,1.78,85.75,58,
t_test,0.1,5,"(np.int64(17), np.int64(18), np.int64(26), np.int64(38))",,3.961,100.0,1,
t_test,0.2,0,"(np.int64(15), np.int64(20), np.int64(29), np.int64(33))",,0.458,25.25,300,
t_test,0.2,1,"(np.int64(8), np.int64(11), np.int64(40), np.int64(42))",,6.337,100.0,1,
t_test,0.2,2,"(np.int64(5), np.int64(7), np.int64(25), np.int64(38))",,7.374,100.0,1,
t_test,0.2,3,"(np.int64(29), np.int64(34), np.int64(39), np.int64(43))",,1.51,50.5,199,
t_test,0.2,4,"(np.int64(2), np.int64(5), np.int64(29), np.int64(31))",,0.852,45.0,221,
t_test,0.2,5,"(np.int64(5), np.int64(18), np.int64(24), np.int64(27))",,3.138,87.75,50,
t_test,0.3,0,"(np.int64(13), np.int64(18), np.int64(21), np.int64(28))",,8.299,100.0,1,
t_test,0.3,1,"(np.int64(4), np.int64(9), np.int64(17), np.int64(23))",,17.625,100.0,1,
t_test,0.3,2,"(np.int64(10), np.int64(18), np.int64(22), np.int64(37))",,20.851,100.0,1,
t_test,0.3,3,"(np.int64(17), np.int64(25), np.int64(37), np.int64(38))",,18.628,100.0,1,
t_test,0.3,4,"(np.int64(10), np.int64(29), np.int64(30), np.int64(41))",,0.962,46.5,215,
t_test,0.3,5,"(np.int64(3), np.int64(20), np.int64(30), np.int64(38))",,0.864,42.0,233,
t_test,0.45,0,"(np.int64(16), np.int64(19), np.int64(39), np.int64(41))",,7.826,86.75,54,
t_test,0.45,1,"(np.int64(12), np.int64(19), np.int64(20), np.int64(27))",,5.936,94.75,22,
t_test,0.45,2,"(np.int64(14), np.int64(16), np.int64(35), np.int64(43))",,20.569,100.0,1,
t_test,0.45,3,"(np.int64(6), np.int64(12), np.int64(27), np.int64(43))",,18.513,100.0,1,
t_test,0.45,4,"(np.int64(4), np.int64(19), np.int64(21), np.int64(37))",,18.42,100.0,1,
t_test,0.45,5,"(np.int64(9), np.int64(20), np.int64(26), np.int64(42))",,30.926,100.0,1,
