i,j,conf,band,method,v_pair,syn,truth
9,18,total_gen,strong,oracle,0.12338078354029425,-0.017392597381222452,0.7653958797454834
9,18,total_gen,strong,L0,0.9278166504095923,0.7393258199564812,0.7653958797454834
9,18,total_gen,strong,ft5,0.17736790620030318,0.013347103619011036,0.7653958797454834
9,18,total_gen,strong,ft5+L0,0.926743180972005,0.7389065630723257,0.7653958797454834
9,18,total_gen,strong,ft25,0.38240081901671585,0.2084910256511553,0.7653958797454834
9,18,total_gen,strong,ft25+L0,0.9229742927509,0.735886248595984,0.7653958797454834
9,18,total_gen,strong,ft50,0.6734073080110128,0.498242958456259,0.7653958797454834
9,18,total_gen,strong,ft50+L0,0.9322981163493096,0.7454724280170504,0.7653958797454834
3,13,total_gen,strong,oracle,0.22609046270395827,0.05139434895884509,0.6956952214241028
3,13,total_gen,strong,L0,0.9103407921651994,0.6672453749856364,0.6956952214241028
3,13,total_gen,strong,ft5,0.3428378232212985,0.1466852965919193,0.6956952214241028
3,13,total_gen,strong,ft5+L0,0.9125007768011945,0.6629643415976173,0.6956952214241028
3,13,total_gen,strong,ft25,0.7170341002907566,0.509792559958271,0.6956952214241028
3,13,total_gen,strong,ft25+L0,0.909957442428371,0.6548689600385004,0.6956952214241028
3,13,total_gen,strong,ft50,0.8292584880785355,0.6152928042868117,0.6956952214241028
3,13,total_gen,strong,ft50+L0,0.9105250345630704,0.6714032192591631,0.6956952214241028
2,12,total_gen,strong,oracle,0.21895503146517503,-0.008222103084597254,0.6651379466056824
2,12,total_gen,strong,L0,0.958276617627416,0.6674368466636487,0.6651379466056824
2,12,total_gen,strong,ft5,0.27148704377282784,0.02119512621399977,0.6651379466056824
2,12,total_gen,strong,ft5+L0,0.9575763276991529,0.6663184938468443,0.6651379466056824
2,12,total_gen,strong,ft25,0.6033362810928746,0.3506786970464997,0.6651379466056824
2,12,total_gen,strong,ft25+L0,0.9579022841061621,0.6684691292756764,0.6651379466056824
2,12,total_gen,strong,ft50,0.7891494330096712,0.5199838473468573,0.6651379466056824
2,12,total_gen,strong,ft50+L0,0.9581342510466043,0.6685628957829421,0.6651379466056824
7,17,total_gen,strong,oracle,0.05099248926890487,0.029105691769313213,0.5961714386940002
