field,probe_r2,model_r2,delta
net_actual_interchange_mw,0.9295984627394396,0.8571839332580566,-0.07241452948138294
gross_actual_interchange_mw,0.8759973140166133,0.7862219214439392,-0.08977539257267408
total_gen,0.99832719588513,0.9892275929450989,-0.009099602940031093
metered_load_mw,0.9962878493933236,0.9907298684120178,-0.005557980981305777
total_losses,0.9334742413917716,0.8656703233718872,-0.06780391801988439
congestion_price_da,0.6602494811248918,0.6023118495941162,-0.05793763153077558
congestion_price_rt,0.6702083206524372,0.6572895050048828,-0.012918815647554371
marginal_loss_price_da,0.8816090434068973,0.7742993235588074,-0.1073097198480899
total_lmp_da,0.99047564583207,0.9841275811195374,-0.006348064712532686
da_as_total_mw_primary_reserve,0.953601669814596,0.9503751397132874,-0.003226530101308689
da_as_total_mw_synchronized_reserve,0.920000100798808,0.9166682958602905,-0.0033318049385174797
da_as_total_mw_thirty_minutes_reserve,0.9141437178213236,0.8718148469924927,-0.04232887082883097
