target_field,degree,attention_entropy,attention_entropy_normalized
net_actual_interchange_mw,19,2.3326332569122314,0.7922165388438756
gross_actual_interchange_mw,19,1.5888067483901978,0.5395957462973076
total_gen,27,2.1571571826934814,0.6545096952291473
metered_load_mw,30,2.1222963333129883,0.6239850544268701
total_losses,22,2.406231641769409,0.7784531199677046
congestion_price_da,20,2.8892855644226074,0.9644672155549133
congestion_price_rt,19,2.108592987060547,0.7161272493605834
marginal_loss_price_da,23,2.52604079246521,0.8056276358706856
total_lmp_da,29,2.2486188411712646,0.6677817912958057
da_as_total_mw_primary_reserve,18,1.533056378364563,0.5304011064239154
da_as_total_mw_synchronized_reserve,15,1.4543110132217407,0.5370325160995236
da_as_total_mw_thirty_minutes_reserve,24,2.567567825317383,0.8079057065676812
