est,K,真M均值,估计M均值,估计偏差,估计MAE,Kendall,档位一致,认证下界L均值,L除以M,召回_L大于M减002,见证完全一致
L0ensx,0,0.13461624,0.13996638,0.0053501558,0.013913925,0.8410805096934468,0.9024390243902439,0.13461624,1.0,1.0,1.0
L0ensx,1,0.22624958,0.24257879,0.016329227,0.02703059,0.820990532690482,0.8414634146341463,0.20733328,0.9163919,0.7052845528455285,0.47560975609756095
L0ensx,2,0.2607581,0.27996418,0.019206088,0.030472286,0.8192367783867,0.8556910569105691,0.22145753,0.8492834,0.4268292682926829,0.25
L0ensx,3,0.28207058,0.28882954,0.006759009,0.026012799,0.8123983739837399,0.8963414634146342,0.22688323,0.8043492,0.34959349593495936,0.13617886178861788
L0,0,0.13461624,0.14030617,0.005689919,0.011650489,0.8669430119999251,0.9186991869918699,0.13461624,1.0,1.0,1.0
L0,1,0.22624958,0.22957055,0.003320984,0.017599046,0.8593495934959351,0.8943089430894309,0.2130645,0.94172335,0.7540650406504065,0.491869918699187
L0,2,0.2607581,0.25921622,-0.0015418787,0.024001619,0.8388960858473052,0.8861788617886179,0.22956045,0.88035786,0.524390243902439,0.2621951219512195
L0,3,0.28207058,0.2669714,-0.015099152,0.02679543,0.8085365853658536,0.8943089430894309,0.23036243,0.8166837,0.3821138211382114,0.11585365853658537
L1x,0,0.13461624,0.13946807,0.0048518246,0.008941453,0.9005486421205546,0.9329268292682927,0.13461624,1.0,1.0,1.0
L1x,1,0.22624958,0.2274678,0.0012182293,0.016070884,0.881033335321577,0.9105691056910569,0.21757251,0.9616483,0.8556910569105691,0.5894308943089431
L1x,2,0.2607581,0.25945148,-0.001306607,0.018025212,0.8683634116560945,0.926829268292683,0.23835908,0.9141004,0.6219512195121951,0.31910569105691056
L1x,3,0.28207058,0.26861438,-0.013456148,0.022111405,0.8542682926829269,0.9105691056910569,0.239212,0.8480573,0.42886178861788615,0.13617886178861788
direct,0,0.13461624,0.1118784,-0.022737848,0.023716545,0.8041026127525828,0.8658536585365854,0.13461624,1.0,1.0,1.0
direct,1,0.22624958,0.15620239,-0.07004719,0.07160557,0.6873983739837398,0.6504065040650406,0.17185365,0.75957555,0.5223577235772358,0.25203252032520324
direct,2,0.2607581,0.17046684,-0.090291254,0.0911694,0.6749372629175981,0.5548780487804879,0.18614466,0.71385956,0.2703252032520325,0.08333333333333333
direct,3,0.28207058,0.17633362,-0.10573693,0.106704906,0.6451219512195122,0.48577235772357724,0.18473111,0.654911,0.12601626016260162,0.03048780487804878
