field,conf,M0,M1,M2,M3,W1,W2,W3
dam_load_forecast__mw__pge_tac,actual_load__mw__ca_iso_tac,0.6175025701522827,0.800729513168335,0.800729513168335,0.800729513168335,dam_renewable_forecast__mw__sp15__solar,dam_renewable_forecast__mw__sp15__solar,dam_renewable_forecast__mw__sp15__solar
dam_load_forecast__mw__pge_tac,dam_schedule__mw__generation__caiso_totals,0.5788814425468445,0.7320082187652588,0.7337484955787659,0.7337484955787659,dam_renewable_forecast__mw__zp26__solar,"dam_renewable_forecast__mw__zp26__solar,dam_renewable_forecast__mw__zp26__wind","dam_renewable_forecast__mw__zp26__solar,dam_renewable_forecast__mw__zp26__wind"
dam_load_forecast__mw__pge_tac,dam_schedule__mw__import__caiso_totals,0.21245384216308594,0.26241570711135864,0.26241570711135864,0.27117782831192017,actual_load__mw__pace,actual_load__mw__pace,"actual_load__mw__pace,actual_renewable_generation__mw__np15__wind,dam_renewable_forecast__mw__zp26__wind"
dam_load_forecast__mw__pge_tac,dam_schedule__mw__export__caiso_totals,0.29469847679138184,0.35454463958740234,0.35850077867507935,0.3653026819229126,dam_lmp__lmp_usd_per_mwh__th_zp26_gen_apnd,"dam_lmp__lmp_usd_per_mwh__th_zp26_gen_apnd,rtpd_eim_transfer__mw__export__bcha__malin500","actual_renewable_generation__mw__zp26__wind,rtpd_eim_transfer__mw__export__bcha__malin500,rtpd_eim_transfer__mw__export__srp__pvwest"
dam_load_forecast__mw__pge_tac,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.48505109548568726,0.5139018297195435,0.540483832359314,0.540483832359314,actual_load__mw__pace,"actual_load__mw__pace,actual_renewable_generation__mw__sp15__wind","actual_load__mw__pace,actual_renewable_generation__mw__sp15__wind"
dam_load_forecast__mw__pge_tac,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.08796799182891846,0.17631596326828003,0.206118643283844,0.2139441967010498,dam_schedule__mw__load__tac_ecntr,"dam_renewable_forecast__mw__sp15__wind,dam_schedule__mw__load__tac_ecntr","actual_load__mw__nevp,dam_renewable_forecast__mw__sp15__wind,dam_schedule__mw__load__tac_ecntr"
dam_load_forecast__mw__pge_tac,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.3556593060493469,0.42042630910873413,0.4291626214981079,0.43568187952041626,dam_renewable_forecast__mw__np15__wind,"actual_renewable_generation__mw__sp15__wind,dam_renewable_forecast__mw__np15__wind","actual_renewable_generation__mw__sp15__wind,dam_renewable_forecast__mw__np15__wind,rt15_lmp_hourly_mean__loss_usd_per_mwh__th_np15_gen_apnd"
dam_load_forecast__mw__pge_tac,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.09516507387161255,0.13865917921066284,0.17279452085494995,0.22219955921173096,actual_load__mw__pace,"actual_load__mw__pace,rtpd_eim_transfer__mw__export__banc__ranchoseco","actual_renewable_generation__mw__sp15__wind,actual_load__mw__bpat,rtpd_eim_transfer__mw__export__banc__ranchoseco"
dam_load_forecast__mw__pge_tac,dam_as_total_procured__mw__ru__as_caiso,0.06255936622619629,0.1468178629875183,0.16117829084396362,0.16921985149383545,dam_as_requirement__mw__as_caiso__spinning_reserve__minimum,"actual_load__mw__bpat,dam_as_requirement__mw__as_caiso__spinning_reserve__minimum","actual_load__mw__pace,actual_renewable_generation__mw__zp26__wind,dam_as_requirement__mw__as_caiso__spinning_reserve__minimum"
dam_load_forecast__mw__pge_tac,dam_as_total_procured__mw__rd__as_caiso,0.13115578889846802,0.28791600465774536,0.29591941833496094,0.30029845237731934,dam_schedule__mw__load__tac_ecntr,"actual_renewable_generation__mw__zp26__wind,dam_schedule__mw__load__tac_ecntr","actual_renewable_generation__mw__zp26__wind,dam_renewable_forecast__mw__zp26__wind,dam_schedule__mw__load__tac_ecntr"
