est,K,alpha,分层上界覆盖率,分层上界紧度,全局q上界覆盖率,全局q上界紧度
L0ensx,1,0.05,0.9532520325203252,0.052335288375616074,0.9573170731707317,0.051847473
L0ensx,1,0.01,0.9939024390243902,0.11425778269767761,0.9898373983739838,0.09855742
L0ensx,2,0.05,0.9613821138211383,0.06294273215959348,0.9532520325203252,0.05529241
L0ensx,2,0.01,0.9959349593495935,0.11388480150693558,0.9898373983739838,0.09470557
L0ensx,3,0.05,0.9349593495934959,0.04753949793767396,0.9105691056910569,0.040576026
L0ensx,3,0.01,0.9796747967479674,0.08982327637239927,0.9654471544715447,0.07250348
L0,1,0.05,0.9471544715447154,0.039842087775468826,0.9512195121951219,0.03921763
L0,1,0.01,0.983739837398374,0.08202766627073288,0.9776422764227642,0.07524466
L0,2,0.05,0.9227642276422764,0.041914638389295676,0.9126016260162602,0.037066042
L0,2,0.01,0.9573170731707317,0.0818862160894929,0.943089430894309,0.06933211
L0,3,0.05,0.8394308943089431,0.02714110862433426,0.8211382113821138,0.02323483
L0,3,0.01,0.9369918699186992,0.06676057467191684,0.9207317073170732,0.053646237
