est,价值MAE_规模1,价值MAE_规模2,价值MAE_规模3,价值MAE_规模4,价值MAE_不闭包,价值偏差,危险漏判@0.7
L0ensx,0.0063448865,0.00768531,0.008384694,0.008740722,0.007558254,0.0034500519,0.0043262159070151995
L0,0.005822795,0.006790341,0.0073890192,0.008994192,0.008639611,-0.0028668393,0.01185062698084608
direct,0.021436939,0.04096435,0.05574479,0.06500739,0.06845254,-0.06389485,0.21861170129241694
