est,边际MAE,q95,q99,最大,低估q95,低估q99,边际相关
L0ensx,0.007477526,0.023162797,0.046927735,0.26856893,0.019107252,0.038308978,0.9933416614684453
L0,0.008425347,0.02620092,0.048877656,0.15835175,0.023627758,0.04373452,0.9935460621726218
direct,0.020591317,0.066597134,0.11346406,0.40895486,0.056397945,0.097203255,0.9652820398468609
