est,K,真M均值,估计M均值,估计偏差,估计MAE,Kendall,档位一致,认证下界L均值,L除以M,召回_L大于M减002,见证完全一致
L0ensx,0,0.17661314,0.18129951,0.004686371,0.0063448865,0.9462342603160853,0.959349593495935,0.17661314,1.0,1.0,1.0
L0ensx,1,0.24545418,0.24870142,0.0032472508,0.00724222,0.9536585365853658,0.959349593495935,0.24238634,0.9875014,0.983739837398374,0.7154471544715447
L0ensx,2,0.26642683,0.27053007,0.0041032718,0.008943415,0.9432926829268292,0.9512195121951219,0.25820214,0.9691297,0.8780487804878049,0.36585365853658536
L0ensx,3,0.27661517,0.2776713,0.0010561576,0.011762648,0.9373983739837398,0.959349593495935,0.25977892,0.9391347,0.7113821138211383,0.22154471544715448
L0,0,0.17661314,0.1808883,0.004275155,0.005822795,0.9504973658884684,0.9654471544715447,0.17661314,1.0,1.0,1.0
L0,1,0.24545418,0.24675071,0.0012965108,0.006741259,0.955691056910569,0.959349593495935,0.24269623,0.9887638,0.975609756097561,0.6951219512195121
L0,2,0.26642683,0.26493725,-0.0014895686,0.007921722,0.9512195121951219,0.9491869918699187,0.2590802,0.9724253,0.9186991869918699,0.33739837398373984
L0,3,0.27661517,0.27007496,-0.0065401956,0.010974275,0.9465447154471546,0.9451219512195121,0.2624572,0.948817,0.7601626016260162,0.19308943089430894
direct,0,0.17661314,0.15539572,-0.021217424,0.021436939,0.891599923582732,0.8414634146341463,0.17661314,1.0,1.0,1.0
direct,1,0.24545418,0.2112422,-0.034211997,0.035660256,0.878658536585366,0.8109756097560976,0.2294309,0.93471986,0.766260162601626,0.3475609756097561
direct,2,0.26642683,0.2242292,-0.042197607,0.043314878,0.8747967479674795,0.7520325203252033,0.23755243,0.89162356,0.49796747967479676,0.09959349593495935
direct,3,0.27661517,0.22876388,-0.04785129,0.048810765,0.8689024390243901,0.709349593495935,0.23945807,0.86567223,0.35365853658536583,0.034552845528455285
