est,真实边际层,占比,MAE,偏差,低估q95
L0ensx,"(-1,0.02]",0.3298310772566655,0.0046548005,0.00025461987,0.009854585
L0ensx,"(0.02,0.1]",0.4490743589802032,0.008082121,-0.0030750136,0.022116289
L0ensx,"(0.1,0.3]",0.17165784217416047,0.010523819,-0.0018824937,0.027116392
L0ensx,"(0.3,2]",0.04943672158897087,0.010240577,-0.00040832884,0.021683097
L0,"(-1,0.02]",0.3298310772566655,0.0048024645,-0.0013141467,0.0117069185
L0,"(0.02,0.1]",0.4490743589802032,0.009582353,-0.006633127,0.026771605
L0,"(0.1,0.3]",0.17165784217416047,0.011787869,-0.004958427,0.033857923
L0,"(0.3,2]",0.04943672158897087,0.010410852,0.00010118823,0.021250747
direct,"(-1,0.02]",0.3298310772566655,0.0068381466,-0.0028417453,0.015343711
direct,"(0.02,0.1]",0.4490743589802032,0.02141628,-0.015666032,0.05216199
direct,"(0.1,0.3]",0.17165784217416047,0.037470307,-0.013863933,0.09626964
direct,"(0.3,2]",0.04943672158897087,0.04624722,0.012781176,0.08142722
