est,价值MAE_规模1,价值MAE_规模2,价值MAE_规模3,价值MAE_规模4,价值MAE_不闭包,价值偏差,危险漏判@0.7
L0ensx,0.013913925,0.015846092,0.016205236,0.016431496,0.016645,0.007844428,0.00965735131261807
L0,0.011650489,0.01344916,0.013511777,0.014899583,0.017435264,-0.0020782412,0.02764749310576944
L1x,0.008941453,0.011589032,0.0126292845,0.015007743,0.019970622,-0.003490922,0.030866610209975463
direct,0.023716545,0.044578735,0.06290255,0.07725723,0.08196415,-0.07495045,0.29819447158708445
