数据集,查询规模,逐个重训_小时,并行重训_分钟,L0_分钟(含训练),L0ensx_分钟(含训练)
pjm,1,0.006058235300911798,0.41497109333674115,0.44727800909741694,1.3421826404371673
pjm,10^3,6.0582353009117975,1.6268294304609299,0.48643308146771524,1.8079123893196536
pjm,10^4,60.58235300911797,9.427411174778962,0.8391814812001324,6.003675892765475
pjm,10^5,605.8235300911797,94.27411174778962,4.366665478524303,47.96131092722369
pjm,完整K=1,5.216140594085058,1.4007001396268606,0.4809850784051813,1.743111152988657
pjm,完整K=2,69.79692890180482,10.861320414462842,0.8987959607549107,6.712759924847819
pjm,完整K=3,683.3144178251425,106.33271338144938,4.867999343077342,53.92442325750986
caiso,1,0.008214707396648547,0.5014171918233236,0.6676388008170772,2.0033523532942312
caiso,10^3,8.214707396648548,2.13962330793341,0.7183840208697554,2.5911029056091177
caiso,10^4,82.14707396648548,12.380657159743784,1.1755481654884776,7.8861529264639465
caiso,10^5,821.4707396648547,123.80657159743784,5.7471896116757,60.836653135012234
caiso,完整K=1,7.0728630685144,1.842215668130666,0.7113233746361995,2.5093237997314706
caiso,完整K=2,94.64164391678791,14.263755113740814,1.2528089059290417,8.781016379988413
caiso,完整K=3,926.5450619753864,139.64267017046612,6.396921453211042,68.36209589242935
