conf,field,a,M1,M2,shapley,loo,sage_s0,sage_s1,sage_s2
actual_load__mw__ca_iso_tac,负荷预测_pge_tac,0.6189018487930298,0.7955655455589294,0.7955655455589294,0.09954321836013436,0.00056380033,0.13382878394201828,0.148326626604115,0.16768265168484142
actual_load__mw__ca_iso_tac,负荷预测_sce_tac,0.8246086239814758,0.8246086239814758,0.8246086239814758,0.1285286628709723,0.000446558,0.1537289851989267,0.14427199535247975,0.1419844088803205
actual_load__mw__ca_iso_tac,负荷预测_sdge_tac,0.4962942600250244,0.7222772240638733,0.7222772240638733,0.0820436898709493,0.00087594986,0.016310809860649984,0.020137578863615373,0.014650255136827798
actual_load__mw__ca_iso_tac,负荷预测_ca_iso_tac,0.7613406181335449,0.8387958407402039,0.8387958407402039,0.12501925944815553,0.0,0.19437960507632443,0.18407384527683632,0.20614593746127155
actual_load__mw__ca_iso_tac,负荷计划_tac_north,0.6445547342300415,0.780231773853302,0.780231773853302,0.09968904912693427,0.00020879507,0.07645003780902933,0.08017778987756925,0.06962246087206389
actual_load__mw__ca_iso_tac,负荷计划_tac_ecntr,0.8043724298477173,0.8063305616378784,0.8063305616378784,0.12577915292877,0.0019365549,0.1322613359394105,0.12490314497844097,0.11138347733684399
actual_load__mw__ca_iso_tac,负荷计划_tac_south,0.3192930817604065,0.6387635469436646,0.6387635469436646,0.05614908994574029,0.0011512637,0.01956016849430784,0.016627002873071686,0.017427671068132086
actual_load__mw__ca_iso_tac,日前energy_sp15,0.13735800981521606,0.44597774744033813,0.44597774744033813,0.03253103539865362,0.0,0.04087871038410247,0.03398813528081856,0.040887519188919114
actual_load__mw__ca_iso_tac,日前lmp_np15,0.09313112497329712,0.3168397545814514,0.3168397545814514,0.02199169113555586,0.00023728609,0.007054434047646157,0.013507936884969464,0.00993247619379451
actual_load__mw__ca_iso_tac,日前lmp_zp26,0.10882037878036499,0.3803563714027405,0.3803563714027405,0.03074332202813353,0.0001604557,0.0014480633080792991,0.006542952425710938,0.007583139907249861
actual_load__mw__ca_iso_tac,实时lmp_sp15,0.08639556169509888,0.3120337724685669,0.3120337724685669,0.019020038518634173,0.0011900067,0.007988904512825714,0.0072975888608470315,0.0067651572909864935
actual_load__mw__ca_iso_tac,光伏实际_sp15__solar,0.12596994638442993,0.4115273356437683,0.4115273356437683,0.05053689682694726,0.0022009015,0.09167734770885216,0.10182473832890884,0.08733535778186367
actual_load__mw__ca_iso_tac,光伏预测_sp15__solar,0.0832476019859314,0.40271806716918945,0.40271806716918945,0.04413730302007419,0.0,0.0775206108241264,0.06770114438067207,0.07077736984030733
actual_load__mw__ca_iso_tac,需求_regulation_down,0.26701027154922485,0.3241531252861023,0.3241531252861023,0.04440135432954952,0.0006015301,0.005509266911951355,0.009893752399487555,0.007488727120676185
dam_schedule__mw__generation__caiso_totals,负荷预测_pge_tac,0.5783185958862305,0.7306058406829834,0.7306058406829834,0.09318315668982836,0.0017442703,0.022554400457382107,0.0085773220822713,0.015770367512375823
dam_schedule__mw__generation__caiso_totals,负荷预测_sce_tac,0.8077428936958313,0.8077428936958313,0.8077428936958313,0.12940311065732,0.0,0.10959242016923917,0.09643847268599481,0.11652391217735908
dam_schedule__mw__generation__caiso_totals,负荷预测_sdge_tac,0.4595707654953003,0.6493837833404541,0.6493837833404541,0.07262383797583834,0.0015807748,0.010337166345923994,0.02149460062290324,0.022866720546693135
dam_schedule__mw__generation__caiso_totals,负荷预测_ca_iso_tac,0.73282790184021,0.7814682126045227,0.7814682126045227,0.12311366604444073,0.0004695654,0.1400210342167461,0.1271063777713732,0.14511813209104213
dam_schedule__mw__generation__caiso_totals,负荷计划_tac_north,0.619267463684082,0.7300090193748474,0.7300090193748474,0.09941048734936253,0.002892077,0.1515740224695234,0.1750599401352645,0.16517905200036573
