est,边际MAE,q95,q99,最大,低估q95,低估q99,边际相关
L0ensx,0.013930836,0.04673855,0.08074969,0.38379142,0.033818215,0.06574407,0.9809518310765534
L0,0.014233134,0.04551293,0.078128755,0.40927455,0.038334426,0.06874339,0.9819913531350871
L1x,0.013870352,0.043638006,0.072784424,0.41102248,0.03635694,0.06268442,0.9837134872731212
direct,0.026008546,0.07851222,0.15701449,0.7907777,0.06818092,0.13605571,0.931101248265614
