conf,V_full,Kendall_Shapley_vs_M1,Kendall_SAGE_vs_Shapley,Kendall_SAGE_vs_M1,SAGE种子间Kendall,强字段Shapley除以a,强字段LOO均值
actual_load__mw__ca_iso_tac,0.96011376,0.8241758241758242,0.5897435897435898,0.6483516483516484,0.8901098901098902,0.1583893633036793,0.0006311416509561241
dam_schedule__mw__generation__caiso_tota,0.9455607,0.8681318681318682,0.42124542124542125,0.42124542124542125,0.9340659340659341,0.16327851104669108,0.001899373484775424
dam_schedule__mw__import__caiso_totals,0.6722348,0.5824175824175825,0.25274725274725274,0.27472527472527475,0.9120879120879122,,
dam_schedule__mw__export__caiso_totals,0.7388671,0.6703296703296704,0.24542124542124544,0.2673992673992674,0.8901098901098902,,
dam_lmp__lmp_usd_per_mwh__th_sp15_gen_ap,0.9892613,0.8681318681318682,0.2087912087912088,0.1208791208791209,0.8901098901098902,0.12394236596036881,0.0018805637955665588
dam_lmp__congestion_usd_per_mwh__th_sp15,0.8539787,0.8021978021978022,0.575091575091575,0.39194139194139194,0.8571428571428572,,
dam_lmp__loss_usd_per_mwh__th_sp15_gen_a,0.71027315,0.8681318681318682,0.3186813186813187,0.23076923076923075,0.8791208791208791,,
rt15_lmp_hourly_mean__congestion_usd_per,0.67240095,0.8461538461538461,0.5091575091575092,0.39926739926739924,0.7472527472527473,,
dam_as_total_procured__mw__ru__as_caiso,0.6241298,0.4065934065934066,0.5531135531135533,0.17948717948717952,0.8351648351648352,,
dam_as_total_procured__mw__rd__as_caiso,0.9810064,0.8461538461538461,0.39926739926739935,0.39194139194139194,0.8241758241758242,0.2284274743977739,0.0458206944167614
dam_as_total_procured__mw__sr__as_caiso,0.28630984,0.6483516483516484,0.6043956043956044,0.36996336996337,0.7252747252747254,,
dam_as_total_procured__mw__nr__as_caiso,0.37405902,0.7802197802197802,0.5091575091575091,0.45054945054945056,0.7802197802197803,,
