est,K,alpha,分层上界覆盖率,分层上界紧度,全局q上界覆盖率,全局q上界紧度
L0ensx,1,0.05,0.967479674796748,0.017823324,0.967479674796748,0.018228726
L0ensx,1,0.01,0.9959349593495935,0.050150774,0.9979674796747967,0.047356676
L0ensx,2,0.05,0.9817073170731707,0.022825545,0.9796747967479674,0.022136934
L0ensx,2,0.01,0.9979674796747967,0.05010275,0.9979674796747967,0.044275988
L0ensx,3,0.05,0.9207317073170732,0.021033676,0.9105691056910569,0.02016054
L0ensx,3,0.01,0.975609756097561,0.043161657,0.9695121951219512,0.039367545
L0,1,0.05,0.967479674796748,0.0181606,0.9634146341463414,0.018004257
L0,1,0.01,0.991869918699187,0.045353595,0.9878048780487805,0.04270023
L0,2,0.05,0.9613821138211383,0.020332893,0.9532520325203252,0.019773848
L0,2,0.01,0.9959349593495935,0.04383209,0.9959349593495935,0.040664088
L0,3,0.05,0.8943089430894309,0.016982924,0.8821138211382114,0.017088803
L0,3,0.01,0.9715447154471545,0.038717046,0.967479674796748,0.03719296
