,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,forecast_load_mw_day_ahead,rmccp,rmpcp,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,da_as_ss_mw_synchronized_reserve,da_as_ss_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,total_lmp_rt,marginal_loss_price_rt,net_inadv_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw,net_actual_interchange_mw,gross_actual_interchange_mw,total_gen,metered_load_mw,total_losses,congestion_price_da,congestion_price_rt,marginal_loss_price_da,total_lmp_da,da_as_total_mw_primary_reserve,da_as_total_mw_synchronized_reserve,da_as_total_mw_thirty_minutes_reserve
gen_fuel_coal_mw,0.2,0.2009546,0.2,0.2,0.19938764,0.19969618,0.2004967,0.2,0.2,0.2,0.19910704,0.2,0.2,0.2,0.20005633,0.199771,0.20004605,0.2,0.2,0.20005976,0.20018731,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.199554,0.20009117,0.19975308,0.2,0.20051366,0.19982296,0.2,0.20021786,0.20021653,0.2002552,0.20020561,0.2,0.2,0.20016477,0.2002088,0.2,0.2,0.2
gen_fuel_gas_mw,0.2000281,0.2,0.20000729,0.19993816,0.19994119,0.20002514,0.2,0.2,0.2,0.19988869,0.19998047,0.20007247,0.2,0.2,0.19996181,0.20001984,0.19993709,0.2,0.19985944,0.20006454,0.20008555,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20000789,0.20000945,0.20000748,0.2,0.2,0.2,0.2,0.20001948,0.20005329,0.20006987,0.19999586,0.2,0.20001599,0.2,0.2,0.19994803,0.19994721,0.19996633,0.2,0.2,0.19997738,0.19995761,0.2,0.19996949,0.2
gen_fuel_hydro_mw,0.2,0.20020607,0.2,0.2,0.2,0.20026806,0.2,0.2,0.19948097,0.2,0.2,0.2,0.19952102,0.2,0.19961797,0.20021391,0.2,0.2,0.2,0.20014505,0.20022148,0.2,0.19929439,0.19964787,0.19953646,0.2,0.2,0.2,0.1996779,0.20014124,0.2008114,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20149246,0.19994254,0.2,0.2,0.2,0.2,0.2,0.2,0.19989054,0.19985566,0.2,0.2,0.2,0.19982676,0.19960053,0.2,0.2,0.2
gen_fuel_multiple_fuels_mw,0.2,0.19966263,0.2,0.2,0.2,0.20030427,0.2,0.2,0.2,0.19969326,0.2,0.20027767,0.2,0.19938897,0.20002572,0.2004557,0.19974509,0.2,0.19953352,0.19925627,0.19922893,0.2,0.2,0.2,0.2,0.2,0.2,0.20055838,0.19946782,0.2,0.2,0.2,0.2,0.2,0.19964285,0.1996867,0.19967318,0.2,0.20066822,0.20059393,0.20080628,0.2,0.2,0.2,0.2,0.2,0.19989438,0.19986139,0.2,0.2,0.20103118,0.2,0.2002007,0.2,0.2,0.20071898
gen_fuel_nuclear_mw,0.19627182,0.20222639,0.2,0.2,0.2,0.2,0.20051889,0.2,0.2,0.2,0.19275513,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20265318,0.20351109,0.2,0.2,0.2,0.2,0.19937707,0.2,0.2,0.2,0.2,0.2,0.20041297,0.19966914,0.20042175,0.2,0.2,0.2,0.19900082,0.2,0.2,0.2,0.2,0.19888228,0.19943915,0.20010246,0.20046422,0.19969113,0.19974416,0.19988842,0.2,0.2,0.2,0.2,0.20025174,0.2,0.19981219
gen_fuel_oil_mw,0.20028493,0.20017181,0.19985591,0.19975653,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20051737,0.2,0.19970895,0.20007262,0.19997898,0.19991897,0.2,0.19968313,0.20005065,0.19999178,0.19997957,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20009893,0.19998394,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19985795,0.20011672,0.19999883,0.2,0.2,0.2,0.2,0.2,0.20000908,0.19999042,0.2,0.2,0.19996963,0.20000975,0.1999953,0.2,0.2,0.1999406
gen_fuel_other_renewables_mw,0.19994988,0.2,0.2,0.2,0.19999325,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20003155,0.2,0.2,0.20000221,0.20002583,0.2,0.2,0.2,0.2,0.20005268,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
gen_fuel_solar_mw,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20000029,0.2,0.2,0.2,0.2,0.2,0.2,0.19999458,0.2,0.19999424,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20000282,0.2,0.19999875,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
gen_fuel_storage_mw,0.2,0.2,0.1999008,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19987868,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19988246,0.2,0.2,0.2,0.2,0.20019473,0.20034288,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.20026302,0.1992149,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19990706,0.2,0.2,0.2
gen_fuel_wind_mw,0.2,0.19999236,0.2,0.1999984,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19998929,0.2,0.1999967,0.2,0.2,0.2,0.2,0.20000535,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
