confidential_field,test_r2
metered_load_mw,0.9890914559364319
total_gen,0.9887322187423706
total_lmp_da,0.9825389385223389
da_as_total_mw_primary_reserve,0.9489960670471191
da_as_total_mw_synchronized_reserve,0.915184736251831
total_losses,0.8639974594116211
da_as_total_mw_thirty_minutes_reserve,0.8619189262390137
net_actual_interchange_mw,0.8556079268455505
gross_actual_interchange_mw,0.7944615483283997
marginal_loss_price_da,0.7836399674415588
congestion_price_rt,0.6692984104156494
congestion_price_da,0.588994562625885
