scheme,mode,n_seed,tune_parent_mae,test_parent_mae,tune_s1_spearman,test_s1_spearman,tune_top30_recall,test_top30_recall,tune_top30_precision,test_top30_precision,tune_top30_f1,test_top30_f1,extreme_parent_error,extreme_pair_error,extreme_syn_est,extreme_top30_hit,extreme_conf_match,extreme_monotonicity_violation,r2_full,epochs_run
local234_20_60_20,hybrid_uniform_pairs,1,0.19215545904183234,0.19337887635704593,0.3852899696131065,0.39788097616593643,0.6826046866272422,0.6551265087676278,0.18721100219623746,0.18768405648625777,0.29383491038241905,0.2917780240216832,-0.3757543524106344,-0.0699396252632141,-0.013788831233978272,3.0,1.0,9.0,0.0,400.0
local234_20_60_20,single,1,0.19215545904183234,0.19337887635704593,0.7010474374672442,0.7098835923864371,0.8384390321751236,0.8230453728431261,0.22883460152182622,0.2437435356385832,0.3595401512235229,0.3761043774879088,-0.3757543524106344,-0.07021930615107216,-0.013509150346120198,1.0,2.0,12.0,0.0,400.0
local234_group32,hybrid_uniform_pairs,1,0.19028428557764046,0.1917713151393105,0.34016971565422993,0.3646895444743685,0.6775979927120552,0.6232641929929046,0.17866053689144562,0.17482837026969417,0.28276511588283904,0.2730617177109388,-0.387772536277771,-0.0699396252632141,-0.025807015101114907,2.0,1.0,13.0,0.6996961236000061,333.0
local234_group32,single,1,0.19028428557764046,0.1917713151393105,0.6551942550690009,0.6853436548297954,0.8238569364033727,0.7094825658009979,0.22406057896663328,0.2233484946751496,0.3523060917462359,0.3397439681929792,-0.387772536277771,-0.0743463079134623,-0.0214003324508667,1.0,1.0,14.0,0.6996961236000061,333.0
local234_group8,hybrid_uniform_pairs,1,0.19131441118736828,0.19204276640048573,0.4119665959065338,0.3988477952160411,0.6791938930214826,0.6776202500262748,0.17885554361456507,0.19343770962957496,0.28314823778056103,0.3009611650078726,-0.3865532120068868,-0.0699396252632141,-0.024587690830230713,2.0,1.0,12.0,0.7081931233406067,307.0
local234_group8,single,1,0.19131441118736828,0.19204276640048573,0.6785360531714846,0.6789860783487243,0.8254528367128001,0.823045372843126,0.21434851767715668,0.24447000541503025,0.3403238343839221,0.37696863362115657,-0.3865532120068868,-0.07632336616516112,-0.01820394992828369,1.0,1.0,13.0,0.7081931233406067,307.0
local234_uniform10,hybrid_uniform_pairs,2,0.19084785132937077,0.19199900549268695,0.39268204964676623,0.3986827835541095,0.7237381304914485,0.6674196469234482,0.19147803510767453,0.18908360811936165,0.3028267753185788,0.2945880979710785,-0.373560118675232,-0.07067532340685526,-0.010858899354934693,3.5,1.0,10.0,0.7151192426681519,335.5
local234_uniform10,single,2,0.19084785132937077,0.19199900549268695,0.6929642704047773,0.7072497973502463,0.8351377350628164,0.8266833925746673,0.22536177010462394,0.2445654864434913,0.35489844671995807,0.37746244674323404,-0.373560118675232,-0.07364071806271869,-0.007893504699071248,1.0,1.0,10.5,0.7151192426681519,335.5
logunif,single,1,0.1928090474521141,0.19391124080556554,0.7122225876186044,0.6964191653335494,0.8026722464070078,0.8057351359945675,0.21686138038017802,0.23232835369750693,0.34146713119648114,0.3606621743673564,-0.3599758505821228,-0.07002181609471637,0.002071861426035563,1.0,4.0,9.0,0.770542323589325,210.0
small80,single,1,0.1902885245049282,0.19190180891362923,0.7154592832689142,0.7249618704976011,0.8546170282563016,0.8105858289699557,0.22909042511473368,0.24436239266245854,0.3613236721857159,0.37551926921850115,-0.3679396629333496,-0.0717385133107503,-0.004175253709157308,1.0,2.0,13.0,0.7461308836936951,329.0
triple40_pair30_uniform30,hybrid_uniform_pairs,1,0.19221616608708988,0.19279429926206562,0.4396082721108472,0.44637931689254495,0.6937759887932334,0.6426669648944571,0.18884699277098901,0.18935406199940852,0.2968821611876152,0.29252049258875273,-0.3588377753893534,-0.0699396252632141,0.003127745787302653,1.0,1.0,8.0,0.7593297958374023,268.0
triple40_pair30_uniform30,single,1,0.19221616608708988,0.19279429926206562,0.7185602304084179,0.7075632979230747,0.835247231556269,0.8254707193308202,0.22715834511241617,0.25551660497367196,0.3571769257367483,0.3902385735083305,-0.3588377753893534,-0.06799630721410115,0.0011844277381896974,1.0,4.0,11.0,0.7593297958374023,268.0
triple50_pair40_uniform10,hybrid_uniform_pairs,2,0.18654747182935416,0.18765635445058604,0.32208360041214135,0.3495878377023195,0.637731959676919,0.5825803530765521,0.1742395679283185,0.16191520275521504,0.27363557663071714,0.2532980238116569,-0.37973098556200663,-0.07067532340685526,-0.01702976624170939,2.0,1.5,12.5,0.6972638070583344,225.0
triple50_pair40_uniform10,single,2,0.18654747182935416,0.18765635445058604,0.6806609450189651,0.6795660657205111,0.8384390321751236,0.7761317609901883,0.22246794642663953,0.23662104424388114,0.35163383777378654,0.36264313979965224,-0.37973098556200663,-0.07554815014203388,-0.012156939506530762,1.0,2.0,13.0,0.6972638070583344,225.0
triple70_group32,hybrid_uniform_pairs,1,0.18850183214163937,0.18988633820857215,0.3697078703273815,0.40296826198925745,0.6741871991062958,0.6305402324559868,0.18557451031019667,0.18388729175475357,0.2910386865599435,0.28473579843979224,-0.3839566508928935,-0.0699396252632141,-0.021991129716237387,2.0,1.0,12.0,0.696280300617218,206.0
triple70_group32,single,1,0.18850183214163937,0.18988633820857215,0.6777887673241976,0.695803741624757,0.8286446373316546,0.7859995526583144,0.2202987806042223,0.24687094121665,0.3480633941487795,0.37573045316195036,-0.3839566508928935,-0.0785361607869466,-0.013394594192504883,1.0,1.0,14.0,0.696280300617218,206.0
triple70_group8,hybrid_uniform_pairs,1,0.18788317139228533,0.1889514132624162,0.3637747096352026,0.3996137817377395,0.6124480224135334,0.6454251228168515,0.17574339480937057,0.17404697644201636,0.27311562204641604,0.2741625767310087,-0.38744003772735597,-0.0699396252632141,-0.02547451655069987,2.0,1.0,12.0,0.686720073223114,191.0
triple70_group8,single,1,0.18788317139228533,0.1889514132624162,0.6806897851337519,0.66797524783564,0.8058640470258625,0.7859995526583144,0.2195613970459462,0.23871987912979672,0.345098977243065,0.36621481429165587,-0.38744003772735597,-0.08712822198867796,-0.008285919825236002,2.0,2.0,13.0,0.686720073223114,191.0
triple70_pair20_uniform10,hybrid_uniform_pairs,1,0.18678406978213805,0.18794985611422965,0.38503430181866827,0.38255101160107663,0.6580092030251177,0.630873043890687,0.18819036143172982,0.1742890113162597,0.292675616826121,0.27312325108894053,-0.3885708371798197,-0.0699396252632141,-0.026605316003163657,1.0,2.0,12.0,0.6948872208595276,165.0
triple70_pair20_uniform10,single,1,0.18678406978213805,0.18794985611422965,0.6850857771052152,0.6593247672521365,0.8286446373316546,0.7316434956249447,0.22798979556490545,0.22560318953396782,0.3575929679734256,0.34486639394811247,-0.3885708371798197,-0.07798680861790973,-0.018558132648468017,2.0,1.0,14.0,0.6948872208595276,165.0
triple90_pair10,hybrid_uniform_pairs,1,0.19158985793028688,0.19213521427221938,0.4109803855308122,0.41713947363462983,0.6693994981780138,0.6527011622799337,0.1835893502911133,0.18246489770273758,0.28815058761028306,0.28520088761350554,-0.38517837127049764,-0.0699396252632141,-0.023212850093841553,4.0,1.0,11.0,0.0,318.0
triple90_pair10,single,1,0.19158985793028688,0.19213521427221938,0.6665270558224196,0.6776151994499741,0.8320554309374141,0.8081604824822615,0.22380847902660758,0.2377749014368711,0.3527368607006875,0.367441970167157,-0.38517837127049764,-0.0769413669904073,-0.016211108366648356,1.0,2.0,12.0,0.0,318.0
triple_only,hybrid_uniform_pairs,1,0.1937602108750417,0.19437308638473713,0.3710907472217512,0.40920838476731886,0.6839815939497647,0.6253567280458984,0.18175178664068203,0.1853314847411279,0.2871897503707807,0.2859256840633192,-0.3758245547612508,-0.0699396252632141,-0.013859033584594727,3.0,1.0,11.0,0.0,400.0
