scheme,mode,K,strength_bin,n_sample,estimated_count,recall_top30,parent_error_mean,pair_error_mean,syn_est_mean,syn_true_mean
uniform,single,0,<=0.10,1870,12205.082222222221,0.22447474977181642,0.09212990295640451,0.12450789338506976,0.01620602106142517,0.04858401149009045
uniform,single,0,0.10-0.12,89,579.9777777777778,0.8523276753898618,0.08876904523485932,0.13419940329134944,0.06302295998643791,0.10845331804292802
uniform,single,0,0.12-0.15,127,317.2538888888888,0.8847960886566489,-0.0038175009079731807,0.059259956848236935,0.06832119588068426,0.13139865363689437
uniform,single,0,0.15-0.20,96,120.54888888888888,0.6907939609563662,-0.1494830138287061,-0.04985968132467296,0.06756302007046056,0.16718635257449369
uniform,single,0,>0.20,15,21.13722222222222,0.047309906168686106,-0.3319255113711347,-0.054390177583056545,-0.0029637603266974006,0.2745715734613807
uniform,single,1,<=0.10,1870,12205.082222222221,0.23967888968657325,0.0908154089104988,0.12127200946541533,0.018127410935173924,0.04858401149009045
uniform,single,1,0.10-0.12,89,579.9777777777778,0.8400216483390169,0.08406585396875431,0.13167636311576306,0.06084280889591929,0.10845331804292802
uniform,single,1,0.12-0.15,127,317.2538888888888,0.8429543810863015,-0.01468633970154507,0.048407382865216786,0.06830493107013254,0.13139865363689437
uniform,single,1,0.15-0.20,96,120.54888888888888,0.6576124025291721,-0.15894565417548706,-0.05291334527469326,0.061154043673699865,0.16718635257449369
uniform,single,1,>0.20,15,21.13722222222222,0.047309906168686106,-0.33490452705132845,-0.06185865369949603,0.001525700109548323,0.2745715734613807
uniform,single,5,<=0.10,1870,12205.082222222221,0.22948067899583546,0.11178749269244938,0.1371613665824422,0.02321013760009761,0.04858401149009045
uniform,single,5,0.10-0.12,89,579.9777777777778,0.8646337024407066,0.10945099531237376,0.14854959929358016,0.0693547140617216,0.10845331804292802
uniform,single,5,0.12-0.15,127,317.2538888888888,0.9230532153532836,0.02112096811452408,0.07391141438781167,0.0786082073636068,0.13139865363689437
uniform,single,5,0.15-0.20,96,120.54888888888888,0.7748861688203956,-0.12380740419091994,-0.03579957266967985,0.0791785210532536,0.16718635257449369
uniform,single,5,>0.20,15,21.13722222222222,0.18923962467474442,-0.2990764103324434,-0.03848808513169069,0.013983248260627993,0.2745715734613807
uniform,single,10,<=0.10,1870,12205.082222222221,0.22890714742328655,0.1182731617873176,0.14170704883796212,0.025150124439445927,0.04858401149009045
uniform,single,10,0.10-0.12,89,579.9777777777778,0.8892457565423962,0.12021465084005481,0.15616575130698435,0.0725022175759985,0.10845331804292802
