confidential_field,test_r2,test_mse,used_in_loss
da_as_total_mw_primary_reserve,0.9703059680759907,0.04105721786618233,True
metered_load_mw,0.9672238416969776,0.014172692783176899,True
da_as_total_mw_synchronized_reserve,0.9427695125341415,0.04820116609334946,True
total_gen,0.9269001185894012,0.033438313752412796,True
total_lmp_da,0.8618464171886444,0.06000145897269249,True
total_losses,0.6264620125293732,0.327932745218277,True
congestion_price_rt,0.47380566596984863,0.8599628210067749,True
marginal_loss_price_da,0.43478190898895264,0.3095669746398926,True
da_as_total_mw_thirty_minutes_reserve,0.40658658742904663,0.425852507352829,True
congestion_price_da,0.24855148792266846,1.273629903793335,True
gross_actual_interchange_mw,-0.5567127466201782,0.9089015126228333,False
net_actual_interchange_mw,-1.9254083633422852,2.2747650146484375,False
