confidential_field,model_r2,probe_r2,gap
metered_load_mw,0.99081826,0.9962878493933236,-0.0054695606
total_gen,0.99018556,0.99832719588513,-0.008141637
total_lmp_da,0.9813454,0.99047564583207,-0.0091302395
da_as_total_mw_primary_reserve,0.9517003,0.953601669814596,-0.0019013286
da_as_total_mw_synchronized_reserve,0.9137078,0.920000100798808,-0.0062922835
da_as_total_mw_thirty_minutes_reserve,0.8691339,0.9141437178213236,-0.04500985
net_actual_interchange_mw,0.86142683,0.9295984627394396,-0.06817162
total_losses,0.8479334,0.9334742413917716,-0.08554083
gross_actual_interchange_mw,0.7975658,0.8759973140166133,-0.07843149
marginal_loss_price_da,0.7719164,0.8816090434068973,-0.10969263
congestion_price_rt,0.64130235,0.6702083206524372,-0.028905988
congestion_price_da,0.62093544,0.6602494811248918,-0.03931403
