confidential_field,test_r2
metered_load_mw,0.9908182621002197
total_gen,0.990185558795929
total_lmp_da,0.9813453555107117
da_as_total_mw_primary_reserve,0.9517004489898682
da_as_total_mw_synchronized_reserve,0.9137079119682312
da_as_total_mw_thirty_minutes_reserve,0.8691339492797852
net_actual_interchange_mw,0.8614269495010376
total_losses,0.8479334115982056
gross_actual_interchange_mw,0.7975656986236572
marginal_loss_price_da,0.7719165086746216
congestion_price_rt,0.6413023471832275
congestion_price_da,0.6209355592727661
