order,sid,group,arch,K,conf,truth_syn,est_syn
2,p00_01,pair,mlp,0,congestion_price_da,0.015862226486206055,0.008055627346038818
2,p00_01,pair,mlp,0,congestion_price_rt,0.0227469801902771,-0.0035628676414489746
2,p00_01,pair,mlp,0,da_as_total_mw_primary_reserve,0.05070900917053223,0.037809133529663086
2,p00_01,pair,mlp,0,da_as_total_mw_synchronized_reserve,0.08781993389129639,0.028353989124298096
2,p00_01,pair,mlp,0,da_as_total_mw_thirty_minutes_reserve,0.07950812578201294,0.029880285263061523
2,p00_01,pair,mlp,0,gross_actual_interchange_mw,0.03921687602996826,0.041481196880340576
2,p00_01,pair,mlp,0,marginal_loss_price_da,0.10393726825714111,0.02923142910003662
2,p00_01,pair,mlp,0,metered_load_mw,0.07229828834533691,0.06894159317016602
2,p00_01,pair,mlp,0,net_actual_interchange_mw,0.06157124042510986,0.053264737129211426
2,p00_01,pair,mlp,0,total_gen,0.06313598155975342,0.0636674165725708
2,p00_01,pair,mlp,0,total_lmp_da,0.13762080669403076,0.05939584970474243
2,p00_01,pair,mlp,0,total_losses,0.07927799224853516,0.047482073307037354
2,p00_02,pair,mlp,0,congestion_price_da,0.04060560464859009,0.04403531551361084
2,p00_02,pair,mlp,0,congestion_price_rt,0.01993417739868164,0.02083718776702881
2,p00_02,pair,mlp,0,da_as_total_mw_primary_reserve,0.08761489391326904,0.07167112827301025
2,p00_02,pair,mlp,0,da_as_total_mw_synchronized_reserve,0.1091909408569336,0.0657578706741333
2,p00_02,pair,mlp,0,da_as_total_mw_thirty_minutes_reserve,0.16340309381484985,0.11249333620071411
2,p00_02,pair,mlp,0,gross_actual_interchange_mw,0.039833247661590576,0.014179527759552002
2,p00_02,pair,mlp,0,marginal_loss_price_da,0.16446667909622192,0.041202008724212646
2,p00_02,pair,mlp,0,metered_load_mw,0.07752764225006104,0.07815641164779663
2,p00_02,pair,mlp,0,net_actual_interchange_mw,0.02171391248703003,-0.008547723293304443
2,p00_02,pair,mlp,0,total_gen,0.06879997253417969,0.06956326961517334
2,p00_02,pair,mlp,0,total_lmp_da,0.22435927391052246,0.10037428140640259
2,p00_02,pair,mlp,0,total_losses,0.016789495944976807,0.00787973403930664
2,p00_03,pair,mlp,0,congestion_price_da,0.04639798402786255,0.037287890911102295
2,p00_03,pair,mlp,0,congestion_price_rt,0.028211772441864014,0.00648421049118042
2,p00_03,pair,mlp,0,da_as_total_mw_primary_reserve,0.06356453895568848,0.03843379020690918
2,p00_03,pair,mlp,0,da_as_total_mw_synchronized_reserve,0.04098719358444214,0.04195529222488403
2,p00_03,pair,mlp,0,da_as_total_mw_thirty_minutes_reserve,0.16836154460906982,0.0892941951751709
2,p00_03,pair,mlp,0,gross_actual_interchange_mw,0.04881644248962402,0.029321789741516113
