task,reference,cohort,order,K,n_subsets,gnn_minus_mlp_mae,ci95_low,ci95_high,fraction_subsets_mlp_lower_mae
direct_mae,dnn_full,wide_all,0,0,50,0.05945254226525625,0.05209677274773518,0.06622266790022452,1.0
direct_mae,dnn_full,single,0,0,44,0.014796131713823841,0.01203439931356997,0.017804035360953124,1.0
direct_mae,dnn_full,pair,0,0,946,0.03179530475952829,0.03058487827915218,0.033017130864625294,0.9894291754756871
direct_mae,dnn_full,triple_all,0,0,397,0.0469655037977233,0.044595328893584425,0.049304250944296316,0.9949622166246851
direct_mae,dnn_full,wide_all,0,10,50,0.06256352881590525,0.054635761931538594,0.07021615300327538,1.0
direct_mae,dnn_full,single,0,10,44,0.012725851639653696,0.009893994795327836,0.01571179696104743,0.9772727272727273
direct_mae,dnn_full,pair,0,10,946,0.02129772181049714,0.020420987078811056,0.022201172830674784,0.9756871035940803
direct_mae,dnn_full,triple_all,0,10,397,0.026913524161958573,0.025114275303010074,0.028695257968331066,0.9546599496221663
direct_mae,dnn_full,wide_all,0,50,50,0.05824735929568607,0.050875087663531306,0.0649709139317274,1.0
direct_mae,dnn_full,single,0,50,44,0.00990876386111433,0.006920858153678253,0.012697457465710063,0.9090909090909091
direct_mae,dnn_full,pair,0,50,946,0.0162840260270198,0.01536165780024872,0.017245606924627052,0.8858350951374208
direct_mae,dnn_full,triple_all,0,50,397,0.018680619615451515,0.016853599534952572,0.020488843753133177,0.8690176322418136
direct_mae,dnn_full,wide_all,0,200,50,0.05896991839011511,0.051743022777140144,0.06628646270185709,1.0
direct_mae,dnn_full,single,0,200,44,0.013669108802622015,0.010221122865649785,0.016951570518766387,0.9318181818181818
direct_mae,dnn_full,pair,0,200,946,0.020030911541934412,0.018979943965819625,0.021129229369194594,0.9016913319238901
direct_mae,dnn_full,triple_all,0,200,397,0.022323440757246203,0.020145229931129417,0.02444545876869727,0.8841309823677582
direct_mae,best_struct_audit,wide_all,0,0,50,0.0597098312775294,0.052643087369700275,0.06698285471399625,1.0
direct_mae,best_struct_audit,pair,0,0,9,0.023036151020615184,0.009807266267361465,0.036932623896885765,1.0
direct_mae,best_struct_audit,triple_all,0,0,9,0.045870118119098524,0.032431142639230796,0.06198182954556411,1.0
direct_mae,best_struct_audit,wide_all,0,10,50,0.06299850523471832,0.05507008700072766,0.07057338777681192,1.0
direct_mae,best_struct_audit,pair,0,10,9,-0.0036715158709773313,-0.028612569926513565,0.0156444742999695,0.7777777777777778
direct_mae,best_struct_audit,triple_all,0,10,9,0.030067012265876485,0.020941002018473764,0.0393214521722661,1.0
direct_mae,best_struct_audit,wide_all,0,50,50,0.059526890416940044,0.051936924939354256,0.06655794860919317,1.0
direct_mae,best_struct_audit,pair,0,50,9,0.013954740431573655,0.006807901517108635,0.020334484814493736,0.7777777777777778
direct_mae,best_struct_audit,triple_all,0,50,9,0.027543218599425424,0.019105585071223757,0.03747195008176342,1.0
direct_mae,best_struct_audit,wide_all,0,200,50,0.06081888784964879,0.053324736982584005,0.06839281715701023,1.0
direct_mae,best_struct_audit,pair,0,200,9,0.03656893085550379,0.021522864851134794,0.05168867387153484,0.8888888888888888
direct_mae,best_struct_audit,triple_all,0,200,9,0.03623979897410781,0.016675494790629106,0.05855347136104547,0.8888888888888888
synergy_mae,dnn_full,order_2,2,0,946,0.015372488503308258,0.01433263063572552,0.016396452466956615,0.9069767441860465
synergy_mae,dnn_full,order_2,2,10,946,0.010367128417851472,0.009756960408989185,0.010931011900657536,0.9312896405919662
synergy_mae,dnn_full,order_2,2,50,946,0.010022681623886302,0.009477586028513311,0.010625615072390031,0.9323467230443975
synergy_mae,dnn_full,order_2,2,200,946,0.010775931205776397,0.010122653819526099,0.011461505485229966,0.9281183932346723
synergy_mae,dnn_full,order_3,3,0,397,0.015993920271382626,0.014454367098740224,0.01761212975919046,0.871536523929471
synergy_mae,dnn_full,order_3,3,10,397,0.011786515176246189,0.010864113466728144,0.01274446742116504,0.9496221662468514
synergy_mae,dnn_full,order_3,3,50,397,0.01082040309455593,0.009954678041721272,0.011668825226794462,0.9571788413098237
synergy_mae,dnn_full,order_3,3,200,397,0.01112935406184817,0.010236947870274534,0.012087503801890524,0.9571788413098237
