sid,source,group,size,arch,seed,conf,r2
p00_01,d67_single_pair,pair,2,mlp,0,net_actual_interchange_mw,0.18379861116409302
p00_01,d67_single_pair,pair,2,mlp,0,gross_actual_interchange_mw,0.17587029933929443
p00_01,d67_single_pair,pair,2,mlp,0,total_gen,0.9231055378913879
p00_01,d67_single_pair,pair,2,mlp,0,metered_load_mw,0.8990307450294495
p00_01,d67_single_pair,pair,2,mlp,0,total_losses,0.532091498374939
p00_01,d67_single_pair,pair,2,mlp,0,congestion_price_da,0.11868798732757568
p00_01,d67_single_pair,pair,2,mlp,0,congestion_price_rt,0.06263405084609985
p00_01,d67_single_pair,pair,2,mlp,0,marginal_loss_price_da,0.29402434825897217
p00_01,d67_single_pair,pair,2,mlp,0,total_lmp_da,0.4434548020362854
p00_01,d67_single_pair,pair,2,mlp,0,da_as_total_mw_primary_reserve,0.14967817068099976
p00_01,d67_single_pair,pair,2,mlp,0,da_as_total_mw_synchronized_reserve,0.1258683204650879
p00_01,d67_single_pair,pair,2,mlp,0,da_as_total_mw_thirty_minutes_reserve,0.3008483648300171
p00_02,d67_single_pair,pair,2,mlp,0,net_actual_interchange_mw,0.12198615074157715
p00_02,d67_single_pair,pair,2,mlp,0,gross_actual_interchange_mw,0.14403164386749268
p00_02,d67_single_pair,pair,2,mlp,0,total_gen,0.8133043050765991
p00_02,d67_single_pair,pair,2,mlp,0,metered_load_mw,0.8091769814491272
p00_02,d67_single_pair,pair,2,mlp,0,total_losses,0.49248915910720825
p00_02,d67_single_pair,pair,2,mlp,0,congestion_price_da,0.13656938076019287
p00_02,d67_single_pair,pair,2,mlp,0,congestion_price_rt,0.06215310096740723
p00_02,d67_single_pair,pair,2,mlp,0,marginal_loss_price_da,0.3059949278831482
p00_02,d67_single_pair,pair,2,mlp,0,total_lmp_da,0.41436082124710083
p00_02,d67_single_pair,pair,2,mlp,0,da_as_total_mw_primary_reserve,0.15174102783203125
p00_02,d67_single_pair,pair,2,mlp,0,da_as_total_mw_synchronized_reserve,0.14473015069961548
p00_02,d67_single_pair,pair,2,mlp,0,da_as_total_mw_thirty_minutes_reserve,0.21192079782485962
p00_03,d67_single_pair,pair,2,mlp,0,net_actual_interchange_mw,0.2388249635696411
p00_03,d67_single_pair,pair,2,mlp,0,gross_actual_interchange_mw,0.1591739058494568
p00_03,d67_single_pair,pair,2,mlp,0,total_gen,0.7793593406677246
p00_03,d67_single_pair,pair,2,mlp,0,metered_load_mw,0.7833393812179565
p00_03,d67_single_pair,pair,2,mlp,0,total_losses,0.5195246934890747
p00_03,d67_single_pair,pair,2,mlp,0,congestion_price_da,0.12982195615768433
p00_03,d67_single_pair,pair,2,mlp,0,congestion_price_rt,0.1280723214149475
p00_03,d67_single_pair,pair,2,mlp,0,marginal_loss_price_da,0.2985631227493286
p00_03,d67_single_pair,pair,2,mlp,0,total_lmp_da,0.38559675216674805
p00_03,d67_single_pair,pair,2,mlp,0,da_as_total_mw_primary_reserve,0.11850368976593018
p00_03,d67_single_pair,pair,2,mlp,0,da_as_total_mw_synchronized_reserve,0.09991461038589478
p00_03,d67_single_pair,pair,2,mlp,0,da_as_total_mw_thirty_minutes_reserve,0.29821598529815674
p00_04,d67_single_pair,pair,2,mlp,0,net_actual_interchange_mw,0.3025485873222351
p00_04,d67_single_pair,pair,2,mlp,0,gross_actual_interchange_mw,0.1545417308807373
p00_04,d67_single_pair,pair,2,mlp,0,total_gen,0.7726534605026245
p00_04,d67_single_pair,pair,2,mlp,0,metered_load_mw,0.7411632537841797
p00_04,d67_single_pair,pair,2,mlp,0,total_losses,0.601448118686676
p00_04,d67_single_pair,pair,2,mlp,0,congestion_price_da,0.08659136295318604
p00_04,d67_single_pair,pair,2,mlp,0,congestion_price_rt,0.03841054439544678
p00_04,d67_single_pair,pair,2,mlp,0,marginal_loss_price_da,0.26659154891967773
p00_04,d67_single_pair,pair,2,mlp,0,total_lmp_da,0.30178964138031006
p00_04,d67_single_pair,pair,2,mlp,0,da_as_total_mw_primary_reserve,0.22231602668762207
p00_04,d67_single_pair,pair,2,mlp,0,da_as_total_mw_synchronized_reserve,0.07082045078277588
p00_04,d67_single_pair,pair,2,mlp,0,da_as_total_mw_thirty_minutes_reserve,0.388977587223053
p00_05,d67_single_pair,pair,2,mlp,0,net_actual_interchange_mw,0.17402398586273193
p00_05,d67_single_pair,pair,2,mlp,0,gross_actual_interchange_mw,0.13688069581985474
p00_05,d67_single_pair,pair,2,mlp,0,total_gen,0.8200854659080505
p00_05,d67_single_pair,pair,2,mlp,0,metered_load_mw,0.8245002627372742
p00_05,d67_single_pair,pair,2,mlp,0,total_losses,0.4918859601020813
p00_05,d67_single_pair,pair,2,mlp,0,congestion_price_da,0.1808353066444397
p00_05,d67_single_pair,pair,2,mlp,0,congestion_price_rt,0.12160134315490723
p00_05,d67_single_pair,pair,2,mlp,0,marginal_loss_price_da,0.49748843908309937
p00_05,d67_single_pair,pair,2,mlp,0,total_lmp_da,0.6780189275741577
p00_05,d67_single_pair,pair,2,mlp,0,da_as_total_mw_primary_reserve,0.09073352813720703
p00_05,d67_single_pair,pair,2,mlp,0,da_as_total_mw_synchronized_reserve,0.06941848993301392
p00_05,d67_single_pair,pair,2,mlp,0,da_as_total_mw_thirty_minutes_reserve,0.32399314641952515
p00_06,d67_single_pair,pair,2,mlp,0,net_actual_interchange_mw,0.15772134065628052
p00_06,d67_single_pair,pair,2,mlp,0,gross_actual_interchange_mw,0.1402033567428589
p00_06,d67_single_pair,pair,2,mlp,0,total_gen,0.7451105117797852
p00_06,d67_single_pair,pair,2,mlp,0,metered_load_mw,0.732555091381073
p00_06,d67_single_pair,pair,2,mlp,0,total_losses,0.5122590065002441
p00_06,d67_single_pair,pair,2,mlp,0,congestion_price_da,0.09891510009765625
p00_06,d67_single_pair,pair,2,mlp,0,congestion_price_rt,0.04527723789215088
p00_06,d67_single_pair,pair,2,mlp,0,marginal_loss_price_da,0.2547506093978882
p00_06,d67_single_pair,pair,2,mlp,0,total_lmp_da,0.3113078474998474
p00_06,d67_single_pair,pair,2,mlp,0,da_as_total_mw_primary_reserve,0.09738367795944214
p00_06,d67_single_pair,pair,2,mlp,0,da_as_total_mw_synchronized_reserve,0.04221045970916748
p00_06,d67_single_pair,pair,2,mlp,0,da_as_total_mw_thirty_minutes_reserve,0.15732425451278687
p00_07,d67_single_pair,pair,2,mlp,0,net_actual_interchange_mw,0.1447230577468872
p00_07,d67_single_pair,pair,2,mlp,0,gross_actual_interchange_mw,0.2370099425315857
p00_07,d67_single_pair,pair,2,mlp,0,total_gen,0.7653694748878479
p00_07,d67_single_pair,pair,2,mlp,0,metered_load_mw,0.7530059814453125
p00_07,d67_single_pair,pair,2,mlp,0,total_losses,0.5264550447463989
p00_07,d67_single_pair,pair,2,mlp,0,congestion_price_da,0.09520858526229858
p00_07,d67_single_pair,pair,2,mlp,0,congestion_price_rt,0.024010121822357178
p00_07,d67_single_pair,pair,2,mlp,0,marginal_loss_price_da,0.2578798532485962
p00_07,d67_single_pair,pair,2,mlp,0,total_lmp_da,0.3140580654144287
p00_07,d67_single_pair,pair,2,mlp,0,da_as_total_mw_primary_reserve,0.06580990552902222
p00_07,d67_single_pair,pair,2,mlp,0,da_as_total_mw_synchronized_reserve,0.04829370975494385
p00_07,d67_single_pair,pair,2,mlp,0,da_as_total_mw_thirty_minutes_reserve,0.06936174631118774
p00_08,d67_single_pair,pair,2,mlp,0,net_actual_interchange_mw,0.14703893661499023
