arch,K,cohort,reference,n_subsets,n_entries,mae_per_conf,bias_per_conf,mean_est_r2,mean_truth_r2,subset_mean_spearman,median_per_conf_spearman,top20_subset_overlap,mean_time_per_subset
gnn,0,all,dnn_full,1431,17172,0.09790561395579497,-0.09788612612485607,0.20246168972797224,0.3003478158528283,0.9377298900523771,0.8853004886230824,1.0,0.0
gnn,0,wide_all,dnn_full,50,600,0.13618893971045812,-0.13618608405192692,0.4959457167983055,0.6321318008502325,0.975126050420168,0.9428334465183569,1.0,0.0
gnn,0,single,dnn_full,44,528,0.04020046465324633,-0.04018089604197127,0.09345681942773587,0.13363771546970715,0.9764657759160252,0.8580836122176496,1.0,0.0
gnn,0,pair,dnn_full,946,11352,0.08127008963945972,-0.08125022438586472,0.16596451693117997,0.24721474131704468,0.9622540165235784,0.8965348582783524,0.7,0.0
gnn,0,triple_all,dnn_full,397,4764,0.1381333883223065,-0.13811300858842737,0.2620810171218603,0.40019402571028767,0.8457221992720645,0.830306903266506,0.6,0.0
gnn,0,triple_top,dnn_full,197,2364,0.16301849118848338,-0.16301849118848338,0.29808420399219654,0.4611026951806799,0.71885016119969,0.714157954552997,0.55,0.0
gnn,0,triple_rand,dnn_full,200,2400,0.11362156199912231,-0.11358110822737216,0.22661787805457909,0.3401989862819513,0.9539128478211957,0.8929814758615737,0.7,0.0
gnn,0,wide_1-4,dnn_full,10,120,0.06794922004143397,-0.06794922004143397,0.16010883301496506,0.22805805305639903,0.9757575757575757,0.9153877382221722,,0.0
gnn,0,wide_5-8,dnn_full,10,120,0.16663344850142797,-0.16663344850142797,0.3793603827555974,0.5459938312570254,0.9393939393939393,0.8909090909090909,,0.0
gnn,0,wide_9-16,dnn_full,10,120,0.20091963907082874,-0.20091963907082874,0.5190979863206545,0.7200176253914833,0.34545454545454546,0.7333333333333332,,0.0
gnn,0,wide_17-32,dnn_full,10,120,0.13844358325004577,-0.13842930495738984,0.6680844237407049,0.8065137286980947,0.9272727272727272,0.7999999999999998,,0.0
gnn,0,wide_33-44,dnn_full,10,120,0.10699880768855413,-0.10699880768855413,0.7530769581596056,0.8600757658481598,0.5878787878787878,0.060606060606060594,,0.0
gnn,10,all,dnn_full,1431,17172,0.06946366258276222,-0.06943647278485364,0.2309113430679747,0.3003478158528283,0.9687769609484038,0.9245893170797261,1.0,0.1631832194444935
gnn,10,wide_all,dnn_full,50,600,0.12291962544123332,-0.12291891018549601,0.5092128906647364,0.6321318008502325,0.9752220888355341,0.9420130801260056,1.0,0.1576952791213989
gnn,10,single,dnn_full,44,528,0.032161793361107506,-0.03212636449571812,0.10151135097398903,0.13363771546970715,0.9848410288705913,0.8479587412383429,0.95,0.15737641941417346
gnn,10,pair,dnn_full,946,11352,0.05773443128543475,-0.05770290998441388,0.1895118313326308,0.24721474131704468,0.9805622232074412,0.9208957074376142,0.8,0.16514131231489443
gnn,10,triple_all,dnn_full,397,4764,0.09416170722291212,-0.09414282859022331,0.30605119712006434,0.40019402571028767,0.901777224416871,0.9016257505653142,0.75,0.15967934858288513
gnn,10,triple_top,dnn_full,197,2364,0.10759631654030176,-0.10759631654030176,0.3535063786403782,0.4611026951806799,0.7851978816445823,0.815988933325247,0.75,0.15955814613303557
gnn,10,triple_rand,dnn_full,200,2400,0.08092861704528331,-0.08089114295939605,0.25930784332255524,0.3401989862819513,0.9776164404110104,0.9422785988216887,0.75,0.15979873299598693
gnn,10,wide_1-4,dnn_full,10,120,0.05099210391441981,-0.05099210391441981,0.1770659491419792,0.22805805305639903,0.9878787878787878,0.9245067028843873,,0.15219790935516359
gnn,10,wide_5-8,dnn_full,10,120,0.1348829592267672,-0.1348829592267672,0.4111108720302582,0.5459938312570254,0.9757575757575757,0.909090909090909,,0.16243500709533693
gnn,10,wide_9-16,dnn_full,10,120,0.17569845219453176,-0.17569845219453176,0.5443191731969516,0.7200176253914833,0.4666666666666666,0.7393939393939393,,0.16316277980804444
gnn,10,wide_17-32,dnn_full,10,120,0.1437355548143387,-0.1437355548143387,0.662778173883756,0.8065137286980947,0.9272727272727272,0.6666666666666665,,0.1487347364425659
gnn,10,wide_33-44,dnn_full,10,120,0.10928905705610911,-0.10928548077742259,0.7507902850707372,0.8600757658481598,0.3696969696969697,0.12121212121212122,,0.16194596290588378
gnn,50,all,dnn_full,1431,17172,0.04516526035862094,-0.04495532206727607,0.25539249378555223,0.3003478158528283,0.9853298265082113,0.9424079147883275,1.0,0.7942609323812148
gnn,50,wide_all,dnn_full,50,600,0.09344989528258642,-0.09339339584112168,0.5387384050091107,0.6321318008502325,0.9806962785114045,0.9495076762347192,1.0,0.7923605060577392
gnn,50,single,dnn_full,44,528,0.021335805794506363,-0.02116879764379877,0.11246891782590837,0.13363771546970715,0.9808261666431691,0.8819021519843994,1.0,0.7919983592900363
gnn,50,pair,dnn_full,946,11352,0.038278744659052504,-0.03803745472384978,0.2091772865931949,0.24721474131704468,0.9863624334612102,0.9397216096093981,0.85,0.793351806999513
gnn,50,triple_all,dnn_full,397,4764,0.057788079021159185,-0.05762910815370273,0.3425649175565849,0.40019402571028767,0.9620950335986473,0.9429153833674188,0.65,0.7967680107135917
gnn,50,triple_top,dnn_full,197,2364,0.061733107452868606,-0.06172452418231319,0.39937817099836675,0.4611026951806799,0.9096183004812447,0.9269747952001304,0.75,0.7972986915995022
gnn,50,triple_rand,dnn_full,200,2400,0.053902226015925404,-0.053595123365521434,0.28660386291642986,0.3401989862819513,0.9841476036900924,0.9544540593313942,0.95,0.7962452900409699
gnn,50,wide_1-4,dnn_full,10,120,0.037292821208635966,-0.037129565080006914,0.19092848797639211,0.22805805305639903,0.9999999999999999,0.9281058740553318,,0.7694548606872559
gnn,50,wide_5-8,dnn_full,10,120,0.09921841273705165,-0.09921841273705165,0.44677541851997377,0.5459938312570254,0.9757575757575757,0.9272727272727272,,0.806453013420105
gnn,50,wide_9-16,dnn_full,10,120,0.13356573631366095,-0.13356573631366095,0.5864518890778224,0.7200176253914833,0.5757575757575757,0.7696969696969695,,0.8475945711135864
gnn,50,wide_17-32,dnn_full,10,120,0.11256115237871805,-0.11255954007307688,0.6939541886250178,0.8065137286980947,0.9272727272727272,0.7151515151515151,,0.7573554992675782
gnn,50,wide_33-44,dnn_full,10,120,0.08461135377486546,-0.08449372500181199,0.7755820408463479,0.8600757658481598,0.6121212121212121,0.32121212121212117,,0.7809445858001709
gnn,200,all,dnn_full,1431,17172,0.038545535836996186,-0.03802812153604962,0.2623196943167787,0.3003478158528283,0.9890535600638259,0.9424429161052699,1.0,3.1035380150203853
gnn,200,wide_all,dnn_full,50,600,0.07837831358114879,-0.07826359570026398,0.5538682051499685,0.6321318008502325,0.9853061224489795,0.9558492575574769,1.0,3.075539164543152
gnn,200,single,dnn_full,44,528,0.02138928865844553,-0.021076340566981922,0.11256137490272522,0.13363771546970715,0.9837868320879739,0.8798824373801147,1.0,3.069065749645233
gnn,200,pair,dnn_full,946,11352,0.03501097909407854,-0.03440775816250721,0.21280698315453747,0.24721474131704468,0.9883705254187785,0.9383066766242494,0.85,3.10380900763054
gnn,200,triple_all,dnn_full,397,4764,0.04360459274498982,-0.043223541276881314,0.35697048443340634,0.40019402571028767,0.9727588020247794,0.94711684448839,0.7,3.108904174953624
gnn,200,triple_top,dnn_full,197,2364,0.043014835912967495,-0.04271076786033998,0.41839192732034,0.4611026951806799,0.9361432621041034,0.9372890434942532,0.8,3.1210406794765877
gnn,200,triple_rand,dnn_full,200,2400,0.04418550322453181,-0.04372862309217453,0.29647036318977676,0.3401989862819513,0.9860946523663093,0.948948997993999,0.95,3.0969497179985046
gnn,200,wide_1-4,dnn_full,10,120,0.03326818645000458,-0.03271847069263458,0.19533958236376445,0.22805805305639903,0.9878787878787878,0.937436866561092,,3.0150812387466432
gnn,200,wide_5-8,dnn_full,10,120,0.08122531771659851,-0.08121058940887452,0.4647832418481509,0.5459938312570254,0.9757575757575757,0.9212121212121211,,3.028727650642395
gnn,200,wide_9-16,dnn_full,10,120,0.10996111780405045,-0.10996111780405045,0.6100565075874329,0.7200176253914833,0.709090909090909,0.8424242424242423,,3.212611126899719
gnn,200,wide_17-32,dnn_full,10,120,0.09533269057671229,-0.09533269057671229,0.7111810381213824,0.8065137286980947,0.9151515151515152,0.7515151515151515,,3.0538554430007934
gnn,200,wide_33-44,dnn_full,10,120,0.0721042553583781,-0.07209511001904806,0.7879806558291117,0.8600757658481598,0.5878787878787878,0.2121212121212121,,3.0674203634262085
