cohort,n_subsets,dnn_mean_r2,gcn_mean_r2,gcn_minus_dnn,gcn_win_fraction,gcn_significant_wins,dnn_significant_wins,best_per_conf_mean_r2,per_conf_envelope_gain
all,62,0.595174910881186,0.5929441485674152,-0.0022307623137709886,0.5,12,15,0.6127287914515824,0.007251114133865605
wide_all,50,0.6321318008502326,0.6392937969168027,0.007161996066570285,0.6,12,5,0.6496180097262065,0.004983101089795433
pair,9,0.21952340393154707,0.18169255002781196,-0.037830853903735126,0.1111111111111111,0,8,0.2271864187938196,0.006150111556053165
triple_all,9,0.41662692526976264,0.38764808630501785,-0.028978838964744846,0.0,0,5,0.4336622086939988,0.01703528342423616
triple_top,6,0.46019935856262834,0.42927666505177814,-0.03092269351085027,0.0,0,4,0.47847015741798615,0.018270798855357696
triple_rand,3,0.32948205868403113,0.30439092881149715,-0.025091129872533997,0.0,0,1,0.3440463112460242,0.014564252561993082
wide_1-4,10,0.22805805305639906,0.21669813344875974,-0.011359919607639306,0.2,1,4,0.23842677970727283,0.007322400311628977
wide_5-8,10,0.5459938312570255,0.5694622606039047,0.023468429346879337,0.7,6,1,0.5794862434267998,0.005093148847421003
wide_9-16,10,0.7200176253914833,0.7329768930872281,0.012959267695744814,0.8,4,0,0.7389690786600112,0.0037258972724278695
wide_17-32,10,0.8065137286980946,0.8161804944276809,0.009666765729586291,0.9,1,0,0.8223695526520413,0.004627850651741028
wide_33-44,10,0.8600757658481598,0.8611512030164402,0.001075437168280291,0.4,0,0,0.8688383941849072,0.004146208365758286
