sid,source,group,size,band,canonical_sid,is_duplicate_entry,conf,dnn,gcn,truth,truth_dnn,truth_best,has_gcn,winner,mean_dnn,mean_gcn,mean_winner
p00_01,d67_single_pair,pair,2,1-4,p00_01,False,congestion_price_da,0.13366645574569702,0.13973498344421387,0.13366645574569702,0.13366645574569702,0.13973498344421387,True,gcn,0.4114746153354645,0.39072754979133606,dnn
p00_01,d67_single_pair,pair,2,1-4,p00_01,False,congestion_price_rt,0.09416800737380981,0.11527186632156372,0.09416800737380981,0.09416800737380981,0.11527186632156372,True,gcn,0.4114746153354645,0.39072754979133606,dnn
p00_01,d67_single_pair,pair,2,1-4,p00_01,False,da_as_total_mw_primary_reserve,0.17605966329574585,0.19045740365982056,0.17605966329574585,0.17605966329574585,0.19045740365982056,True,gcn,0.4114746153354645,0.39072754979133606,dnn
p00_01,d67_single_pair,pair,2,1-4,p00_01,False,da_as_total_mw_synchronized_reserve,0.1970927119255066,0.21750813722610474,0.1970927119255066,0.1970927119255066,0.21750813722610474,True,gcn,0.4114746153354645,0.39072754979133606,dnn
p00_01,d67_single_pair,pair,2,1-4,p00_01,False,da_as_total_mw_thirty_minutes_reserve,0.39236152172088623,0.0,0.39236152172088623,0.39236152172088623,0.39236152172088623,True,dnn,0.4114746153354645,0.39072754979133606,dnn
p00_01,d67_single_pair,pair,2,1-4,p00_01,False,gross_actual_interchange_mw,0.20046216249465942,0.22772914171218872,0.20046216249465942,0.20046216249465942,0.22772914171218872,True,gcn,0.4114746153354645,0.39072754979133606,dnn
p00_01,d67_single_pair,pair,2,1-4,p00_01,False,marginal_loss_price_da,0.4556933045387268,0.4736393094062805,0.4556933045387268,0.4556933045387268,0.4736393094062805,True,gcn,0.4114746153354645,0.39072754979133606,dnn
p00_01,d67_single_pair,pair,2,1-4,p00_01,False,metered_load_mw,0.918269693851471,0.9161710739135742,0.918269693851471,0.918269693851471,0.918269693851471,True,dnn,0.4114746153354645,0.39072754979133606,dnn
p00_01,d67_single_pair,pair,2,1-4,p00_01,False,net_actual_interchange_mw,0.24509602785110474,0.25107353925704956,0.24509602785110474,0.24509602785110474,0.25107353925704956,True,gcn,0.4114746153354645,0.39072754979133606,dnn
p00_01,d67_single_pair,pair,2,1-4,p00_01,False,total_gen,0.9374999403953552,0.9341357350349426,0.9374999403953552,0.9374999403953552,0.9374999403953552,True,dnn,0.4114746153354645,0.39072754979133606,dnn
p00_01,d67_single_pair,pair,2,1-4,p00_01,False,total_lmp_da,0.6032160520553589,0.6249199509620667,0.6032160520553589,0.6032160520553589,0.6249199509620667,True,gcn,0.4114746153354645,0.39072754979133606,dnn
