reference,cohort,arch,K,conf,n_subsets,mae,bias,spearman
dnn_full,wide_all,gnn,0,congestion_price_da,50,0.20907476544380188,-0.20907476544380188,0.885930867219869
dnn_full,wide_all,gnn,0,congestion_price_rt,50,0.12991315364837647,-0.12991315364837647,0.8922747358578761
dnn_full,wide_all,gnn,0,da_as_total_mw_primary_reserve,50,0.09748162031173706,-0.0974473524093628,0.9566746144558268
dnn_full,wide_all,gnn,0,da_as_total_mw_synchronized_reserve,50,0.12249815583229065,-0.12249815583229065,0.9266875919293411
dnn_full,wide_all,gnn,0,da_as_total_mw_thirty_minutes_reserve,50,0.1582305061817169,-0.1582305061817169,0.9773082073080803
dnn_full,wide_all,gnn,0,gross_actual_interchange_mw,50,0.138205007314682,-0.138205007314682,0.9636913176463497
dnn_full,wide_all,gnn,0,marginal_loss_price_da,50,0.16136061310768127,-0.16136061310768127,0.9363934586585618
dnn_full,wide_all,gnn,0,metered_load_mw,50,0.06975254774093628,-0.06975254774093628,0.9007447592453324
dnn_full,wide_all,gnn,0,net_actual_interchange_mw,50,0.21992031574249268,-0.21992031574249268,0.9650695739872648
dnn_full,wide_all,gnn,0,total_gen,50,0.07190932750701905,-0.07190932750701905,0.8106174368097762
dnn_full,wide_all,gnn,0,total_lmp_da,50,0.10372354388237,-0.10372354388237,0.9605193833273462
dnn_full,wide_all,gnn,0,total_losses,50,0.1521977198123932,-0.1521977198123932,0.9492734343781519
dnn_full,single,gnn,0,congestion_price_da,44,0.025663497773083774,-0.025428674437782982,0.8124799591509809
dnn_full,single,gnn,0,congestion_price_rt,44,0.01862368123097853,-0.01862368123097853,0.8723532386692212
dnn_full,single,gnn,0,da_as_total_mw_primary_reserve,44,0.02689120037989183,-0.02689120037989183,0.7681227183350668
dnn_full,single,gnn,0,da_as_total_mw_synchronized_reserve,44,0.03140437738461928,-0.03140437738461928,0.7284613626807136
dnn_full,single,gnn,0,da_as_total_mw_thirty_minutes_reserve,44,0.06271072409369728,-0.06271072409369728,0.7588064801614739
dnn_full,single,gnn,0,gross_actual_interchange_mw,44,0.026849645105275242,-0.026849645105275242,0.8438139857660781
dnn_full,single,gnn,0,marginal_loss_price_da,44,0.037175580859184265,-0.037175580859184265,0.9301499805756306
dnn_full,single,gnn,0,metered_load_mw,44,0.05237012288787148,-0.05237012288787148,0.9487950819081152
dnn_full,single,gnn,0,net_actual_interchange_mw,44,0.04127590900117701,-0.04127590900117701,0.7020551892548418
dnn_full,single,gnn,0,total_gen,44,0.05338225310499018,-0.05338225310499018,0.9485941726716492
dnn_full,single,gnn,0,total_lmp_da,44,0.060008844191377815,-0.060008844191377815,0.9398318525484409
dnn_full,single,gnn,0,total_losses,44,0.04604973982680927,-0.04604973982680927,0.8900191653121926
dnn_full,pair,gnn,0,congestion_price_da,946,0.048428089497709374,-0.048356906556175826,0.8245305119015487
dnn_full,pair,gnn,0,congestion_price_rt,946,0.04092972481477588,-0.04079066264200916,0.9418119753207745
dnn_full,pair,gnn,0,da_as_total_mw_primary_reserve,946,0.05702827823590527,-0.05702827823590527,0.8513174081429894
dnn_full,pair,gnn,0,da_as_total_mw_synchronized_reserve,946,0.06394214376838717,-0.06394214376838717,0.7640730331866614
dnn_full,pair,gnn,0,da_as_total_mw_thirty_minutes_reserve,946,0.11604323296415882,-0.11604323296415882,0.7762217166017273
dnn_full,pair,gnn,0,gross_actual_interchange_mw,946,0.05887253673837754,-0.05887059687812031,0.8789115393607796
dnn_full,pair,gnn,0,marginal_loss_price_da,946,0.09014813642925239,-0.0901219383606699,0.9303944419280543
dnn_full,pair,gnn,0,metered_load_mw,946,0.0930528309960194,-0.0930528309960194,0.958423296821147
dnn_full,pair,gnn,0,net_actual_interchange_mw,946,0.09545723561504678,-0.09545723561504678,0.7621470027556694
dnn_full,pair,gnn,0,total_gen,946,0.0980220707349999,-0.0980220707349999,0.9595497700427781
dnn_full,pair,gnn,0,total_lmp_da,946,0.11134148986092582,-0.11134148986092582,0.9536475630427559
dnn_full,pair,gnn,0,total_losses,946,0.10197530601795833,-0.10197530601795833,0.9141581771959253
dnn_full,triple_all,gnn,0,congestion_price_da,397,0.08594906675425225,-0.08594906675425225,0.721078946044296
dnn_full,triple_all,gnn,0,congestion_price_rt,397,0.06871864432351715,-0.06847408751696724,0.8845269909516479
dnn_full,triple_all,gnn,0,da_as_total_mw_primary_reserve,397,0.10709800287818429,-0.10709800287818429,0.8754469058335203
dnn_full,triple_all,gnn,0,da_as_total_mw_synchronized_reserve,397,0.10320020307521675,-0.10320020307521675,0.75276023261016
dnn_full,triple_all,gnn,0,da_as_total_mw_thirty_minutes_reserve,397,0.20021152346200247,-0.20021152346200247,0.7289467596052552
dnn_full,triple_all,gnn,0,gross_actual_interchange_mw,397,0.10496115309165166,-0.10496115309165166,0.8185320215147079
dnn_full,triple_all,gnn,0,marginal_loss_price_da,397,0.17430097900650063,-0.17430097900650063,0.7928690992662806
dnn_full,triple_all,gnn,0,metered_load_mw,397,0.14042123694263717,-0.14042123694263717,0.8759142354514496
dnn_full,triple_all,gnn,0,net_actual_interchange_mw,397,0.17575815327521835,-0.17575815327521835,0.7621803661454049
dnn_full,triple_all,gnn,0,total_gen,397,0.14667917754247747,-0.14667917754247747,0.8420817850183041
dnn_full,triple_all,gnn,0,total_lmp_da,397,0.17319445375831663,-0.17319445375831663,0.8901088620279889
dnn_full,triple_all,gnn,0,total_losses,397,0.1771080657577034,-0.1771080657577034,0.8496283963025619
dnn_full,triple_top,gnn,0,congestion_price_da,197,0.10027233779732951,-0.10027233779732951,0.5366728800352517
dnn_full,triple_top,gnn,0,congestion_price_rt,197,0.0785495315106387,-0.0785495315106387,0.8568354128994172
dnn_full,triple_top,gnn,0,da_as_total_mw_primary_reserve,197,0.12839936514191216,-0.12839936514191216,0.8373543841191682
dnn_full,triple_top,gnn,0,da_as_total_mw_synchronized_reserve,197,0.11067774453138943,-0.11067774453138943,0.6678674013460608
dnn_full,triple_top,gnn,0,da_as_total_mw_thirty_minutes_reserve,197,0.24983483946262883,-0.24983483946262883,0.7090150051709365
dnn_full,triple_top,gnn,0,gross_actual_interchange_mw,197,0.12308227229239371,-0.12308227229239371,0.8482551659703194
dnn_full,triple_top,gnn,0,marginal_loss_price_da,197,0.21408617647771302,-0.21408617647771302,0.7180358579992568
dnn_full,triple_top,gnn,0,metered_load_mw,197,0.16333970079567225,-0.16333970079567225,0.7102800511067372
dnn_full,triple_top,gnn,0,net_actual_interchange_mw,197,0.2105909244058096,-0.2105909244058096,0.6616619681643114
dnn_full,triple_top,gnn,0,total_gen,197,0.17004129396477327,-0.17004129396477327,0.6221431483630739
dnn_full,triple_top,gnn,0,total_lmp_da,197,0.20343804359436035,-0.20343804359436035,0.8237043817380574
dnn_full,triple_top,gnn,0,total_losses,197,0.20390966428717985,-0.20390966428717985,0.7314522150125776
dnn_full,triple_rand,gnn,0,congestion_price_da,200,0.07184064477682113,-0.07184064477682113,0.8254171061906476
dnn_full,triple_rand,gnn,0,congestion_price_rt,200,0.059035220444202424,-0.058549775183200835,0.9199259499623131
dnn_full,triple_rand,gnn,0,da_as_total_mw_primary_reserve,200,0.08611616104841233,-0.08611616104841233,0.9114714549887349
dnn_full,triple_rand,gnn,0,da_as_total_mw_synchronized_reserve,200,0.09583482474088668,-0.09583482474088668,0.7704562499419905
dnn_full,triple_rand,gnn,0,da_as_total_mw_thirty_minutes_reserve,200,0.1513325572013855,-0.1513325572013855,0.8503861327043812
dnn_full,triple_rand,gnn,0,gross_actual_interchange_mw,200,0.08711185067892074,-0.08711185067892074,0.8561742446263791
dnn_full,triple_rand,gnn,0,marginal_loss_price_da,200,0.13511255949735643,-0.13511255949735643,0.8744914967344126
dnn_full,triple_rand,gnn,0,metered_load_mw,200,0.11784655004739761,-0.11784655004739761,0.979721778861013
dnn_full,triple_rand,gnn,0,net_actual_interchange_mw,200,0.141447873711586,-0.141447873711586,0.8430909991279831
dnn_full,triple_rand,gnn,0,total_gen,200,0.12366749286651611,-0.12366749286651611,0.9703407045361996
dnn_full,triple_rand,gnn,0,total_lmp_da,200,0.14340451776981353,-0.14340451776981353,0.9392416633511639
dnn_full,triple_rand,gnn,0,total_losses,200,0.15070849120616914,-0.15070849120616914,0.9276652779353507
dnn_full,wide_all,gnn,10,congestion_price_da,50,0.19948028802871703,-0.19948028802871703,0.8844890788930492
dnn_full,wide_all,gnn,10,congestion_price_rt,50,0.13878354787826538,-0.13878354787826538,0.8716091031734591
dnn_full,wide_all,gnn,10,da_as_total_mw_primary_reserve,50,0.08619102478027343,-0.08618244171142578,0.9492674648209783
dnn_full,wide_all,gnn,10,da_as_total_mw_synchronized_reserve,50,0.11066056132316589,-0.11066056132316589,0.9347586954310327
dnn_full,wide_all,gnn,10,da_as_total_mw_thirty_minutes_reserve,50,0.14127833843231202,-0.14127833843231202,0.9667675211475646
dnn_full,wide_all,gnn,10,gross_actual_interchange_mw,50,0.12340638995170593,-0.12340638995170593,0.971366914885134
dnn_full,wide_all,gnn,10,marginal_loss_price_da,50,0.14562209963798523,-0.14562209963798523,0.9093923701400021
dnn_full,wide_all,gnn,10,metered_load_mw,50,0.059063814878463745,-0.059063814878463745,0.8567243282595485
dnn_full,wide_all,gnn,10,net_actual_interchange_mw,50,0.19108806252479554,-0.19108806252479554,0.9622014697086361
dnn_full,wide_all,gnn,10,total_gen,50,0.06214162588119507,-0.06214162588119507,0.7901514243590582
dnn_full,wide_all,gnn,10,total_lmp_da,50,0.07716103672981262,-0.07716103672981262,0.9553794703936018
dnn_full,wide_all,gnn,10,total_losses,50,0.1401587152481079,-0.1401587152481079,0.9571463991916773
dnn_full,single,gnn,10,congestion_price_da,44,0.019686150279912083,-0.019477536732500248,0.8088495363699398
dnn_full,single,gnn,10,congestion_price_rt,44,0.014397608962925997,-0.01418396153233268,0.8683078331668175
dnn_full,single,gnn,10,da_as_total_mw_primary_reserve,44,0.02092552591453899,-0.02092552591453899,0.8139122620743582
dnn_full,single,gnn,10,da_as_total_mw_synchronized_reserve,44,0.03061405501582406,-0.03061405501582406,0.7366472799015199
dnn_full,single,gnn,10,da_as_total_mw_thirty_minutes_reserve,44,0.047269069335677406,-0.047269069335677406,0.763989078816104
dnn_full,single,gnn,10,gross_actual_interchange_mw,44,0.029271785508502613,-0.029271785508502613,0.8276096493098685
dnn_full,single,gnn,10,marginal_loss_price_da,44,0.037614780393513764,-0.03761189498684623,0.9326662493166008
dnn_full,single,gnn,10,metered_load_mw,44,0.034906002608212555,-0.034906002608212555,0.9348306036411851
dnn_full,single,gnn,10,net_actual_interchange_mw,44,0.0328853347084739,-0.0328853347084739,0.7282528180602669
dnn_full,single,gnn,10,total_gen,44,0.03718998486345464,-0.03718998486345464,0.9548412287964906
dnn_full,single,gnn,10,total_lmp_da,44,0.04340905086560683,-0.04340905086560683,0.9577697249165279
dnn_full,single,gnn,10,total_losses,44,0.037772171876647255,-0.037772171876647255,0.8839000192145842
dnn_full,pair,gnn,10,congestion_price_da,946,0.035924245577785986,-0.03574620839405261,0.8800437505784384
dnn_full,pair,gnn,10,congestion_price_rt,946,0.029558916172567937,-0.02941741600601164,0.9533991850858956
dnn_full,pair,gnn,10,da_as_total_mw_primary_reserve,946,0.04279402578859954,-0.04279402578859954,0.8797566734421137
dnn_full,pair,gnn,10,da_as_total_mw_synchronized_reserve,946,0.055754119825665596,-0.055754119825665596,0.8085962019488969
dnn_full,pair,gnn,10,da_as_total_mw_thirty_minutes_reserve,946,0.07887625593463664,-0.07887625593463664,0.8130794213378851
dnn_full,pair,gnn,10,gross_actual_interchange_mw,946,0.04875447558550199,-0.04875447558550199,0.9028644075409101
dnn_full,pair,gnn,10,marginal_loss_price_da,946,0.06860497448963544,-0.06854625622767474,0.9664022991241654
dnn_full,pair,gnn,10,metered_load_mw,946,0.06018212815671844,-0.06018212815671844,0.9767144308875703
dnn_full,pair,gnn,10,net_actual_interchange_mw,946,0.06441645881842357,-0.06441645881842357,0.8102971356750319
dnn_full,pair,gnn,10,total_gen,946,0.06347734529926712,-0.06347734529926712,0.9802192296499213
dnn_full,pair,gnn,10,total_lmp_da,946,0.07332851651102998,-0.07332851651102998,0.978459663306145
