reference,cohort,K,conf,gnn,mlp,gnn_minus_mlp_mae
best_struct_audit,pair,0,congestion_price_da,0.07140423191918267,0.051920579539404974,0.0194836523797777
best_struct_audit,pair,0,congestion_price_rt,0.05065747102101644,0.04077768988079495,0.009879781140221491
best_struct_audit,pair,0,da_as_total_mw_primary_reserve,0.09333297279145983,0.06760753525627984,0.025725437535179987
best_struct_audit,pair,0,da_as_total_mw_synchronized_reserve,0.08089270194371541,0.06792000267240736,0.01297269927130805
best_struct_audit,pair,0,da_as_total_mw_thirty_minutes_reserve,0.1909259491496616,0.1279123756620619,0.0630135734875997
best_struct_audit,pair,0,gross_actual_interchange_mw,0.09309828943676418,0.081711921426985,0.011386368009779185
best_struct_audit,pair,0,marginal_loss_price_da,0.15586158302095202,0.1605890459484524,-0.004727462927500398
best_struct_audit,pair,0,metered_load_mw,0.297300034099155,0.27711089452107746,0.020189139578077553
best_struct_audit,pair,0,net_actual_interchange_mw,0.1364260647031996,0.09883246156904432,0.03759360313415527
best_struct_audit,pair,0,total_gen,0.30890191263622707,0.28666529390547013,0.02223661873075694
best_struct_audit,pair,0,total_lmp_da,0.212262319193946,0.18202273713217842,0.030239582061767578
best_struct_audit,pair,0,total_losses,0.21762660476896498,0.18918578492270577,0.028440819846259208
best_struct_audit,pair,10,congestion_price_da,0.05641469690534803,0.038694918155670166,0.017719778749677867
best_struct_audit,pair,10,congestion_price_rt,0.034851941797468394,0.03269032637278239,0.0021616154246860073
best_struct_audit,pair,10,da_as_total_mw_primary_reserve,0.05642700857586331,0.05898761749267578,-0.002560608916812472
best_struct_audit,pair,10,da_as_total_mw_synchronized_reserve,0.07272475295596653,0.05559846427705553,0.017126288678911
best_struct_audit,pair,10,da_as_total_mw_thirty_minutes_reserve,0.14943135446972317,0.10848102304670545,0.04095033142301771
best_struct_audit,pair,10,gross_actual_interchange_mw,0.07782730791303846,0.06694832775327894,0.010878980159759521
best_struct_audit,pair,10,marginal_loss_price_da,0.12779991494284737,0.12725630071428087,0.0005436142285664969
best_struct_audit,pair,10,metered_load_mw,0.15477350023057726,0.22274816698498195,-0.0679746667544047
best_struct_audit,pair,10,net_actual_interchange_mw,0.08206288682089911,0.08424857589933607,-0.002185689078436956
best_struct_audit,pair,10,total_gen,0.161228703127967,0.23007253805796304,-0.06884383492999605
best_struct_audit,pair,10,total_lmp_da,0.1568133764796787,0.14819180965423584,0.00862156682544285
best_struct_audit,pair,10,total_losses,0.15029825104607475,0.15079381730821398,-0.0004955662621392298
best_struct_audit,pair,50,congestion_price_da,0.046760227945115834,0.01829451322555542,0.028465714719560414
best_struct_audit,pair,50,congestion_price_rt,0.022815061940087214,0.02258904774983724,0.00022601419024997557
best_struct_audit,pair,50,da_as_total_mw_primary_reserve,0.032815787527296275,0.030052476459079318,0.0027633110682169573
best_struct_audit,pair,50,da_as_total_mw_synchronized_reserve,0.0619370076391432,0.02501348654429118,0.036923521094852016
best_struct_audit,pair,50,da_as_total_mw_thirty_minutes_reserve,0.10592282480663723,0.07619325982199775,0.02972956498463948
