cohort,conf,n_subsets,dnn_mean_r2,gcn_mean_r2,gcn_minus_dnn,gcn_win_fraction
all,congestion_price_da,62,0.3434928540260561,0.3863475361177998,0.042854682091743715,0.7258064516129032
all,congestion_price_rt,62,0.37273264411957036,0.37477797462094214,0.0020453305013718144,0.6129032258064516
all,da_as_total_mw_primary_reserve,62,0.5721965086075568,0.5741450940409014,0.0019485854333446872,0.7580645161290323
all,da_as_total_mw_synchronized_reserve,62,0.5428279744040582,0.5381729900836945,-0.0046549843203636905,0.6290322580645161
all,da_as_total_mw_thirty_minutes_reserve,62,0.6279262313919682,0.5884285242326798,-0.03949770715928847,0.5967741935483871
all,gross_actual_interchange_mw,62,0.4563118892331277,0.45851580846694207,0.0022039192338143628,0.5645161290322581
all,marginal_loss_price_da,62,0.5920309799332772,0.5801039251589006,-0.011927054774376654,0.45161290322580644
all,metered_load_mw,62,0.8434073867336396,0.8300173869056087,-0.013389999828030985,0.3548387096774194
all,net_actual_interchange_mw,62,0.5649171183186192,0.5774891376495361,0.012572019330916865,0.6290322580645161
all,total_gen,62,0.8501303878522688,0.8376296816333648,-0.012500706218904065,0.25806451612903225
all,total_lmp_da,62,0.7272298278347138,0.724024252545449,-0.0032055752892648022,0.5
all,total_losses,62,0.6488951281193764,0.6456774713531617,-0.0032176567662146782,0.6935483870967742
wide_all,congestion_price_da,50,0.3850805461406708,0.44935803174972533,0.06427748560905457,0.78
wide_all,congestion_price_rt,50,0.42442407727241516,0.4322356581687927,0.007811580896377564,0.62
wide_all,da_as_total_mw_primary_reserve,50,0.6282676553726196,0.6357868468761444,0.007519191503524781,0.74
wide_all,da_as_total_mw_synchronized_reserve,50,0.5925272083282471,0.5981009817123413,0.005573773384094238,0.64
wide_all,da_as_total_mw_thirty_minutes_reserve,50,0.6713719832897186,0.665448739528656,-0.005923243761062622,0.6
wide_all,gross_actual_interchange_mw,50,0.5103236269950867,0.5199915552139283,0.009667928218841553,0.56
wide_all,marginal_loss_price_da,50,0.6349293029308319,0.6334035241603851,-0.0015257787704467773,0.42
wide_all,metered_load_mw,50,0.8436850428581237,0.8346288251876831,-0.009056217670440674,0.32
wide_all,net_actual_interchange_mw,50,0.5972083795070648,0.6076978409290313,0.010489461421966552,0.56
wide_all,total_gen,50,0.8472979903221131,0.8361355865001678,-0.01116240382194519,0.22
wide_all,total_lmp_da,50,0.7781427836418152,0.7819069063663483,0.003764122724533081,0.48
wide_all,total_losses,50,0.6723230135440826,0.676831066608429,0.004508053064346314,0.64
pair,congestion_price_da,9,0.08062012328041925,0.03991385963228014,-0.040706263648139104,0.2222222222222222
pair,congestion_price_rt,9,0.064701067076789,0.05418251620398627,-0.010518550872802734,0.3333333333333333
pair,da_as_total_mw_primary_reserve,9,0.14747085173924765,0.1426491936047872,-0.004821658134460449,0.5555555555555556
