order,arch,K,n_entries,spearman,median_per_conf_spearman,mae,bias,top20_overlap,top50_overlap,precision_syn_gt_0.1,recall_syn_gt_0.1,truth_top_minus_random,est_top_minus_random
2,gnn,0,11352,0.3213238605633196,0.29415593809861584,0.03714124097569548,-0.034851015879496294,0.35,0.38,0.834983498349835,0.27292340884573896,,
2,gnn,10,11352,0.450246031767705,0.46625228112341244,0.02617700821690529,-0.020849096519876483,0.6,0.66,0.825136612021858,0.4886731391585761,,
2,gnn,50,11352,0.5195573291692774,0.535522666915287,0.020641917164599583,-0.018057187156747815,0.7,0.68,0.9383116883116883,0.6235167206040992,,
2,gnn,200,11352,0.5309085784643661,0.524308065846619,0.018804313842052302,-0.014509960305447139,0.75,0.7,0.8895939086294417,0.756202804746494,,
2,mlp,0,11352,0.6707701651811698,0.6602037519667849,0.021768752472387225,-0.019940558471798982,0.3,0.56,0.964200477326969,0.43581445523193096,,
2,mlp,10,11352,0.800696405185637,0.799734010119102,0.01580987979905382,-0.013588669236652275,0.4,0.64,0.9481481481481482,0.552319309600863,,
2,mlp,50,11352,0.896375342419102,0.8853233972232422,0.010619235540713283,-0.008401874518461678,0.8,0.86,0.9572519083969465,0.6763754045307443,,
2,mlp,200,11352,0.9278813375609103,0.921087012190815,0.008028382636275906,-0.006063860127672164,0.85,0.96,0.965194109772423,0.7777777777777778,,
3,gnn,0,4764,0.14178341900568453,0.04091526082629297,0.04419107909066451,-0.041274561189384044,0.0,0.0,0.43333333333333335,0.03903903903903904,0.023901120428935125,-0.0008248680383723403
3,gnn,10,4764,0.3326531920910059,0.27976538649947413,0.032454082224671325,-0.030344431949302392,0.1,0.32,0.927536231884058,0.1921921921921922,0.023901120428935125,0.006572699345484401
3,gnn,50,4764,0.4607659942760863,0.40449610220330584,0.0248688301251377,-0.02316416448449808,0.45,0.56,0.9565217391304348,0.4624624624624625,0.023901120428935125,0.01269398612167226
3,gnn,200,4764,0.5410327990272734,0.5199880313827396,0.01959295464502874,-0.01566526453901398,0.5,0.58,0.9157088122605364,0.7177177177177178,0.023901120428935125,0.020489765196761302
3,mlp,0,4764,0.4766436042739912,0.4518231758747942,0.028197158819281885,-0.026892401934871146,0.05,0.18,0.9866666666666667,0.2222222222222222,0.023901120428935125,0.005032116499951648
3,mlp,10,4764,0.633073904433607,0.591822841510349,0.020667567048425137,-0.018828143588541738,0.1,0.38,0.9866666666666667,0.4444444444444444,0.023901120428935125,0.011185434034280163
3,mlp,50,4764,0.8329027434327443,0.8376419537577975,0.014048427030581772,-0.01218833201928463,0.35,0.48,0.9866666666666667,0.6666666666666666,0.023901120428935125,0.015780602932833575
3,mlp,200,4764,0.9182649954409275,0.9097622708028085,0.008463600583180573,-0.0060387587191976485,0.75,0.8,0.993127147766323,0.8678678678678678,0.023901120428935125,0.022973303707117962
