arch,cohort,mae_mean,mae_std,bias_mean,spearman_mean,spearman_std,n_seeds
gnn,all,0.09566376136760646,0.0032793475578794104,-0.09564605098984537,0.9388249001450166,0.004694247399282539,3
gnn,pair,0.07912500163801463,0.003602432179920331,-0.079108234516802,0.9636991561860521,0.002783888088874922,3
gnn,single,0.038518568670207816,0.002681376282280312,-0.038499456802100866,0.9774377247688996,0.0014649957846511717,3
gnn,triple_all,0.1357890723083922,0.0026462010851907246,-0.13576742662223754,0.8498437663216216,0.011378863116200625,3
gnn,triple_rand,0.1108811976429489,0.003622311605727862,-0.11083823095593189,0.9558448961224032,0.004465429989462051,3
gnn,triple_top,0.1610762547098575,0.0018003805600883174,-0.1610762547098575,0.7352976569800357,0.022277807491674986,3
gnn,wide_1-4,0.0665898664130105,0.003122903083660897,-0.0665898664130105,0.9838383838383837,0.0139963701621727,3
gnn,wide_17-32,0.13539199696646795,0.003427138013109886,-0.13538723753558266,0.9353535353535353,0.006998185081086307,3
gnn,wide_33-44,0.10583577536874349,0.001286635847865184,-0.10583577536874349,0.5272727272727272,0.060606060606060594,3
gnn,wide_5-8,0.15994543963008456,0.00606580453951105,-0.15994543963008456,0.9717171717171716,0.02799274032434545,3
gnn,wide_9-16,0.1950123227304882,0.0055183072120987406,-0.1950123227304882,0.3414141414141414,0.006998185081086418,3
gnn,wide_all,0.13255508022175896,0.0037017358549506956,-0.1325541283355819,0.9740376150460183,0.0012160653005664282,3
mlp,all,0.06040343997321875,0.001626598844394665,-0.060333678780741314,0.9564440126881032,0.0014073386446187164,3
mlp,pair,0.04894018037227616,0.0015433004357295853,-0.048890553579339996,0.9733195426525331,0.0006732598740434531,3
mlp,single,0.025415508321138373,0.0009006149121854208,-0.025344818943377728,0.973451752928896,0.004493936226012993,3
mlp,triple_all,0.08916889007622679,0.00223181329210429,-0.08909937452859584,0.8722114759227274,0.0019447079917074912,3
mlp,triple_rand,0.06966654356982975,0.0015926216104902777,-0.0695342683957683,0.9739588489712244,0.0016865614346047422,3
mlp,triple_top,0.10896822663094456,0.002995489318355465,-0.10896242644009586,0.7478116919741286,0.007912875340710817,3
mlp,wide_1-4,0.03672490434514155,0.0011151481875737172,-0.036643487049473684,0.9757575757575756,0.012121212121212116,3
mlp,wide_17-32,0.07376113186279933,0.0018399442651142364,-0.07341507424910863,0.9555555555555554,0.04589016845091142,3
mlp,wide_33-44,0.034992096324761704,0.002367699866295234,-0.03318472454945246,0.7494949494949493,0.05728261365154674,3
mlp,wide_5-8,0.10926838235722648,0.0006630374744114237,-0.10926838235722648,0.9838383838383837,0.006998185081086338,3
mlp,wide_9-16,0.12019480682081646,0.0046103153758369,-0.12019480682081646,0.5515151515151514,0.09151314466994845,3
mlp,wide_all,0.0749882643421491,0.0015148681859394066,-0.07454129500521554,0.9881552621048418,0.000308720312476778,3
