order,arch,K,conf,n_subsets,spearman,mae,bias,precision_syn_gt_0.1,recall_syn_gt_0.1
2,gnn,0,congestion_price_da,946,0.2955642856649382,0.021032351394032322,-0.016636189018193057,0.5714285714285714,0.23529411764705882
2,gnn,0,congestion_price_rt,946,0.13083325039589394,0.018374730870285197,-0.016640978308107082,0.0,0.0
2,gnn,0,da_as_total_mw_primary_reserve,946,0.37716339980822866,0.023304908774619878,-0.022262002524563423,0.9166666666666666,0.3548387096774194
2,gnn,0,da_as_total_mw_synchronized_reserve,946,0.2279747414361394,0.02631908069201302,-0.02563902798717168,1.0,0.3333333333333333
2,gnn,0,da_as_total_mw_thirty_minutes_reserve,946,0.5420279042498829,0.04496086223432932,-0.03907088749504493,0.8144329896907216,0.42934782608695654
2,gnn,0,gross_actual_interchange_mw,946,0.15495174605859932,0.03058575040190215,-0.030042911873811397,1.0,0.045454545454545456
2,gnn,0,marginal_loss_price_da,946,0.1535667339909798,0.04727710994555129,-0.04533792953410562,0.8,0.05555555555555555
2,gnn,0,metered_load_mw,946,0.49340206391787117,0.045685682311874615,-0.0443170504136519,0.9245283018867925,0.3310810810810811
2,gnn,0,net_actual_interchange_mw,946,0.29274759053229343,0.04358755174953388,-0.042718825897253086,1.0,0.1125
2,gnn,0,total_gen,946,0.5130866805514597,0.04785759630465356,-0.047205752348547,0.9833333333333333,0.38064516129032255
2,gnn,0,total_lmp_da,946,0.2792682866501938,0.046045116654914224,-0.03828438536813345,0.4883720930232558,0.22580645161290322
2,gnn,0,total_losses,946,0.32031720777070233,0.05066415037463634,-0.050056249785372875,1.0,0.10619469026548672
2,gnn,10,congestion_price_da,946,0.36805199433394387,0.01735324978072346,-0.01392337711366488,0.8571428571428571,0.35294117647058826
2,gnn,10,congestion_price_rt,946,0.21928033162827779,0.014437535726494819,-0.011433872939668296,0.0,0.0
2,gnn,10,da_as_total_mw_primary_reserve,946,0.392679011311792,0.01836736944462734,-0.016081220188806224,1.0,0.6129032258064516
2,gnn,10,da_as_total_mw_synchronized_reserve,946,0.2799884470780932,0.021140239266462104,-0.018341811275381367,0.8333333333333334,0.4166666666666667
2,gnn,10,da_as_total_mw_thirty_minutes_reserve,946,0.6388449287005261,0.033172308957601954,-0.022926124974486692,0.9007633587786259,0.6413043478260869
2,gnn,10,gross_actual_interchange_mw,946,0.3297893723783203,0.022483159258300103,-0.015113654209745862,0.2,0.22727272727272727
2,gnn,10,marginal_loss_price_da,946,0.46742413286429035,0.029532531855222286,-0.019434812709090574,0.5106382978723404,0.3333333333333333
2,gnn,10,metered_load_mw,946,0.49837269319433875,0.03249800671482691,-0.029757705727792946,1.0,0.4594594594594595
2,gnn,10,net_actual_interchange_mw,946,0.4988778697144382,0.028521305032814782,-0.024632658943313374,0.75,0.4875
2,gnn,10,total_gen,946,0.4650804293825346,0.03330783385303005,-0.030688567595048385,1.0,0.5161290322580645
2,gnn,10,total_lmp_da,946,0.5189957546689179,0.03019904806800423,-0.016642546615943343,0.68,0.5483870967741935
2,gnn,10,total_losses,946,0.5183160895179828,0.033111510644755454,-0.031212805945575867,0.9743589743589743,0.336283185840708
2,gnn,50,congestion_price_da,946,0.44993833572358666,0.013486952282661615,-0.011808368922792075,1.0,0.29411764705882354
2,gnn,50,congestion_price_rt,946,0.4411979901153713,0.010044303555317208,-0.008160401852387958,0.0,0.0
2,gnn,50,da_as_total_mw_primary_reserve,946,0.4778090672847241,0.01501762451127518,-0.014054016633467241,1.0,0.8709677419354839
2,gnn,50,da_as_total_mw_synchronized_reserve,946,0.23386190321335548,0.017972920649147437,-0.01629204862213538,1.0,0.5833333333333334
2,gnn,50,da_as_total_mw_thirty_minutes_reserve,946,0.6637511782120884,0.02861994353711731,-0.01850668673283454,0.9214285714285714,0.7010869565217391
2,gnn,50,gross_actual_interchange_mw,946,0.4135114506056066,0.016333036014443976,-0.015440245889458042,1.0,0.6818181818181818
2,gnn,50,marginal_loss_price_da,946,0.5511187617166443,0.022354283305101617,-0.018848138619174917,0.8979591836734694,0.6111111111111112
2,gnn,50,metered_load_mw,946,0.6133602625467415,0.025272529737641897,-0.024344506462835105,0.9767441860465116,0.5675675675675675
2,gnn,50,net_actual_interchange_mw,946,0.5199265721139299,0.02341337347635507,-0.017997241927503783,0.7972972972972973,0.7375
2,gnn,50,total_gen,946,0.5996105309008546,0.027144318466206685,-0.026754136380383126,1.0,0.6193548387096774
2,gnn,50,total_lmp_da,946,0.6351661053570969,0.022019334814765236,-0.019674328933558555,0.9354838709677419,0.6236559139784946
2,gnn,50,total_losses,946,0.5808101237533754,0.02602438562516178,-0.024806124904443044,0.9818181818181818,0.4778761061946903
2,gnn,200,congestion_price_da,946,0.4777028992850529,0.013062328730274709,-0.010052559302674792,0.5789473684210527,0.6470588235294118
2,gnn,200,congestion_price_rt,946,0.4756920694417187,0.009792541096628846,-0.006444540764766314,0.0,0.0
2,gnn,200,da_as_total_mw_primary_reserve,946,0.473522975032168,0.014423344969497423,-0.013274951477635487,1.0,0.8387096774193549
2,gnn,200,da_as_total_mw_synchronized_reserve,946,0.27672676843650773,0.017331935323570042,-0.015254020249868801,0.8888888888888888,0.6666666666666666
2,gnn,200,da_as_total_mw_thirty_minutes_reserve,946,0.6647788621882397,0.02535250940484174,-0.014733769550888029,0.930379746835443,0.7989130434782609
2,gnn,200,gross_actual_interchange_mw,946,0.42869410127008745,0.015342822223586714,-0.013405319815206226,1.0,0.5909090909090909
2,gnn,200,marginal_loss_price_da,946,0.5275062723101229,0.021495451130776274,-0.015303776833774171,0.7580645161290323,0.6527777777777778
2,gnn,200,metered_load_mw,946,0.6153463950114534,0.021365584077089078,-0.018190394622326904,0.9553571428571429,0.722972972972973
2,gnn,200,net_actual_interchange_mw,946,0.5347224604275941,0.02226069437272957,-0.015857192855052667,0.782051282051282,0.7625
2,gnn,200,total_gen,946,0.5211098593831152,0.022993738946148506,-0.020275326221236213,0.9767441860465116,0.8129032258064516
2,gnn,200,total_lmp_da,946,0.6359394705291977,0.020426604006809613,-0.012531528135182742,0.7978723404255319,0.8064516129032258
2,gnn,200,total_losses,946,0.5807754117026973,0.021804211822675095,-0.018796143836753314,0.9090909090909091,0.7079646017699115
2,mlp,0,congestion_price_da,946,0.6261141533985426,0.013295905912653337,-0.011143078385649473,0.7777777777777778,0.4117647058823529
2,mlp,0,congestion_price_rt,946,0.45445826048253996,0.012684839094416032,-0.010673629053047293,0.0,0.0
2,mlp,0,da_as_total_mw_primary_reserve,946,0.7528734474952062,0.013795151455961876,-0.01260770117001604,0.9375,0.4838709677419355
2,mlp,0,da_as_total_mw_synchronized_reserve,946,0.5756418874605473,0.01598791623720407,-0.013280499120091284,0.8571428571428571,0.5
2,mlp,0,da_as_total_mw_thirty_minutes_reserve,946,0.8401346972598852,0.023738935180244686,-0.022265949032523415,1.0,0.592391304347826
2,mlp,0,gross_actual_interchange_mw,946,0.5918106778158385,0.017724558868569502,-0.01710243582977553,1.0,0.45454545454545453
2,mlp,0,marginal_loss_price_da,946,0.5523799853402743,0.026470592989730028,-0.023131826211231707,0.9090909090909091,0.2777777777777778
2,mlp,0,metered_load_mw,946,0.6887008159811252,0.030957694474536824,-0.03024247578536229,0.9838709677419355,0.41216216216216217
2,mlp,0,net_actual_interchange_mw,946,0.72522590761442,0.02073328414376644,-0.01850363568070071,0.9361702127659575,0.55
2,mlp,0,total_gen,946,0.6815706878584048,0.031683486498435505,-0.031057329749960224,0.9848484848484849,0.41935483870967744
2,mlp,0,total_lmp_da,946,0.638836816075165,0.02739086476239291,-0.02466220570921142,0.9024390243902439,0.3978494623655914
2,mlp,0,total_losses,946,0.7076670354868132,0.026761800050735474,-0.024615935934018382,1.0,0.26548672566371684
2,mlp,10,congestion_price_da,946,0.7671462115817355,0.009850613725613843,-0.00817092925499156,1.0,0.29411764705882354
2,mlp,10,congestion_price_rt,946,0.6186029214716586,0.009236395611067403,-0.006671743967568395,0.0,0.0
2,mlp,10,da_as_total_mw_primary_reserve,946,0.8594873234165674,0.009145154320412408,-0.007615332560609814,0.9090909090909091,0.6451612903225806
2,mlp,10,da_as_total_mw_synchronized_reserve,946,0.6173579530128634,0.011657406424367151,-0.007669671204327025,1.0,0.5833333333333334
2,mlp,10,da_as_total_mw_thirty_minutes_reserve,946,0.9098291281304522,0.017760633162161765,-0.01643549249237738,1.0,0.6847826086956522
2,mlp,10,gross_actual_interchange_mw,946,0.7636633680471325,0.01225912646561798,-0.010895129238072208,0.9166666666666666,0.5
2,mlp,10,marginal_loss_price_da,946,0.7856357279514552,0.019387095347519406,-0.015576729436757449,0.8095238095238095,0.4722222222222222
2,mlp,10,metered_load_mw,946,0.8042292553885452,0.022401567934431436,-0.02146257702694383,0.9873417721518988,0.527027027027027
2,mlp,10,net_actual_interchange_mw,946,0.8093039966923757,0.015044844490781143,-0.012616766746654066,0.96,0.6
2,mlp,10,total_gen,946,0.8050209889491836,0.022622889179507975,-0.021750222867941503,1.0,0.5612903225806452
2,mlp,10,total_lmp_da,946,0.8311688794912302,0.019535983024641525,-0.016252476430594544,0.7936507936507936,0.5376344086021505
2,mlp,10,total_losses,946,0.7952387648496586,0.02081684790252379,-0.017946959612989526,0.9787234042553191,0.40707964601769914
2,mlp,50,congestion_price_da,946,0.8373736187194929,0.007494224932430663,-0.0037835240364074707,1.0,0.5294117647058824
2,mlp,50,congestion_price_rt,946,0.8191365840087044,0.00602536832807432,-0.004518180329502259,0.0,0.0
2,mlp,50,da_as_total_mw_primary_reserve,946,0.9489421658419189,0.005875586392259497,-0.005053180657783976,1.0,0.7741935483870968
2,mlp,50,da_as_total_mw_synchronized_reserve,946,0.9175416726316474,0.006294108218420888,-0.005332267183582072,0.9,0.75
2,mlp,50,da_as_total_mw_thirty_minutes_reserve,946,0.9658582132963439,0.010894720007450837,-0.00931830631754111,0.9932432432432432,0.7989130434782609
2,mlp,50,gross_actual_interchange_mw,946,0.8799283559862896,0.008895524334453881,-0.007867115244552903,1.0,0.6818181818181818
2,mlp,50,marginal_loss_price_da,946,0.8162119022947435,0.015487466692672472,-0.01128742212220932,0.82,0.5694444444444444
2,mlp,50,metered_load_mw,946,0.8808112345546256,0.013830201507370769,-0.012405418757404384,1.0,0.6486486486486487
2,mlp,50,net_actual_interchange_mw,946,0.8898355598918586,0.010996981289623656,-0.008114638905696586,0.95,0.7125
2,mlp,50,total_gen,946,0.8734556755201673,0.014374037814694781,-0.013052623884370413,0.9905660377358491,0.6774193548387096
2,mlp,50,total_lmp_da,946,0.9081618132850628,0.013768575534256014,-0.010009819054956416,0.8481012658227848,0.7204301075268817
