数据,目标,变体,名称,V误差,V偏差,边际误差,M2误差,M2偏差,M2排序Spearman,认证前1,认证前3,关键召回,关键精确,耗时ms
RTS-GMLC,机组出力_223_STEAM_3,E,本文·三种子预测平均（新主口径）,0.010217760689556599,-0.009443632327020168,0.00827663391828537,0.01902162842452526,-0.01835465244948864,0.9792490118577075,0.9877579808235168,0.993199348449707,1.0,1.0,
RTS-GMLC,机组出力_221_CC_1,E,本文·三种子预测平均（新主口径）,0.009636258706450462,-0.008979352191090584,0.007239088881760836,0.009870924055576324,-0.009570741094648838,0.9950592885375494,0.9958750605583191,0.998338520526886,1.0,1.0,
RTS-GMLC,线路潮流_C35,E,本文·三种子预测平均（新主口径）,0.012695472687482834,-0.011804847978055477,0.010311276651918888,0.012280705384910107,-0.005588636267930269,0.9812252964426879,0.9743996858596802,0.9918268918991089,1.0,1.0,
RTS-GMLC,机组出力_223_STEAM_3,D1,本文·单种子,0.013199599459767342,-0.012584628537297249,0.009786483831703663,0.021367138251662254,-0.020732378587126732,0.9762845849802372,0.9843161106109619,0.9930588603019714,0.9565217391304348,1.0,
RTS-GMLC,机组出力_221_CC_1,D1,本文·单种子,0.010388397611677647,-0.009453758597373962,0.008131380192935467,0.011424948461353779,-0.010457659140229225,0.9950592885375494,0.9902230501174927,0.9968879818916321,1.0,1.0,
RTS-GMLC,线路潮流_C35,D1,本文·单种子,0.01640784554183483,-0.01588629186153412,0.011732298880815506,0.012649347074329853,-0.0075608608312904835,0.9752964426877472,0.9765085577964783,0.9933730959892273,1.0,1.0,
RTS-GMLC,机组出力_223_STEAM_3,C3,三种子特征拼接,0.006267832592129707,-0.004817451350390911,0.006156997289508581,0.013754396699368954,-0.01128999050706625,0.9851778656126482,0.9905460476875305,0.993199348449707,1.0,1.0,
RTS-GMLC,机组出力_221_CC_1,C3,三种子特征拼接,0.006800160743296146,-0.003929512575268745,0.006734029855579138,0.009840668179094791,-0.003920644987374544,0.9970355731225298,0.9958634972572327,0.998338520526886,1.0,1.0,
RTS-GMLC,线路潮流_C35,C3,三种子特征拼接,0.011989032849669456,-0.011110234074294567,0.010051188059151173,0.010973966680467129,-0.004751948174089193,0.9841897233201581,0.9772393107414246,0.9953900575637817,1.0,1.0,
RTS-GMLC,机组出力_223_STEAM_3,lin,线性读出（无主干）,0.36964040994644165,-0.3696369528770447,0.09123295545578003,0.24051301181316376,-0.2228042632341385,0.9120553359683794,0.9536787867546082,0.9636633992195129,1.0,1.0,4.41350876324108
RTS-GMLC,机组出力_221_CC_1,lin,线性读出（无主干）,0.48699021339416504,-0.4869900643825531,0.11972632259130478,0.3377067446708679,-0.33416980504989624,0.6709486166007905,0.772314727306366,0.955352246761322,1.0,1.0,4.41350876324108
RTS-GMLC,线路潮流_C35,lin,线性读出（无主干）,0.14377202093601227,-0.1437666267156601,0.04984021559357643,0.09385447204113007,-0.0817979946732521,0.7737154150197629,0.9126170873641968,0.9475901126861572,1.0,1.0,4.41350876324108
RTS-GMLC,机组出力_223_STEAM_3,poly,"x, x² 读出（无主干）",0.17499570548534393,-0.17499227821826935,0.05347124859690666,0.12381277978420258,-0.11850754916667938,0.9466403162055337,0.9596242904663086,0.9656822085380554,1.0,1.0,5.039574870494848
RTS-GMLC,机组出力_221_CC_1,poly,"x, x² 读出（无主干）",0.23188158869743347,-0.2318783700466156,0.06688252091407776,0.1743476837873459,-0.16557271778583527,0.9446640316205533,0.9664801359176636,0.9874824285507202,1.0,1.0,5.039574870494848
RTS-GMLC,线路潮流_C35,poly,"x, x² 读出（无主干）",0.09987518191337585,-0.09985840320587158,0.035197097808122635,0.04288129881024361,-0.012563765048980713,0.8893280632411068,0.9433056712150574,0.976702094078064,1.0,1.0,5.039574870494848
RTS-GMLC,机组出力_223_STEAM_3,polyS,集合内二阶多项式（无主干）,0.164051353931427,-0.16404668986797333,0.05267679691314697,0.12107034027576447,-0.09666533768177032,0.9278656126482213,0.960591733455658,0.9703344106674194,1.0,1.0,1.159425706588529
RTS-GMLC,机组出力_221_CC_1,polyS,集合内二阶多项式（无主干）,0.21471858024597168,-0.21470315754413605,0.0660879835486412,0.16186723113059998,-0.13280323147773743,0.9436758893280633,0.963620126247406,0.9867866635322571,1.0,1.0,1.159425706588529
RTS-GMLC,线路潮流_C35,polyS,集合内二阶多项式（无主干）,0.08780694752931595,-0.08778291940689087,0.03152884915471077,0.036317676305770874,-0.0026469456497579813,0.8982213438735178,0.9493087530136108,0.9725800156593323,1.0,1.0,1.159425706588529
RTS-GMLC,机组出力_223_STEAM_3,head3,共享输出头（三种子）,0.053803689777851105,-0.05380340665578842,0.026168979704380035,0.060161933302879333,-0.05998649820685387,0.9693675889328063,0.9597445130348206,0.9784348011016846,1.0,1.0,0.29662695522709015
RTS-GMLC,机组出力_221_CC_1,head3,共享输出头（三种子）,0.07788282632827759,-0.0778810977935791,0.028151243925094604,0.09152256697416306,-0.09136168658733368,0.9891304347826088,0.9693899750709534,0.9761042594909668,1.0,1.0,0.29662695522709015
RTS-GMLC,线路潮流_C35,head3,共享输出头（三种子）,0.06273184716701508,-0.0627312883734703,0.02494315803050995,0.04118361324071884,-0.02973124198615551,0.9209486166007905,0.9345859289169312,0.9624152183532715,1.0,1.0,0.29662695522709015
RTS-GMLC,机组出力_223_STEAM_3,rand1,随机初始化主干 + 读出,0.011477808468043804,-0.010755586437880993,0.00938902422785759,0.016628606244921684,-0.016159093007445335,0.983201581027668,0.9901595115661621,0.9930882453918457,1.0,1.0,40.44370413641844
RTS-GMLC,机组出力_221_CC_1,rand1,随机初始化主干 + 读出,0.019968925043940544,-0.019391270354390144,0.009088239632546902,0.01385807991027832,-0.013391743414103985,0.9950592885375494,0.9953319430351257,0.9980772733688354,1.0,1.0,40.44370413641844
RTS-GMLC,线路潮流_C35,rand1,随机初始化主干 + 读出,0.012042494490742683,-0.01102700550109148,0.009835361503064632,0.011859220452606678,-0.0098464610055089,0.9851778656126482,0.9922553896903992,0.9973659515380859,1.0,1.0,40.44370413641844
RTS-GMLC,机组出力_223_STEAM_3,phionly1,"只用 φ（不拼 x, x²）",0.01360945962369442,-0.013014460913836956,0.009942738339304924,0.022247526794672012,-0.0215877927839756,0.9782608695652174,0.9844922423362732,0.992739200592041,0.9565217391304348,1.0,31.61719629225291
RTS-GMLC,机组出力_221_CC_1,phionly1,"只用 φ（不拼 x, x²）",0.010620944201946259,-0.009701953269541264,0.00826224684715271,0.012308413162827492,-0.010966306552290916,0.9950592885375494,0.9914409518241882,0.9968879818916321,1.0,1.0,31.61719629225291
RTS-GMLC,线路潮流_C35,phionly1,"只用 φ（不拼 x, x²）",0.017374789342284203,-0.016901543363928795,0.012327682226896286,0.015663927420973778,-0.003653282066807151,0.9713438735177865,0.9774078726768494,0.9918351769447327,1.0,1.0,31.61719629225291
RTS-GMLC,机组出力_223_STEAM_3,nofix1,不做数值修正,0.013040666468441486,-0.012595308013260365,0.009481361135840416,0.018961532041430473,-0.018327167257666588,0.9792490118577075,0.9851400256156921,0.9915133714675903,0.9565217391304348,1.0,13.905615356996925
RTS-GMLC,机组出力_221_CC_1,nofix1,不做数值修正,0.01022541243582964,-0.0093455258756876,0.008038416504859924,0.011788527481257915,-0.010578758083283901,0.9950592885375494,0.9877744913101196,0.9978718161582947,1.0,1.0,13.905615356996925
RTS-GMLC,线路潮流_C35,nofix1,不做数值修正,0.016640555113554,-0.016249127686023712,0.011871786788105965,0.018295805901288986,-0.0002898583479691297,0.9713438735177865,0.9670881032943726,0.9907225370407104,1.0,1.0,13.905615356996925
RTS-GMLC,机组出力_223_STEAM_3,masknone1,预训练不掩码,0.01899828016757965,-0.018624724820256233,0.014543512836098671,0.03052135743200779,-0.014835590496659279,0.9713438735177865,0.9344594478607178,0.9913978576660156,0.9565217391304348,1.0,38.836154579009786
RTS-GMLC,机组出力_221_CC_1,masknone1,预训练不掩码,0.027239179238677025,-0.02696719579398632,0.012597857043147087,0.025119714438915253,-0.01915588043630123,0.9920948616600791,0.9916304349899292,0.9971041679382324,1.0,1.0,38.836154579009786
RTS-GMLC,线路潮流_C35,masknone1,预训练不掩码,0.021540667861700058,-0.021184680983424187,0.01459587924182415,0.019425086677074432,-0.0056679872795939445,0.9426877470355731,0.9801409840583801,0.996217668056488,1.0,1.0,38.836154579009786
RTS-GMLC,机组出力_223_STEAM_3,maskbern1,预训练伯努利掩码,0.014785015024244785,-0.014364861883223057,0.01139953825622797,0.024522893130779266,-0.017387589439749718,0.9733201581027668,0.9518653750419617,0.9919357299804688,1.0,1.0,40.35275635861395
RTS-GMLC,机组出力_221_CC_1,maskbern1,预训练伯努利掩码,0.019487401470541954,-0.019028181210160255,0.01063245814293623,0.021405864506959915,-0.014681799337267876,0.9970355731225298,0.9892475008964539,0.9969833493232727,1.0,1.0,40.35275635861395
RTS-GMLC,线路潮流_C35,maskbern1,预训练伯努利掩码,0.017619827762246132,-0.017143897712230682,0.013272338546812534,0.0179696436971426,0.0006748904124833643,0.9664031620553359,0.9602213501930237,0.9891662001609802,1.0,1.0,40.35275635861395
NEM,机组出力_BW01,E,本文·三种子预测平均（新主口径）,0.007900865748524666,-0.005573737435042858,0.008733547292649746,0.017725590616464615,-0.017236510291695595,0.9773081201334817,0.9341974258422852,0.9579046964645386,1.0,1.0,
NEM,机组出力_TUMUT3,E,本文·三种子预测平均（新主口径）,0.01624581217765808,-0.004995508585125208,0.013849550858139992,0.027080588042736053,-0.026769399642944336,0.9136818687430479,0.8320433497428894,0.9052654504776001,0.22727272727272727,1.0,
NEM,机组出力_PPCCGT,E,本文·三种子预测平均（新主口径）,0.011253071948885918,-0.009852849878370762,0.009770850650966167,0.007569251116365194,-0.00496889092028141,0.9942157953281423,0.9945789575576782,0.9960123896598816,1.0,1.0,
NEM,机组出力_BW01,D1,本文·单种子,0.010934287682175636,-0.009755314327776432,0.010605039075016975,0.018482012674212456,-0.018269354477524757,0.9755283648498332,0.9324637055397034,0.9543946981430054,1.0,1.0,
NEM,机组出力_TUMUT3,D1,本文·单种子,0.01686694286763668,-0.00788977462798357,0.014539874158799648,0.03070063702762127,-0.03038644604384899,0.9159065628476083,0.8438992500305176,0.9057445526123047,0.8636363636363636,0.8636363636363636,
NEM,机组出力_PPCCGT,D1,本文·单种子,0.01455375924706459,-0.013897309079766273,0.011655360460281372,0.009560784325003624,-0.007222933229058981,0.9937708565072303,0.9921563267707825,0.9977205395698547,1.0,1.0,
NEM,机组出力_BW01,C3,三种子特征拼接,0.008772134780883789,-0.006862895097583532,0.009278601035475731,0.01723313331604004,-0.015737762674689293,0.9755283648498332,0.9190590977668762,0.9412657618522644,1.0,1.0,
NEM,机组出力_TUMUT3,C3,三种子特征拼接,0.016894506290555,-0.005572828929871321,0.014951351098716259,0.022364027798175812,-0.011525990441441536,0.8113459399332592,0.6237511038780212,0.8497340679168701,0.2727272727272727,1.0,
NEM,机组出力_PPCCGT,C3,三种子特征拼接,0.012303396128118038,-0.011076106689870358,0.010326359421014786,0.0066373394802212715,-0.0035529311280697584,0.9942157953281423,0.9895815849304199,0.9937917590141296,1.0,1.0,
NEM,机组出力_BW01,lin,线性读出（无主干）,0.13490450382232666,-0.13490380346775055,0.05690841004252434,0.10169818997383118,-0.09990968555212021,0.3459399332591768,0.7944053411483765,0.8867955803871155,0.4666666666666667,1.0,4.510398991200147
NEM,机组出力_TUMUT3,lin,线性读出（无主干）,0.08908393234014511,-0.0888969898223877,0.03770159184932709,0.09818916767835617,-0.09818916767835617,0.818020022246941,0.7187950015068054,0.7835441827774048,0.0,0.0,4.510398991200147
NEM,机组出力_PPCCGT,lin,线性读出（无主干）,0.16555748879909515,-0.1655523180961609,0.06586293131113052,0.10316624492406845,-0.10316624492406845,0.3793103448275862,0.891491711139679,0.9586484432220459,0.5,1.0,4.510398991200147
NEM,机组出力_BW01,poly,"x, x² 读出（无主干）",0.09453760087490082,-0.09452230483293533,0.04424191638827324,0.08426345884799957,-0.08426345884799957,0.7272525027808675,0.8944278955459595,0.9193504452705383,0.43333333333333335,1.0,3.2957716673118633
NEM,机组出力_TUMUT3,poly,"x, x² 读出（无主干）",0.05365440249443054,-0.05272161215543747,0.027816670015454292,0.08165403455495834,-0.08165403455495834,0.8518353726362626,0.7381880879402161,0.8011364936828613,0.0,0.0,3.2957716673118633
NEM,机组出力_PPCCGT,poly,"x, x² 读出（无主干）",0.12739887833595276,-0.12738902866840363,0.051275745034217834,0.08518564701080322,-0.08518564701080322,0.7268075639599554,0.9763841032981873,0.9878432750701904,0.6,1.0,3.2957716673118633
NEM,机组出力_BW01,polyS,集合内二阶多项式（无主干）,0.08843895047903061,-0.08841059356927872,0.04229674115777016,0.07081852853298187,-0.07081852853298187,0.7579532814238041,0.8581492900848389,0.9117708206176758,0.6333333333333333,1.0,1.2132645707104088
NEM,机组出力_TUMUT3,polyS,集合内二阶多项式（无主干）,0.04539881646633148,-0.04344692826271057,0.024585887789726257,0.05778473988175392,-0.05778473988175392,0.8883203559510566,0.7631701827049255,0.877399742603302,0.0,0.0,1.2132645707104088
NEM,机组出力_PPCCGT,polyS,集合内二阶多项式（无主干）,0.11073431372642517,-0.11071179062128067,0.04663364589214325,0.06538867205381393,-0.06516451388597488,0.7459399332591768,0.9114620089530945,0.9614835977554321,0.8333333333333334,1.0,1.2132645707104088
