变体,名称,V误差,V偏差,边际误差,M2误差,M2偏差,M2排序Spearman,认证前1,认证前3,关键召回,关键精确,耗时ms,目标数
lin,线性读出（无主干）,0.21239036694169044,-0.21236779242753984,0.06787913516163827,0.14427415952086448,-0.13850692585110663,0.7367061998831285,0.8034071624279022,0.8779300510883331,0.5576515151515151,0.8,4.607036035627282,10
poly,"x, x² 读出（无主干）",0.13244358822703362,-0.13233683332800866,0.04865653682500124,0.09595567025244237,-0.08944825492799283,0.8536436730992547,0.8592514574527741,0.9121710956096649,0.6567424242424242,0.8,4.717381134609001,10
polyS,集合内二阶多项式（无主干）,0.11961511671543121,-0.11939936801791191,0.04467496871948242,0.07733202204108239,-0.06600722467992455,0.8699219361092514,0.8716170430183411,0.9316223680973053,0.7504545454545455,0.9,1.2072378085466453,10
head3,共享输出头（三种子）,0.06740629933774471,-0.06722820326685905,0.029872381128370762,0.056798989325761794,-0.05405012257397175,0.930361718817764,0.8834456324577331,0.9389709591865539,0.8150000000000001,0.9,0.2669693612060663,10
rand1,随机初始化主干 + 读出,0.02650962779298425,-0.02429298940114677,0.017200448643416168,0.022043240163475274,-0.014730267645791172,0.9589408284226255,0.9060324847698211,0.9708149313926697,0.9447727272727272,0.9944444444444445,42.26311968194234,10
phionly1,"只用 φ（不拼 x, x²）",0.030372393410652877,-0.028861187119036912,0.01898747691884637,0.025074852164834738,-0.01633164638187736,0.9495386621482625,0.9271386861801147,0.9642321527004242,0.9142127799736496,1.0,32.309921467166006,10
nofix1,不做数值修正,0.0314666953869164,-0.03004700317978859,0.02003870727494359,0.035810837522149086,0.008730693670804613,0.9035890672544898,0.8249550819396972,0.9460618376731873,0.8971673254281949,1.0,14.46005288407195,10
masknone1,预训练不掩码,0.03169700587168336,-0.029858916951343416,0.019819054380059244,0.035936715360730884,-0.004432838456705212,0.9276453680427093,0.8983471870422364,0.9629409432411193,0.8605006587615284,1.0,41.550685487497105,10
maskbern1,预训练伯努利掩码,0.03043870022520423,-0.028852889174595477,0.01909467941150069,0.023862650664523245,-0.01773194332490675,0.9576746157343468,0.9316584646701813,0.9686818540096283,0.9825757575757577,0.990909090909091,38.51059326004055,10
D1,本文·单种子,0.02990271607413888,-0.028315082751214506,0.018692633602768183,0.02282065749168396,-0.019418147206306458,0.9525112118279804,0.936290156841278,0.9671740531921387,0.9778491436100133,0.9863636363636363,,10
C3,三种子特征拼接,0.01050451056410869,-0.007228171452879906,0.009583087793240944,0.013467255358894667,-0.00846321131878843,0.9579155436944284,0.9160067737102509,0.9619532525539398,0.8787878787878788,1.0,,6
E,本文·三种子预测平均（新主口径）,0.026388969179242848,-0.024180693412199618,0.017041441379114987,0.02109463741071522,-0.01817123214714229,0.9566238434418908,0.9342591285705566,0.9695499062538147,0.9143939393939394,1.0,,10
