数据,目标,集合数,微调V误差,单种子读出V误差,新主口径V误差,微调耗时s
RTS-GMLC,机组出力_223_STEAM_3,150,0.028390834107995033,0.01898387260735035,0.016457606106996536,0.20924717744191487
RTS-GMLC,机组出力_221_CC_1,150,0.043542150408029556,0.023581692948937416,0.020700860768556595,0.20924717744191487
RTS-GMLC,线路潮流_C35,150,0.031304631382226944,0.016804590821266174,0.012821984477341175,0.20924717744191487
NEM,机组出力_BW01,150,0.01658746786415577,0.011832774616777897,0.008633136749267578,0.24677918434143067
NEM,机组出力_TUMUT3,150,0.020856497809290886,0.016214100643992424,0.015075025148689747,0.24677918434143067
NEM,机组出力_PPCCGT,150,0.018674541264772415,0.015088262967765331,0.011472931131720543,0.24677918434143067
PJM-load,metered_load_mw,150,0.06322100013494492,0.06344932317733765,0.05530707165598869,0.24191921710968017
PJM-gen/ic,total_gen,150,0.06869632750749588,0.06642036885023117,0.05855724215507507,0.22859494686126708
PJM-gen/ic,net_actual_interchange_mw,150,0.07132919877767563,0.07237743586301804,0.06599874794483185,0.22859494686126708
CAISO-load,actual_load__mw__ca_iso_tac,150,0.03307649493217468,0.0319654606282711,0.026399288326501846,0.2254021962483724
