model,eps_max,eps_mean,phi_MAE,phi_max,phi_rho,phi_tau,sii_MAE,sii_max,sii_rho,sii_tau,stii_MAE,stii_max,stii_rho,stii_tau,faith2_MAE,faith2_max,faith2_rho,faith2_tau,M1_MAE,M1_max,M1_rho,M1_tau,M2_MAE,M2_max,M2_rho,M2_tau,phi_top3,bound_2eps,phi_err_max_per_conf,mono_viol
lin,0.5759535,0.16483048,0.022968815845368633,0.18831974868661788,0.7955633710345583,0.6648351928654953,0.00758415925209306,0.2411035907087074,0.6282895617197308,0.47746036564952715,0.010806643171603859,0.23909260358436796,0.6339396166738606,0.4777049244845876,0.007097081276857401,0.24404278935094503,0.6299676169241386,0.48156288156288146,0.08381324526687552,0.3492926359176636,0.8647661046218063,0.7434572716239797,0.09686581748038796,0.3492926359176636,0.8547859957969833,0.7219263036101777,0.7222222222222222,0.8096741,0.09199704678385451,0.00017147972470238094
lin2,0.4215519,0.11611915,0.015807721817313696,0.11018815367879903,0.8857724465240726,0.7679675219526635,0.005372506772166257,0.22937985139253114,0.7428979468134723,0.6007180185199531,0.007566136142022325,0.21929625954153498,0.7383468454656427,0.5959898810421194,0.005149613478816622,0.23467778342409404,0.737906779211127,0.5916564916564916,0.0510587724136366,0.20578648149967194,0.9262881362014027,0.8360210983726898,0.06341232956453625,0.24149352312088013,0.9090581225142521,0.8121670915614501,0.75,0.6273849,0.06110608912571756,0.0
poly2,0.53305477,0.08834062,0.013202733926934202,0.0971532553821624,0.8281999877766998,0.7108764112079812,0.0057158118221959766,0.19233620394354511,0.7606550727780723,0.6219131175585185,0.007090861909799072,0.19361393886770895,0.812113442669208,0.6673195412680603,0.005322094026195666,0.20090601306157696,0.755964325529543,0.6146520146520146,0.041501563375017474,0.2031276971101761,0.9369201135836893,0.845208764321681,0.04517157060936803,0.1740882396697998,0.9237262648702708,0.8305835788984443,0.6944444444444443,0.6101777,0.05201215713044136,0.026575724283854168
direct,0.8333213,0.09509438,0.013724503232405285,0.07678221858543877,0.8970695970695971,0.7710622710622711,0.00676380042945201,0.14231613002736465,0.694847905717471,0.5457875457875457,0.009039645265947123,0.23660888979028386,0.747547380156076,0.5937728937728938,0.006586653553573867,0.10039490064814321,0.6433017465626162,0.4938542938542938,0.06205527537635395,0.7259011268615723,0.8207721740973896,0.7246836752292976,0.0729329502653508,0.7197510004043579,0.7630036630036631,0.6666666666666666,0.75,0.845005,0.04645312317837003,0.008125668480282738
L0,0.9402447,0.028379753,0.0066454295877283786,0.03919540650672093,0.9479853479853481,0.8553113553113555,0.004001824238767026,0.05372488998662925,0.8500995381430165,0.6993487993487992,0.005300998839663321,0.07326198851946869,0.8801374953548867,0.7357346357346356,0.0038260671376811805,0.058938810550360626,0.8371131284174765,0.6848595848595848,0.016572552333985056,0.11414045095443726,0.9366042181020156,0.8532356532356533,0.03584683979196208,0.30269908905029297,0.8608058608058609,0.7673992673992677,0.8888888888888888,0.7582741,0.018883502954952162,0.015281313941592262
L0x,0.6616608,0.02413398,0.005647626345103513,0.03629207125592937,0.9410256410256411,0.8534798534798536,0.0036631720961391124,0.040298050558402305,0.848294579816319,0.7045177045177046,0.005175302047947887,0.07565808953267283,0.8677828210436905,0.7282458282458281,0.0032346858631665367,0.027351169271577384,0.8493894993894994,0.7085063085063084,0.017129497658017846,0.11534157395362854,0.933592283725302,0.8492257997714222,0.07480876385012553,0.5178897678852081,0.8216117216117217,0.7289377289377289,0.861111111111111,0.85328627,0.01703321559583151,0.023275466192336308
L1,0.4073845,0.03319791,0.007048428673302708,0.049396731043773956,0.9564102564102565,0.86996336996337,0.0039113437955418644,0.04781582623841947,0.837184795880448,0.6897028897028896,0.0050131062984461955,0.06246303024126253,0.876279396931571,0.734065934065934,0.0037324528187041833,0.05406508686525038,0.8250583957105698,0.6747659747659748,0.016571975002686184,0.10693316161632538,0.949799906407836,0.8789580789580791,0.031483911643070836,0.26306745409965515,0.8728937728937729,0.7985347985347987,0.8888888888888888,0.5349473,0.021321129279506534,0.025665283203125
L1x,0.5514405,0.030868372,0.0060476652109860045,0.043864103827701006,0.9333333333333335,0.8424908424908426,0.003563450567221605,0.04466549784740258,0.8333174072304508,0.6976393976393975,0.004685466273283014,0.06617983964127419,0.872287253808993,0.7423280423280422,0.003169947700267054,0.04031669456075697,0.8279901258162128,0.6942612942612941,0.017021149485593752,0.09772178530693054,0.9483234093366253,0.8715506715506717,0.05030440583470322,0.4159710109233856,0.8890109890109891,0.7985347985347987,0.861111111111111,0.70286876,0.019501820748500865,0.03238568987165179
L1ens,0.61275256,0.021098265,0.005963557514222002,0.03794113147554727,0.9172161172161172,0.8113553113553115,0.0035603344765219895,0.041595069831510886,0.8536484047353614,0.7162393162393162,0.00476753098184293,0.0631915017475132,0.880412220629612,0.7461945461945462,0.0029777332918344,0.04170340760953799,0.8542562509953816,0.7218559218559218,0.018345180278023083,0.16005775332450867,0.9218436580994838,0.8380744383472497,0.039594393134826704,0.4047279357910156,0.9007326007326008,0.8260073260073262,0.861111111111111,0.58576924,0.018176674114509378,0.035265967959449404
L0ensx,0.9901304,0.031040868,0.008243424309858369,0.04983257525370417,0.9,0.7728937728937729,0.00520063807788998,0.08250055247594218,0.7894622285926634,0.6476190476190476,0.006249547675750997,0.0950300556865073,0.8414981154111588,0.7078958078958077,0.0051978588794628295,0.08947164406794911,0.7390720390720391,0.5972730972730972,0.024420923309489376,0.21092665195465088,0.9061655186128857,0.809949979416109,0.04581555772927545,0.3925212323665619,0.8848606264589499,0.7941691289021936,0.861111111111111,1.5291653,0.026336875977740194,0.055148170107886904
Lmixx,0.6400183,0.021884387,0.005911422743808247,0.032126926788036025,0.9234432234432234,0.8241758241758244,0.003927054517954249,0.04164102511373563,0.8412207357859532,0.6992673992673993,0.0053883845825182354,0.0744708017374458,0.8655319318362796,0.7289784289784289,0.0033119844720617382,0.02794554763991934,0.851243563200085,0.7137159137159136,0.01842788773189698,0.09867405891418457,0.9369713252973165,0.8440577940577941,0.07943158643320203,0.5192507803440094,0.8029304029304031,0.7106227106227108,0.861111111111111,0.8988692,0.018420274146604205,0.035525367373511904
rffx,0.9843362,0.044572845,0.010048126584564186,0.09410977612526743,0.8787545787545787,0.7655677655677656,0.011232677886891126,0.1049133607591925,0.6232693634867549,0.48131868131868133,0.01087652664107432,0.12322446772571725,0.7061501300631735,0.5599511599511598,0.00795853124908718,0.10912444232292007,0.6492952699474438,0.5019129019129019,0.046072095654727446,0.3650611340999603,0.8474606918946516,0.7686708625913696,0.21469339919054792,0.7069119811058044,0.5751409661850873,0.4589941468351608,0.8333333333333331,1.5085411,0.03434332590093933,0.11665562220982142
mono0,0.8333213,0.09509438,0.013724503232405285,0.07678221858543877,0.8970695970695971,0.7710622710622711,0.00676380042945201,0.14231613002736465,0.694847905717471,0.5457875457875457,0.009039645265947123,0.23660888979028386,0.747547380156076,0.5937728937728938,0.006586653553573867,0.10039490064814321,0.6433017465626162,0.4938542938542938,0.06205527537635395,0.7259011268615723,0.8207721740973896,0.7246836752292976,0.0729329502653508,0.7197510004043579,0.7630036630036631,0.6666666666666666,0.75,0.845005,0.04645312317837003,0.008125668480282738
mono1,0.84020597,0.095692635,0.014203707992755388,0.10392174655239833,0.8970695970695971,0.7655677655677655,0.007058983824750012,0.15044972216777594,0.653968253968254,0.5107448107448106,0.009315137579746252,0.2496653566258313,0.7151351064394543,0.5693528693528692,0.006925293409648966,0.10622942402436515,0.6078183893401284,0.46255596255596254,0.06501686732683863,0.7226152420043945,0.8273635647277956,0.7228420264955983,0.07626581741940408,0.7226152420043945,0.7684981684981685,0.6556776556776557,0.7499999999999999,0.86762685,0.04569008315257223,0.01119050525483631
mono10,0.87296,0.15227164,0.01900071215824663,0.13423651484901494,0.8384615384615385,0.6923076923076924,0.007621133297196431,0.15198251002958427,0.6406367786802569,0.4908424908424908,0.010279523125540695,0.24931890932419776,0.6826843446408665,0.5304843304843304,0.007270798647094648,0.12199877240334533,0.5947589849763762,0.44782254782254777,0.08422912320210821,0.7491099238395691,0.8168273389178059,0.7131340549014519,0.0949676109566575,0.7491099238395691,0.7340659340659341,0.6263736263736265,0.6944444444444443,0.9536936,0.05902448926451374,0.021862938290550596
mono0r,0.9402447,0.028379753,0.0066454295877283786,0.03919540650672093,0.9479853479853481,0.8553113553113555,0.004001824238767026,0.05372488998662925,0.8500995381430165,0.6993487993487992,0.005300998839663321,0.07326198851946869,0.8801374953548867,0.7357346357346356,0.0038260671376811805,0.058938810550360626,0.8371131284174765,0.6848595848595848,0.016572552333985056,0.11414045095443726,0.9366042181020156,0.8532356532356533,0.03584683979196208,0.30269908905029297,0.8608058608058609,0.7673992673992677,0.8888888888888888,0.7582741,0.018883502954952162,0.015281313941592262
mono1r,0.9896625,0.028231265,0.006948923588145113,0.04512755298160831,0.9501831501831502,0.8553113553113555,0.004902831732186316,0.07143942775308793,0.8183189998407389,0.6643874643874644,0.006898023953273072,0.10390300256508077,0.8406593406593408,0.6919820919820919,0.004240887882378735,0.05959664497522066,0.8150687476774433,0.6621489621489621,0.0263525636179284,0.2156336009502411,0.9009689723389641,0.8051378460868094,0.11973045939313513,0.46376076340675354,0.6692307692307692,0.5293040293040293,0.8888888888888888,1.3654102,0.02197607976429448,0.014616466703869048
mono10r,0.9902025,0.04080597,0.007974026307080596,0.046860633218694825,0.9476190476190477,0.8553113553113554,0.004687119934214,0.05786407028103367,0.8012966502096938,0.6466829466829466,0.0054977301013226145,0.06670413978471437,0.8631151457238415,0.7168905168905169,0.00429635983983948,0.05792453069309237,0.7927191166321602,0.6394383394383394,0.016909484064117783,0.11928319931030273,0.9409934864712278,0.8595527323996223,0.04324704395341022,0.3911535143852234,0.8666666666666667,0.7692307692307695,0.8333333333333331,1.5385879,0.023175118575681386,0.024476550874255952
truth_seed0,0.050631225,0.002149822,0.0002470306609953067,0.0020794724115376396,0.9981684981684982,0.9908424908424909,0.00040914233498249783,0.004170586426463973,0.9936574295269948,0.9561660561660562,0.0003527671790799793,0.004926784214830306,0.9979070446461752,0.9745217745217745,0.00018932519786590314,0.001746032219904577,0.9971664808621329,0.972039072039072,0.0012660933037598927,0.007272005081176758,0.995603588775395,0.9798331298331299,0.0023715817147777194,0.02232968807220459,0.9952380952380953,0.9798534798534799,1.0,0.048078123,0.0006579949887000996,0.005824497767857143
leak69_seed0,0.105879605,0.004325329,0.0009106430474774113,0.011076779325978336,0.9956043956043956,0.9780219780219781,0.0008303628165778745,0.011177047267299636,0.9846804162021554,0.9269841269841269,0.000997818241235783,0.015664586849747628,0.993269894356851,0.948962148962149,0.0005598445523900497,0.008788600747153208,0.990016987843075,0.9450549450549449,0.003178979491903668,0.03366965055465698,0.9871794871794872,0.9542124542124544,0.004078489506528491,0.03366965055465698,0.9798534798534798,0.937728937728938,0.9722222222222222,0.09239596,0.0033073382773911157,0.002426874069940476
