model,MAE_1,MAE_2,MAE_3-8,MAE_9-20,MAE_21-44,MAE_all,bias_all,spearman_within_conf,under_on_T>0.7,danger@0.7,marg_MAE,marg_corr,mono_viol(<-0.02),inter_MAE,inter_corr,pairsyn_spearman,pairsyn_top1%_under
lin,0.035060927,0.067991205,0.13669115,0.16329105,0.12254163,0.11636547,-0.11563753,0.9508076936583181,0.08981232,0.2491000418585182,0.01424955,0.8717501044156506,0.00125,0.008418783,0.7334716877262076,0.5730215682052224,0.12471465
lin2,0.01962553,0.04182382,0.09680766,0.12521957,0.09477294,0.085953176,-0.08496832,0.9393081224604124,0.056429315,0.16781079949769778,0.01279887,0.8957258320983967,0.005416666666666667,0.00826106,0.6423096861931501,0.7545428599056047,0.08118107
direct,0.024083192,0.04654652,0.093875535,0.09896787,0.05146712,0.06371322,-0.062584795,0.9597438409515751,0.055702835,0.15186270406027627,0.01124716,0.9393017720305585,0.004166666666666667,0.008477474,0.7576902250697382,0.6446933388324544,0.14203319
L0,0.011201082,0.014203862,0.02538097,0.042989217,0.025517384,0.02585151,-0.017470554,0.9691953149808015,0.02122027,0.06630389284219339,0.008868262,0.9529382205302135,0.007291666666666667,0.009529234,0.7103964182459158,0.7930088772287833,0.027497396
L0x,0.011739841,0.014809232,0.023261249,0.033939198,0.019942906,0.021638574,-0.011003818,0.9666624206782558,0.00794485,0.04118878191712013,0.008781073,0.9494489751974665,0.009791666666666667,0.009749534,0.7143669106668693,0.7771097367890211,0.027192824
L1,0.008771801,0.01164042,0.02913903,0.05354494,0.03317841,0.030869266,-0.02430022,0.9684091992901362,0.029176673,0.08434491419003767,0.009129846,0.9597318343151354,0.01125,0.009377699,0.7453464127428532,0.8195196016208653,0.018907642
L1x,0.008750516,0.012181994,0.02750943,0.04429957,0.026797103,0.026306959,-0.018055147,0.9657978630171568,0.01319146,0.05617413143574718,0.009527971,0.9460542095878741,0.019791666666666666,0.0097577665,0.7022450687558093,0.8185854220092216,0.017977666
L1ens,0.0106767,0.013415458,0.01868003,0.027521975,0.016369708,0.017989999,-0.0059986548,0.9670628115723711,0.003984685,0.03604018417748012,0.009068752,0.9508395498179578,0.019583333333333335,0.010074001,0.7100734908637214,0.8050774049064924,0.015714115
L0ensx,0.014040834,0.016158132,0.017437499,0.020102076,0.015511849,0.01674952,0.0008854767,0.9669652432044415,-0.00229799,0.01975722059439096,0.008961774,0.9397513594348462,0.011041666666666667,0.009865102,0.6751635035809779,0.7626499457817132,0.022504942
Lmixx,0.012481843,0.014965212,0.020797096,0.0285259,0.018947203,0.019912748,-0.0073230257,0.9644637772489358,0.0048296214,0.032314776056927584,0.00951107,0.9350268726240754,0.019375,0.010891385,0.6671868273154896,0.78196793869492,0.022248998
rffx,0.011908599,0.03135436,0.043742593,0.041994423,0.038439166,0.037246335,-0.032643322,0.9451013032397101,0.019653054,0.06015069066555044,0.017267698,0.7480906833293497,0.04958333333333333,0.020993331,0.2941183432795484,0.6271736186070099,0.045651868
mono0,0.024083192,0.04654652,0.093875535,0.09896787,0.05146712,0.06371322,-0.062584795,0.9597438409515751,0.055702835,0.15186270406027627,0.01124716,0.9393017720305585,0.004166666666666667,0.008477474,0.7576902250697382,0.6446933388324544,0.14203319
mono1,0.024055464,0.04696246,0.09277028,0.09528997,0.04816438,0.06158548,-0.060157493,0.9621094670071835,0.052429102,0.14700711594809543,0.0110279005,0.9420018858015048,0.000625,0.0082032075,0.7638925823678523,0.6898856614306917,0.14722402
mono10,0.037795186,0.06670043,0.12855527,0.14722867,0.09872979,0.10213986,-0.10201972,0.9549535500787178,0.09666556,0.2729593972373378,0.012987172,0.9187586135690643,0.0008333333333333334,0.008670154,0.744232302496642,0.6080732373071286,0.16190913
mono0r,0.011201082,0.014203862,0.02538097,0.042989217,0.025517384,0.02585151,-0.017470554,0.9691953149808015,0.02122027,0.06630389284219339,0.008868262,0.9529382205302135,0.007291666666666667,0.009529234,0.7103964182459158,0.7930088772287833,0.027497396
mono1r,0.012425142,0.015742896,0.02597017,0.04129763,0.021979352,0.024525383,-0.016221056,0.968716568405263,0.018876778,0.0625366262034324,0.008908656,0.9590442902015749,0.006666666666666667,0.0098962765,0.5482531523308604,0.766145416007363,0.030537292
mono10r,0.011137322,0.013326564,0.029088922,0.060863204,0.050187275,0.03984898,-0.03469905,0.9633162192577701,0.038383443,0.10514859773964001,0.009015261,0.9623678340501481,0.010625,0.0093695875,0.7212867781247564,0.8031565468172354,0.021897592
truth_seed1,0.0009461119,0.0013110043,0.0020612625,0.0029271736,0.0034187743,0.0025785186,-5.8645368e-05,0.9941972187250229,3.2139662e-05,0.0015487651737128507,0.0041142884,0.9891445114506534,0.030416666666666668,0.0058276695,0.8893477333915449,0.9922844080380643,-0.00016558013
ridge_attacker,0.03543341,0.06862496,0.1373578,0.16355334,0.122318305,0.116566025,-0.11583167,0.9517845001449352,0.08997329,0.24968606111343658,0.014235049,0.8727844865461629,0.00125,0.008413744,0.7388009000373094,0.5739576802814298,0.123520166
