conf,field,single,shapley,M1,M2,loo,faith1
net_actual_interchange_mw,gen_fuel_gas_mw,0.12822797894477844,0.084067388041238,0.2323773205280304,0.2815031111240387,0.027175605,0.14719283686842094
net_actual_interchange_mw,gen_fuel_nuclear_mw,0.2806648313999176,0.13990279682421397,0.3227437734603882,0.3367837369441986,0.04751265,0.2603898062275765
net_actual_interchange_mw,gen_fuel_coal_pct,0.18768277764320374,0.11994153317628461,0.24446693062782288,0.26001566648483276,0.058654785,0.18875452199897133
net_actual_interchange_mw,gen_fuel_nuclear_pct,0.07916221022605896,0.0623045964201465,0.15984874963760376,0.1910824477672577,0.033905387,0.09294288806987157
net_actual_interchange_mw,gen_fuel_oil_pct,0.010521769523620605,0.031820157475629766,0.11467111110687256,0.11523529887199402,0.022300363,0.038980364180804083
net_actual_interchange_mw,gen_fuel_other_renewables_pct,0.04054155945777893,0.03242147061624399,0.0978914201259613,0.10874363780021667,0.018469334,0.0494933374070521
net_actual_interchange_mw,gen_fuel_solar_pct,0.003006070852279663,0.021511399080441918,0.05874475836753845,0.09196341037750244,0.017485857,0.01760141196117254
net_actual_interchange_mw,rmccp,0.029087483882904053,0.01963486759500069,0.11223724484443665,0.11223724484443665,0.0025632381,0.04437191241073395
net_actual_interchange_mw,total_pjm_rmccp_cr,0.0355629026889801,0.02463821242489509,0.1187126636505127,0.1187126636505127,0.004953623,0.05233311047041572
net_actual_interchange_mw,total_pjm_rmpcp_cr,0.10742053389549255,0.047811249855362815,0.10742053389549255,0.10742053389549255,0.024695337,0.08023600340333938
net_actual_interchange_mw,da_as_mcp_primary_reserve,0.01991790533065796,0.008469013297798658,0.07017940282821655,0.07017940282821655,-0.005069673,0.02563341996685693
net_actual_interchange_mw,da_as_mcp_synchronized_reserve,0.026893973350524902,0.019108112578913223,0.09432926774024963,0.10012310743331909,0.003788352,0.03853334858533108
gross_actual_interchange_mw,gen_fuel_gas_mw,0.1621362566947937,0.06734193389829464,0.1621362566947937,0.1621362566947937,0.025608331,0.13158426236662976
gross_actual_interchange_mw,gen_fuel_nuclear_mw,0.1611723005771637,0.08878176944574952,0.1869734525680542,0.21485906839370728,0.043594778,0.15091117423544853
gross_actual_interchange_mw,gen_fuel_coal_pct,0.12896481156349182,0.05632529356133888,0.1471358835697174,0.15664133429527283,0.02135846,0.10658531582500069
gross_actual_interchange_mw,gen_fuel_nuclear_pct,0.09176144003868103,0.03901134253967362,0.09176144003868103,0.10524839162826538,0.016825527,0.07195685916818916
gross_actual_interchange_mw,gen_fuel_oil_pct,0.04625129699707031,0.02611695383856821,0.047959595918655396,0.059165775775909424,0.025590986,0.03430221806526435
gross_actual_interchange_mw,gen_fuel_other_renewables_pct,0.044264376163482666,0.025536036791352572,0.04454803466796875,0.06320121884346008,0.025350034,0.03387654297965174
gross_actual_interchange_mw,gen_fuel_solar_pct,0.15983915328979492,0.08588315079910595,0.16855427622795105,0.17512181401252747,0.034018576,0.14952672235976755
gross_actual_interchange_mw,rmccp,0.01524120569229126,0.009890865160402312,0.06317710876464844,0.07581862807273865,0.008962214,0.019091835824849232
gross_actual_interchange_mw,total_pjm_rmccp_cr,0.031999558210372925,0.017409647658230772,0.0799354612827301,0.10096907615661621,0.0069446266,0.03460024437473495
