src,conf,"wind(mw,pct)","fl(latest,DA)","ss_mw(pri,sync)",top+,top−
truth,total_gen,+0.094(#1),-0.249(#91),-0.008(#41),"wind_mw×wind_pct+0.09, system_energy_price_da×as_req_mw_primary+0.00","fl_latest_available×coal_mw-0.15, fl_latest_available×fl_day_ahead-0.25"
truth,metered_load_mw,+0.088(#1),-0.253(#91),-0.008(#41),"wind_mw×wind_pct+0.09, system_energy_price_da×as_req_mw_primary+0.00","fl_latest_available×coal_mw-0.15, fl_latest_available×fl_day_ahead-0.25"
truth,total_lmp_da,+0.027(#1),-0.113(#89),-0.005(#47),"wind_mw×wind_pct+0.03, ss_mw_synchronized×gas_pct+0.00","fl_latest_available×system_energy_price_da-0.11, fl_day_ahead×system_energy_price_da-0.13"
direct,total_gen,-0.007(#51),-0.321(#91),-0.002(#32),"system_energy_price_da×as_req_mw_primary+0.00, total_lmp_rt×as_req_mw_primary+0.00","fl_latest_available×coal_mw-0.20, fl_latest_available×fl_day_ahead-0.32"
direct,metered_load_mw,-0.005(#51),-0.324(#91),-0.001(#29),"system_energy_price_da×as_req_mw_primary+0.00, total_lmp_rt×as_req_mw_primary+0.00","fl_latest_available×coal_mw-0.19, fl_latest_available×fl_day_ahead-0.32"
direct,total_lmp_da,-0.005(#65),-0.091(#86),+0.000(#26),"wind_mw×gross_inadv_interchange_mw+0.01, wind_mw×system_energy_price_da+0.00","system_energy_price_da×total_lmp_rt-0.13, system_energy_price_da×marginal_loss_price_rt-0.13"
L0x,total_gen,+0.092(#1),-0.266(#91),-0.007(#38),"wind_mw×wind_pct+0.09, ss_mw_primary×as_req_mw_primary+0.00","fl_latest_available×coal_mw-0.16, fl_latest_available×fl_day_ahead-0.27"
L0x,metered_load_mw,+0.085(#1),-0.268(#91),-0.008(#44),"wind_mw×wind_pct+0.08, system_energy_price_da×as_req_mw_primary+0.00","fl_latest_available×coal_mw-0.16, fl_latest_available×fl_day_ahead-0.27"
L0x,total_lmp_da,+0.012(#1),-0.124(#89),-0.002(#29),"wind_mw×wind_pct+0.01, ss_mw_synchronized×marginal_loss_price_rt+0.00","fl_latest_available×system_energy_price_da-0.13, fl_day_ahead×system_energy_price_da-0.14"
L1x,total_gen,+0.094(#1),-0.266(#91),-0.009(#44),"wind_mw×wind_pct+0.09, system_energy_price_da×as_req_mw_primary+0.00","fl_latest_available×coal_mw-0.16, fl_latest_available×fl_day_ahead-0.27"
