model,eps_max,eps_mean,phi_MAE,phi_max,phi_rho,phi_tau,sii_MAE,sii_max,sii_rho,sii_tau,stii_MAE,stii_max,stii_rho,stii_tau,faith2_MAE,faith2_max,faith2_rho,faith2_tau,M1_MAE,M1_max,M1_rho,M1_tau,M2_MAE,M2_max,M2_rho,M2_tau,phi_top3,bound_2eps,phi_err_max_per_conf,mono_viol
lin,0.46033984,0.12565784,0.02012200522455031,0.1166417789439874,0.8076923076923078,0.6843434343434343,0.0067630845478466005,0.10742725485137483,0.7204432383536862,0.5716394716394717,0.009141218549254995,0.10549418318419995,0.7469018543645412,0.597979797979798,0.006230169041083338,0.11642673023307235,0.6906133667327697,0.5514374514374515,0.05696988868941036,0.25656256079673767,0.8175990675990676,0.6868686868686869,0.06260584827072711,0.2674284875392914,0.8006993006993008,0.6641414141414141,0.7777777777777777,0.6265983,0.05694378511881069,0.0
lin2,0.3223947,0.085578956,0.014241501491326747,0.07071882610506275,0.8583916083916084,0.7424242424242423,0.005060641999051388,0.07024295737733077,0.7785269456911249,0.6234654234654233,0.006694811394350316,0.07834478388305266,0.816459659743242,0.6632478632478632,0.0046857562990572895,0.07691528666994032,0.751435132032147,0.603030303030303,0.0358674692041758,0.19726091623306274,0.8782051282051283,0.7702020202020202,0.04132260278048408,0.19726091623306274,0.8828671328671329,0.7601010101010099,0.8888888888888888,0.44819215,0.03868417358955504,0.0
poly2,0.28155455,0.06853582,0.011424327183221235,0.05553464666452423,0.9090909090909093,0.7904040404040403,0.005577238597767156,0.08925524386765457,0.7654072295863342,0.6024864024864024,0.007136773101127736,0.09776654678200673,0.8056639877535402,0.644055944055944,0.005129866283299447,0.08922132838873355,0.7406185853947048,0.5796425796425796,0.03022759603077753,0.19448205828666687,0.8793706293706295,0.7752525252525252,0.03002070469988717,0.1539216935634613,0.9079254079254079,0.8030303030303029,0.8888888888888888,0.4113662,0.030574385691040998,0.020592583550347224
direct,0.32230037,0.087905474,0.01358760380262592,0.08073259067935354,0.8735431235431235,0.7727272727272726,0.005750808936754999,0.05479082823831802,0.7398392652123996,0.5881895881895881,0.007570639884428605,0.07603049918600667,0.8038026649966948,0.6456099456099457,0.005386699024167215,0.05093768144965102,0.6898757958459453,0.5422688422688423,0.028641012600726552,0.2178960144519806,0.9085081585081586,0.808080808080808,0.030925281759765413,0.21436730027198792,0.905011655011655,0.7954545454545453,0.861111111111111,0.45675445,0.03672314281376026,0.015218098958333334
L0,0.27955222,0.023344487,0.006175786612671507,0.021150203438376383,0.9766899766899768,0.9217171717171714,0.004382851978966306,0.036634413216902584,0.8051734335316426,0.66006216006216,0.006157629679371802,0.042712454836477176,0.8243467974811259,0.6808080808080809,0.003412954298684951,0.03737164359468204,0.8178791357895836,0.6754467754467753,0.01654590787883434,0.09562608599662781,0.9440559440559442,0.8585858585858585,0.04359856524711682,0.2015843391418457,0.7984694243139043,0.71119722620695,0.9444444444444443,0.37450936,0.013766924444359485,0.023193359375
L0x,0.32923484,0.023529388,0.005712507135024669,0.044580248898129796,0.9743589743589746,0.919191919191919,0.004427274230546246,0.026451550532551674,0.7999443342726925,0.6521367521367522,0.006576281529301239,0.04225545587208966,0.8006923424833875,0.66006216006216,0.003323194537566616,0.025872313395330124,0.8246703545211008,0.6775446775446775,0.021062069701858692,0.11219900846481323,0.9102564102564105,0.8106060606060604,0.048503436639698014,0.20406201481819153,0.7736162099772703,0.6755727785747233,0.9166666666666666,0.3859025,0.01724831027122503,0.031823052300347224
L1,0.24239132,0.02379027,0.006073871453819215,0.02076892141698955,0.9761072261072264,0.9217171717171716,0.003930300807313081,0.025090154333505085,0.844296002504958,0.6999999999999998,0.005153563983757064,0.028939622823917713,0.8725220053578265,0.7354312354312355,0.003113286793019738,0.02532719534311379,0.839487875308771,0.6965811965811967,0.01290260085887793,0.08900633454322815,0.9510489510489512,0.8787878787878786,0.018858109135180712,0.15393531322479248,0.8863636363636364,0.8282828282828282,0.9722222222222222,0.261291,0.012362972717474205,0.024814181857638888
L1x,0.24182302,0.022660399,0.005351469857556303,0.02421386103007364,0.9801864801864801,0.9343434343434341,0.0037430351410127093,0.020965348754997427,0.851375987196883,0.7052059052059052,0.004960843110329877,0.03141675923089515,0.8715548133458583,0.7334887334887336,0.0029275004274774796,0.017684957311883347,0.8572174094562156,0.712043512043512,0.012831866107363667,0.09287150204181671,0.953962703962704,0.8838383838383836,0.013029543398362067,0.0649779736995697,0.9551282051282053,0.8787878787878786,0.9722222222222222,0.2741743,0.012195678372178055,0.028289794921875
L1ens,0.45314157,0.014622931,0.004601808956078275,0.02561953694896929,0.9790209790209792,0.9292929292929292,0.0037651814988859133,0.02668482400544126,0.8491145670250148,0.7079254079254079,0.005110255361189491,0.04670165677435299,0.8724002365793413,0.7373737373737373,0.0029315742171724508,0.025780081462935575,0.8634519709146576,0.7236208236208235,0.014115939873995053,0.0809129923582077,0.9411421911421912,0.866161616161616,0.019514180538761947,0.20920094847679138,0.9434731934731936,0.8762626262626262,0.9722222222222222,0.42794886,0.0130964736992645,0.029161241319444444
L0ensx,0.9548382,0.015342112,0.0057337005429578605,0.04380854849406608,0.9679487179487181,0.9116161616161613,0.004454664775588899,0.04314440229711423,0.8234248338725951,0.6878010878010877,0.0061627673631895466,0.06947185543955735,0.8149079775945448,0.6870240870240868,0.003460513957780425,0.04743399658351918,0.8429878579132314,0.7036519036519034,0.021495690569281578,0.14438073337078094,0.8881118881118882,0.808080808080808,0.03723598413893746,0.21307167410850525,0.8811188811188813,0.7853535353535351,0.9444444444444443,0.7617306,0.017810670759581676,0.03573269314236111
Lmixx,0.2923682,0.02093547,0.005868507346918382,0.05503146091889666,0.9755244755244755,0.9267676767676766,0.004233831627873234,0.04136464762619683,0.8186862888355426,0.6743589743589745,0.005924660607465785,0.04135316564334614,0.8275719305570052,0.6844599844599845,0.0032661757218379953,0.03882072947390082,0.8347249765160214,0.6934731934731935,0.018177121696579788,0.09977847337722778,0.9312354312354313,0.8383838383838382,0.030324201125444636,0.15258944034576416,0.8566433566433567,0.7626262626262624,0.9166666666666666,0.3366721,0.017623005967612917,0.03912353515625
rffx,0.9837341,0.05186687,0.011422806631961106,0.06863259207000386,0.861888111888112,0.7449494949494948,0.012399467024347991,0.08730476215323185,0.5278119890060189,0.3840714840714841,0.017888906299077828,0.14609248675728556,0.569185540827332,0.4156177156177155,0.010344940299739596,0.07826240933994127,0.5264377413631146,0.38119658119658123,0.022118198369248096,0.14302930235862732,0.896853146853147,0.7904040404040403,0.20539095916319638,0.8039159774780273,0.4389923778228905,0.3513417184420531,0.8888888888888888,1.2561306,0.03227380191964544,0.085723876953125
mono0,0.32230037,0.087905474,0.01358760380262592,0.08073259067935354,0.8735431235431235,0.7727272727272726,0.005750808936754999,0.05479082823831802,0.7398392652123996,0.5881895881895881,0.007570639884428605,0.07603049918600667,0.8038026649966948,0.6456099456099457,0.005386699024167215,0.05093768144965102,0.6898757958459453,0.5422688422688423,0.028641012600726552,0.2178960144519806,0.9085081585081586,0.808080808080808,0.030925281759765413,0.21436730027198792,0.905011655011655,0.7954545454545453,0.861111111111111,0.45675445,0.03672314281376026,0.015218098958333334
mono1,0.29116708,0.07596071,0.011956068981014503,0.044987763839667794,0.9283216783216783,0.8181818181818182,0.005271888609759145,0.05856528305495623,0.7621368681070174,0.6093240093240092,0.006927382134035559,0.05223368222665316,0.8145426712590894,0.6623154623154622,0.004886400310424384,0.06581538673791634,0.7349093692377275,0.5801864801864802,0.031214846712019708,0.20904847979545593,0.9423076923076924,0.8510101010101009,0.035252646853526436,0.20904847979545593,0.9347319347319347,0.8459595959595959,0.861111111111111,0.41169965,0.02900163759004831,0.003024631076388889
mono10,0.4139526,0.108646065,0.01652338047561451,0.07396151948865345,0.8479020979020978,0.7449494949494949,0.006957158779193221,0.07924128873287167,0.6936784608426402,0.5320901320901321,0.009449318849335047,0.07472017104233483,0.7430817938280625,0.57995337995338,0.0061989158532010135,0.09119698538051965,0.6638972967331178,0.5087801087801087,0.046005656114882894,0.2728285789489746,0.9015151515151517,0.7803030303030303,0.05006188526749611,0.2728285789489746,0.9032634032634036,0.7954545454545454,0.861111111111111,0.5475801,0.04155594799085243,0.003204345703125
mono0r,0.27955222,0.023344487,0.006175786612671507,0.021150203438376383,0.9766899766899768,0.9217171717171714,0.004382851978966306,0.036634413216902584,0.8051734335316426,0.66006216006216,0.006157629679371802,0.042712454836477176,0.8243467974811259,0.6808080808080809,0.003412954298684951,0.03737164359468204,0.8178791357895836,0.6754467754467753,0.01654590787883434,0.09562608599662781,0.9440559440559442,0.8585858585858585,0.04359856524711682,0.2015843391418457,0.7984694243139043,0.71119722620695,0.9444444444444443,0.37450936,0.013766924444359485,0.023193359375
mono1r,0.46436268,0.022288024,0.006083775798748763,0.025574882466663153,0.980769230769231,0.9318181818181815,0.004407833563589801,0.03803439492004968,0.8159969383849983,0.667132867132867,0.006267801447902752,0.043278305416571954,0.8192881745120552,0.6750582750582749,0.0034588221788058485,0.03584795216589808,0.821848797968201,0.6761460761460761,0.021592058525938127,0.14250987768173218,0.9281401115065923,0.8526694202522397,0.0283938340532283,0.19473838806152344,0.8414918414918415,0.7777777777777777,0.9722222222222222,0.4281901,0.014444322548391434,0.025780571831597224
mono10r,0.88379943,0.025068238,0.006229462609858106,0.02267373773130931,0.9755244755244757,0.9217171717171716,0.0038648510347639438,0.03324980910055737,0.8369342100685387,0.6865578865578864,0.005444394271769329,0.06080203200777808,0.8508158508158511,0.7074592074592073,0.0030998571523230107,0.022235008099871834,0.8416831924294611,0.6924630924630925,0.01483415733350234,0.08113747835159302,0.9423076923076925,0.866161616161616,0.03355845889180071,0.23516157269477844,0.8362470862470862,0.7727272727272725,0.9444444444444443,1.0573155,0.01366682950941022,0.01806640625
truth_seed0,0.03641635,0.0021338982,0.0003148356092792355,0.001572381266396812,0.997086247086247,0.9873737373737371,0.0005849051318283173,0.003888031026458672,0.9901819573461367,0.9398601398601398,0.0004747001260060981,0.006034157477846094,0.9972932540096721,0.9717948717948718,0.00031174929049520645,0.0018663519192747592,0.9947674216330933,0.962004662004662,0.0015002793322006862,0.009793102741241455,0.9930069930069932,0.9722222222222219,0.002128849426905314,0.030157506465911865,0.9947552447552449,0.977272727272727,1.0,0.036529798,0.0007797632555461005,0.007965087890625
leak69_seed0,0.072963595,0.0048076618,0.0009575996883987165,0.0105120780685591,0.9924242424242425,0.9772727272727271,0.0011274369533255861,0.012322584126805744,0.9769335142469472,0.9077700077700078,0.0012977024427960624,0.013734911745588621,0.9884145705041231,0.9363636363636364,0.0006892606894699132,0.012131521037727189,0.9847510698256968,0.9312354312354313,0.003811554569337103,0.03395730257034302,0.9842657342657345,0.9419191919191917,0.004036572658353382,0.04180645942687988,0.9877622377622378,0.9570707070707067,1.0,0.060590032,0.0030356622031815655,0.005018446180555556
SAGE_fullmodel_s0,0.9563836,0.27440354,0.036047456324727965,0.4968966920579226,0.7022144522144522,0.5681818181818181,0.02295704538886924,0.49188891710743127,-0.013947743798490064,-0.0029526029526029513,0.025742569524660534,0.39133553168861424,0.03919215113244966,0.03543123543123543,0.02052962964235538,0.48100588401920485,0.01681452875482727,0.018337218337218335,0.11874034069478512,0.821830153465271,0.6403577243834551,0.49919268431324343,0.10178134217858315,0.795918345451355,0.7473324223679745,0.576667066978897,0.75,1.1897715,0.15230664281867107,0.08878919813368055
SAGE_fullmodel_s1,0.94406366,0.28050464,0.035675600071812315,0.49173447020018707,0.7453379953379954,0.6060606060606061,0.02324989919026881,0.593393437996571,0.013916431826879598,0.013830613830613833,0.025667339661496157,0.40590294541476635,0.0781929513272797,0.06627816627816628,0.020777963980473442,0.581837421842216,0.052798942351181176,0.04366744366744366,0.11870635776884025,0.8382863998413086,0.6089104306030796,0.4767941936680213,0.09986415464017126,0.7772372364997864,0.7725519688214201,0.6143660021135046,0.6944444444444445,1.1909584,0.14665815850012923,0.08964029947916667
SAGE_fullmodel_s2,0.9541118,0.27763423,0.03498952689932125,0.48399106416028886,0.7284382284382285,0.5934343434343434,0.023519603364158575,0.5353392636578149,-0.014612253418223572,-0.003885003885003884,0.02576024096410498,0.37177688414486293,-0.0004835960059840627,0.009168609168609164,0.020950139810375072,0.5244680943483718,0.012573496155585714,0.018725718725718727,0.11845275656216675,0.823624312877655,0.615160790581026,0.4772062356582023,0.10125483696659406,0.7815110683441162,0.7775672694919012,0.6253628474095224,0.6944444444444443,1.1830616,0.14673540599065418,0.08961656358506945
