band,n_sets,mean_T,seed_noise,leak69_minus_clean,bestepoch_minus_clean,ridge_minus_mlp,ridge_wins
1,93,0.12645938,0.000946112,0.0023644173,0.0036531948,-0.035166346,0.06720430107526881
2,1031,0.24317342,0.0013110043,0.0026808186,0.0047398563,-0.068451,0.01988360814742968
3-8,432,0.48498273,0.0020612625,0.0023248699,0.0054518133,-0.13725966,0.024112654320987654
9-20,840,0.72455966,0.0029271734,0.0027841253,0.0064262785,-0.16324241,0.07351190476190476
21-44,1684,0.83084923,0.0034187743,0.0030087787,0.0074842284,-0.12083628,0.20912509897070466
