confidential_field,probe_r2,probe_mse,best_epoch,baseline_gcn_r2,gat_loss_mask_r2
total_gen,0.99832719588513,0.0017607738263905048,136,,
metered_load_mw,0.9962878493933237,0.0038703163154423237,152,,
total_lmp_da,0.9904756458320699,0.010877658613026142,268,,
da_as_total_mw_primary_reserve,0.9536016698145959,0.04880278930068016,152,,
total_losses,0.9334742413917715,0.06635401397943497,350,,
net_actual_interchange_mw,0.9295984627394397,0.07143748551607132,307,,
da_as_total_mw_synchronized_reserve,0.920000100798808,0.08250011503696442,160,,
da_as_total_mw_thirty_minutes_reserve,0.9141437178213236,0.08923038095235825,163,,
marginal_loss_price_da,0.8816090434068973,0.11627648025751114,307,,
gross_actual_interchange_mw,0.8759973140166133,0.12903650104999542,574,,
congestion_price_rt,0.6702083206524372,0.36852315068244934,51,,
congestion_price_da,0.6602494811248918,0.3685414493083954,276,,
