confidential_field,test_r2,test_mse,used_in_loss
metered_load_mw,0.965587954968214,0.014895563013851643,True
da_as_total_mw_primary_reserve,0.9596734158694744,0.055839430540800095,True
total_gen,0.9471294023096561,0.024191521108150482,True
da_as_total_mw_synchronized_reserve,0.8917837217450142,0.09094424545764923,True
total_lmp_da,0.8647546470165253,0.058799859136343,True
total_losses,0.6962979435920715,0.26676151156425476,True
marginal_loss_price_da,0.48900628089904785,0.2802172005176544,True
congestion_price_rt,0.4479116201400757,0.9033047556877136,True
da_as_total_mw_thirty_minutes_reserve,0.37083351612091064,0.4520552158355713,True
gross_actual_interchange_mw,0.3269538879394531,0.3934493362903595,True
congestion_price_da,0.24335914850234985,1.2843564748764038,True
net_actual_interchange_mw,-0.8354499340057373,1.417531132698059,True
