general_field,mask_norm,single_norm,attn_norm,ig_norm,lrp_norm,shapley_norm
gen_fuel_coal_mw,0.11666063317582046,0.39980505386166115,0.31599514712741034,0.39326224,0.36357507,0.23942908758034864
gen_fuel_gas_mw,0.16236815135294697,0.5084369472090177,0.5188295410075104,0.52393526,0.40177205,0.3825217489410532
gen_fuel_hydro_mw,0.009123752637341618,0.03159338099514785,0.06989175604699285,0.089060366,0.07846528,-0.0005429293417583785
gen_fuel_multiple_fuels_mw,0.02530368638865971,0.027404663268480102,0.08530690968108545,0.04997974,0.0797413,0.020572387552672995
gen_fuel_nuclear_mw,0.0899540564751948,0.20236279607054053,0.20942009780796508,0.20979898,0.12266134,0.11880019626704713
gen_fuel_oil_mw,0.017482960777690803,0.05630537855088585,0.16716521076021637,0.114278056,0.11052072,0.05544894233017265
gen_fuel_other_renewables_mw,0.002825956293065622,0.009013977555004894,0.015576260611051844,0.043146443,0.047530357,0.005298606980457553
gen_fuel_solar_mw,0.0024806241665226267,0.0,0.017930171019867158,0.023637928,0.03157612,0.0025056366631386997
gen_fuel_storage_mw,0.007228164789970922,0.0,0.013046177466575354,0.021554332,0.040049482,0.0022132903786263236
gen_fuel_wind_mw,0.10516627241851746,0.00018492485934908903,0.09903796927184128,0.45012715,0.16397218,0.07990963871689079
gen_fuel_coal_pct,0.07081080592834026,0.13411336730762163,0.15037155433984314,0.18014568,0.13768843,0.08888718847271046
gen_fuel_gas_pct,0.018225903144913708,0.035209316572751795,0.02370096283484955,0.045280956,0.06592519,0.015581040087112578
gen_fuel_hydro_pct,0.0051024163308998035,0.008287053417344618,0.024455708239965904,0.04949101,0.05507687,0.000307825038239128
gen_fuel_multiple_fuels_pct,0.016264326071617714,0.005225343633770634,0.07049094793850079,0.037295748,0.07072651,0.014738419622508958
gen_fuel_nuclear_pct,0.2673535803419805,0.03680013867488152,0.5478322227523467,0.75307316,0.30514017,-0.068559219597156
gen_fuel_oil_pct,0.02159470439745473,0.021876194023786044,0.12205745179292266,0.046717156,0.06672017,0.024246734679275544
gen_fuel_other_renewables_pct,0.018736658140616477,0.003118793311037312,0.08543730299025941,0.1074197,0.11027526,-0.00889032503646704
gen_fuel_solar_pct,0.005622958051482826,0.001640103702356971,0.01880302175416401,0.042926677,0.0579718,0.006215568681502808
gen_fuel_wind_pct,0.01249090636745222,0.0,0.012053966010458939,0.059572306,0.0986735,-0.028363134467224865
forecast_load_mw_latest_available,0.3933747139762807,0.9856654632580234,0.6992100177442787,0.9721658,1.0,0.7905581104517911
forecast_load_mw_day_ahead,0.36988855589904585,1.0,0.6855103356402683,1.0,0.994836,0.7976439575658546
rmccp,0.012438556246216075,0.012627991417330979,0.08022697331389146,0.030013986,0.034377053,0.013340033082060186
rmpcp,0.003507571413991157,9.940137976420892e-06,0.00351638148138593,0.010843842,0.013398254,-0.003445886016428418
total_pjm_loc_credit,0.007495433060142111,0.0,0.00567502703020548,0.007874096,0.012605581,0.0022847472318784697
total_pjm_reg_purchases,0.010926357237427015,0.005720208257046836,0.04911691556457363,0.069876544,0.04954256,0.0071463689159354405
total_pjm_self_sched_reg,0.0012886659305019277,0.0012980229359182529,0.00018256382546009145,0.013782106,0.021190813,-0.002180677412739913
total_pjm_assigned_reg,0.006011324500810688,0.0006864068485066426,0.014692820184385036,0.017942995,0.0255696,0.0031070390071871266
total_pjm_rmccp_cr,0.009178757420302773,0.0018066855969853723,0.057385155550581914,0.018251866,0.022472592,0.004892527451697492
total_pjm_rmpcp_cr,0.0006789734204783859,0.0031899171256327555,0.019796471850390535,0.018088723,0.015553884,0.0022151726155339693
da_as_mcp_primary_reserve,0.025902917947330528,0.00680554709352944,0.138023022330451,0.04856047,0.0702152,0.045992655287926655
da_as_mcp_synchronized_reserve,0.08045124694636134,0.05927672775774623,0.25659520261178625,0.1257297,0.21361463,0.10412318106653796
da_as_as_req_mw_primary_reserve,0.45950293088479804,0.34862676727359937,0.6777960640938356,0.6620708,0.5523253,0.424603665170972
da_as_as_req_mw_synchronized_reserve,0.45778923104989744,0.34931668451762815,0.6863985547258215,0.65821224,0.5459941,0.4202365733272373
da_as_as_req_mw_thirty_minutes_reserve,0.3704998520071693,0.20768332343858392,0.517480895415972,0.49709445,0.45225477,0.32454263650936394
da_as_ss_mw_primary_reserve,0.0041734263411078365,0.0,0.01283399935804309,0.0122708995,0.021151511,0.00212181326824284
da_as_ss_mw_synchronized_reserve,0.004302004617732705,1.3880373025732432e-05,0.0,0.0135376165,0.015309217,0.0012849731686122494
da_as_ss_mw_thirty_minutes_reserve,0.004164745165224456,2.4313040292988278e-05,0.0,0.013172568,0.015275412,0.0017125201168201505
da_as_nsr_mw_primary_reserve,1.0,0.29204895949795545,0.7051665469419264,0.5613849,0.64217085,0.6225952387543184
system_energy_price_da,0.876542887474387,0.9392146347321996,1.0,0.9510516,0.7639546,1.0
total_lmp_rt,0.0683286693727101,0.2264189714739489,0.34253842360042674,0.2587027,0.23883583,0.1664690163939788
marginal_loss_price_rt,0.07951879533528564,0.18912912913197347,0.3390835495526405,0.26799312,0.24679594,0.18023319938984206
net_inadv_interchange_mw,0.001072797527880688,0.0,0.0,0.0043975622,0.008325179,0.00040558589321725496
gross_sched_interchange_mw,0.1429339306791381,0.009408949612598775,0.3166148231737063,0.24742098,0.25622433,0.10673890937318228
gross_inadv_interchange_mw,0.4930534924188161,0.28884876263853754,0.5118891692889959,0.6174547,0.5915163,0.3728805468433264
