k,mask,single,attn,ig,lrp,shapley
1,-0.10624092072248459,-0.016295364126563072,-0.03607739135622978,-0.016295364126563072,-0.016577595844864845,-0.03607739135622978
2,0.02744920551776886,0.05687718465924263,0.02744920551776886,0.05687718465924263,0.05687718465924263,0.09585082530975342
3,0.10265227407217026,0.16292394697666168,0.15472246706485748,0.16292394697666168,0.16292394697666168,0.16292394697666168
4,0.18490751087665558,0.1920527070760727,0.23232083022594452,0.07666433602571487,0.2249726802110672,0.2249726802110672
5,0.25278133153915405,0.19803951680660248,0.3022448718547821,0.13664363324642181,0.2856251299381256,0.29884088039398193
6,0.354208379983902,0.2554018199443817,0.36951005458831787,0.18900032341480255,0.3561585247516632,0.36951005458831787
7,0.38507071137428284,0.3077373206615448,0.276440292596817,0.25498166680336,0.42573538422584534,0.39532724022865295
8,0.4574659764766693,0.39954662322998047,0.2868195176124573,0.34211456775665283,0.4574659764766693,0.4462491571903229
9,0.3768819272518158,0.45106709003448486,0.33137503266334534,0.35432592034339905,0.47892704606056213,0.47892704606056213
10,0.3993107080459595,0.4758225381374359,0.3993107080459595,0.3993107080459595,0.48188135027885437,0.48188135027885437
11,0.4330269396305084,0.5067324638366699,0.45035743713378906,0.41508376598358154,0.43980517983436584,0.5018355250358582
12,0.4733975827693939,0.5162524580955505,0.4882362186908722,0.45429739356040955,0.4733975827693939,0.5110589861869812
13,0.4874812066555023,0.520821750164032,0.5190556645393372,0.5089977383613586,0.5258703231811523,0.520821750164032
14,0.5008862614631653,0.5151153206825256,0.5631492733955383,0.5461037755012512,0.5631492733955383,0.5513537526130676
15,0.5431845784187317,0.5393749475479126,0.5973020792007446,0.576336681842804,0.5973020792007446,0.5762472748756409
16,0.5903051495552063,0.5363345146179199,0.6119942665100098,0.590384840965271,0.6101250052452087,0.5683134198188782
17,0.600929319858551,0.6208298206329346,0.635349452495575,0.6015452742576599,0.6246045231819153,0.6052155494689941
18,0.6353564858436584,0.6280632019042969,0.6456406116485596,0.6353564858436584,0.6353564858436584,0.6020480990409851
19,0.6513511538505554,0.6360569000244141,0.6579769253730774,0.6570418477058411,0.6570418477058411,0.6100026965141296
20,0.6647639274597168,0.6475656628608704,0.6699752807617188,0.6611902117729187,0.6611902117729187,0.6121416687965393
21,0.6821017861366272,0.6549453735351562,0.6812078356742859,0.6690471768379211,0.6640581488609314,0.6211419701576233
22,0.6856769919395447,0.654681921005249,0.6858273148536682,0.673793375492096,0.6752634048461914,0.6198760867118835
23,0.6909303665161133,0.6798403263092041,0.6946632862091064,0.6762990355491638,0.6822350025177002,0.6247485876083374
24,0.6982161402702332,0.6809669137001038,0.6953253746032715,0.6867372393608093,0.6875467300415039,0.6246868968009949
25,0.7025571465492249,0.6847641468048096,0.6996225714683533,0.691157341003418,0.696784496307373,0.6299223303794861
26,0.704883873462677,0.6903368830680847,0.7021868824958801,0.6997304558753967,0.7031601071357727,0.633266806602478
27,0.7051356434822083,0.6936938762664795,0.7032766938209534,0.7056195139884949,0.7069201469421387,0.6339793801307678
28,0.7091881632804871,0.6977657675743103,0.7067348957061768,0.7090367674827576,0.7078137397766113,0.6347319483757019
29,0.7097804546356201,0.6979811191558838,0.7086765170097351,0.7095116972923279,0.7097596526145935,0.6363263726234436
30,0.7113842964172363,0.7029749751091003,0.7108945846557617,0.7106694579124451,0.7130388617515564,0.6372345089912415
31,0.7123444676399231,0.7034109234809875,0.7106284499168396,0.7135610580444336,0.7135610580444336,0.6383334994316101
32,0.7144110798835754,0.7046297192573547,0.711486279964447,0.7137477993965149,0.7152500748634338,0.6389676928520203
33,0.7154403328895569,0.7044289708137512,0.7117627263069153,0.7139036059379578,0.715408980846405,0.6418124437332153
34,0.71634441614151,0.7055602669715881,0.7122226357460022,0.7155771255493164,0.7155771255493164,0.6427314281463623
35,0.7169035077095032,0.7128753066062927,0.7133567333221436,0.7156782150268555,0.7165471911430359,0.6429439783096313
36,0.7172650694847107,0.7132088541984558,0.7146137356758118,0.7151922583580017,0.7165893912315369,0.6436868906021118
37,0.7175369262695312,0.7134619355201721,0.7149617075920105,0.7160673141479492,0.716339647769928,0.643950343132019
38,0.7180395126342773,0.7136942744255066,0.7164225578308105,0.7158093452453613,0.7166926264762878,0.6480227112770081
39,0.7181182503700256,0.7148439288139343,0.7172703742980957,0.7161415219306946,0.7161633372306824,0.6468679308891296
40,0.7183153629302979,0.7150617241859436,0.717549741268158,0.716353178024292,0.7163910865783691,0.6468614935874939
41,0.7184751629829407,0.7159228324890137,0.71727055311203,0.716839611530304,0.716839611530304,0.646906316280365
42,0.7182126045227051,0.7174533009529114,0.7174897193908691,0.7171037793159485,0.7171037793159485,0.6745970845222473
43,0.7183428406715393,0.7179235816001892,0.7179235816001892,0.7179235816001892,0.7179235816001892,0.6782266497612
44,0.718048632144928,0.718048632144928,0.718048632144928,0.718048632144928,0.718048632144928,0.718048632144928
