subset,size,band,seed,arm,K,r2,time,truth,err
rs00,1,1-4,0,cold,0,0.0,0.0,0.0354991443455219,-0.0354991443455219
rs00,1,1-4,0,cold,1,0.00031911334372125566,0.11609482765197754,0.0354991443455219,-0.03518003100180064
rs00,1,1-4,0,cold,2,0.0008161067962646484,0.11989450454711914,0.0354991443455219,-0.03468303754925725
rs00,1,1-4,0,cold,5,0.003168721916154027,0.12573623657226562,0.0354991443455219,-0.03233042242936787
rs00,1,1-4,0,cold,10,0.007004325743764639,0.1362144947052002,0.0354991443455219,-0.02849481860175726
rs00,1,1-4,0,cold,20,0.01512316893786192,0.15578007698059082,0.0354991443455219,-0.02037597540765998
rs00,1,1-4,0,cold,50,0.014761318452656269,0.2177433967590332,0.0354991443455219,-0.02073782589286563
rs00,1,1-4,0,cold,100,0.016185006126761436,0.3256347179412842,0.0354991443455219,-0.019314138218760463
rs00,1,1-4,0,cold,200,0.01922987960278988,0.5326159000396729,0.0354991443455219,-0.01626926474273202
rs00,1,1-4,0,cold,500,0.02821899950504303,1.1175427436828613,0.0354991443455219,-0.007280144840478869
rs00,1,1-4,0,warm_full,0,0.013102367520332336,0.0,0.0354991443455219,-0.022396776825189563
rs00,1,1-4,0,warm_full,1,0.009605780243873596,0.0026879310607910156,0.0354991443455219,-0.025893364101648303
rs00,1,1-4,0,warm_full,2,0.012034322135150433,0.0054590702056884766,0.0354991443455219,-0.023464822210371467
rs00,1,1-4,0,warm_full,5,0.01320629846304655,0.012285947799682617,0.0354991443455219,-0.02229284588247535
rs00,1,1-4,0,warm_full,10,0.014609158039093018,0.0224306583404541,0.0354991443455219,-0.02088998630642888
rs00,1,1-4,0,warm_full,20,0.014046445488929749,0.049710750579833984,0.0354991443455219,-0.02145269885659215
rs00,1,1-4,0,warm_full,50,0.016482243314385414,0.11632061004638672,0.0354991443455219,-0.019016901031136485
rs00,1,1-4,0,warm_full,100,0.01706649363040924,0.22629046440124512,0.0354991443455219,-0.01843265071511266
rs00,1,1-4,0,warm_full,200,0.01757795177400112,0.4476032257080078,0.0354991443455219,-0.017921192571520778
rs00,1,1-4,0,warm_full,500,0.027455821633338928,1.106414556503296,0.0354991443455219,-0.008043322712182971
rs00,1,1-4,0,warm_full_hi,0,0.013102367520332336,0.0,0.0354991443455219,-0.022396776825189563
rs00,1,1-4,0,warm_full_hi,1,0.0001643449068069458,0.0027353763580322266,0.0354991443455219,-0.03533479943871495
rs00,1,1-4,0,warm_full_hi,2,0.000809788703918457,0.005532264709472656,0.0354991443455219,-0.03468935564160344
rs00,1,1-4,0,warm_full_hi,5,0.0030920952558517456,0.013340473175048828,0.0354991443455219,-0.032407049089670154
rs00,1,1-4,0,warm_full_hi,10,0.010126863606274128,0.025237083435058594,0.0354991443455219,-0.02537228073924777
rs00,1,1-4,0,warm_full_hi,20,0.012060592882335186,0.04770922660827637,0.0354991443455219,-0.023438551463186713
