epoch,train_loss,test_loss,test_mse_all,test_mse_excluded
1,0.7148842990307487,0.7553504705429077,0.7553504705429077,
2,0.6258366718924001,0.6927104592323303,0.6927104592323303,
3,0.5927121544434993,0.6379972696304321,0.6379972696304321,
4,0.6100883506486867,0.6786221265792847,0.6786221265792847,
5,0.576701802868655,0.7456945776939392,0.7456945776939392,
6,0.574313457780062,0.7350107431411743,0.7350107431411743,
7,0.605829964914881,0.6721596717834473,0.6721596717834473,
8,0.5805967362209145,0.6118236780166626,0.6118236780166626,
9,0.5702825092391319,0.6197311282157898,0.6197311282157898,
10,0.5646204907641117,0.5922524333000183,0.5922524333000183,
11,0.5483334308669157,0.6036065816879272,0.6036065816879272,
12,0.5341379244905797,0.5769301056861877,0.5769301056861877,
13,0.5420174409709847,0.6146214604377747,0.6146214604377747,
14,0.5373553982953096,0.5671706795692444,0.5671706795692444,
15,0.5266993169068614,0.7215819954872131,0.7215819954872131,
16,0.5444815210148929,0.5555457472801208,0.5555457472801208,
17,0.5499265427539021,0.5537793040275574,0.5537793040275574,
18,0.5352541944200786,0.5933382511138916,0.5933382511138916,
19,0.5221938983784649,0.5548912286758423,0.5548912286758423,
20,0.5162364999098206,0.6042015552520752,0.6042015552520752,
21,0.5140656172047255,0.5339004397392273,0.5339004397392273,
22,0.5108104632243167,0.5462022423744202,0.5462022423744202,
23,0.513024073614485,0.5156357288360596,0.5156357288360596,
24,0.4994425654385339,0.5333823561668396,0.5333823561668396,
25,0.4980213211678451,0.5199183821678162,0.5199183821678162,
26,0.48759056040341364,0.5204057693481445,0.5204057693481445,
27,0.5071819640629482,0.5092278718948364,0.5092278718948364,
28,0.5152718394273869,0.5202308893203735,0.5202308893203735,
29,0.4972072945788785,0.5343703031539917,0.5343703031539917,
30,0.5143235321592001,0.51526939868927,0.51526939868927,
31,0.5097402337655234,0.5127914547920227,0.5127914547920227,
32,0.5023841766210703,0.5483022928237915,0.5483022928237915,
33,0.5017426246247486,0.6126011610031128,0.6126011610031128,
34,0.5131007930270777,0.4936559200286865,0.4936559200286865,
35,0.4792289372089512,0.5101273059844971,0.5101273059844971,
36,0.48695140075621246,0.5283529162406921,0.5283529162406921,
37,0.504975328831975,0.5196304321289062,0.5196304321289062,
38,0.49932853780454683,0.5140402317047119,0.5140402317047119,
39,0.4998174586452464,0.5118836760520935,0.5118836760520935,
40,0.49171750549138515,0.4861755073070526,0.4861755073070526,
41,0.4843299791596767,0.5005931258201599,0.5005931258201599,
42,0.485469214145746,0.5196980834007263,0.5196980834007263,
43,0.4862910720498818,0.5237193703651428,0.5237193703651428,
44,0.4862686181982817,0.5490249395370483,0.5490249395370483,
45,0.49443265613867426,0.5068717002868652,0.5068717002868652,
46,0.4694822484253538,0.5040053129196167,0.5040053129196167,
47,0.4812617071523311,0.48371782898902893,0.48371782898902893,
48,0.46564114015848973,0.4886895716190338,0.4886895716190338,
49,0.4651792303075144,0.47125646471977234,0.47125646471977234,
50,0.47352451326982675,0.48647594451904297,0.48647594451904297,
51,0.47924528882235423,0.4859224259853363,0.4859224259853363,
52,0.4736234504144211,0.47379377484321594,0.47379377484321594,
53,0.4564520915652392,0.5006459951400757,0.5006459951400757,
54,0.47042062490899256,0.4933284819126129,0.4933284819126129,
55,0.4681737298642298,0.5031378865242004,0.5031378865242004,
56,0.4586052834649937,0.49017348885536194,0.49017348885536194,
57,0.47207921699231736,0.501664936542511,0.501664936542511,
58,0.464796698750637,0.5251280665397644,0.5251280665397644,
59,0.4544910965310797,0.47054970264434814,0.47054970264434814,
60,0.458781455091257,0.4893055558204651,0.4893055558204651,
61,0.45672764057789944,0.5303941369056702,0.5303941369056702,
62,0.5078317698933091,0.5232251286506653,0.5232251286506653,
63,0.49407732690645734,0.5811306238174438,0.5811306238174438,
64,0.47952921920727737,0.5260510444641113,0.5260510444641113,
65,0.4648039357793126,0.5149374604225159,0.5149374604225159,
66,0.4782729439809188,0.5176964402198792,0.5176964402198792,
67,0.4784828623893552,0.46063631772994995,0.46063631772994995,
68,0.4459546033490273,0.4731939136981964,0.4731939136981964,
69,0.47326218066170833,0.5013189315795898,0.5013189315795898,
70,0.47300945587681903,0.48263731598854065,0.48263731598854065,
71,0.4634940871929494,0.5156969428062439,0.5156969428062439,
72,0.4446579449107689,0.47683101892471313,0.47683101892471313,
73,0.46011539677384894,0.4810587763786316,0.4810587763786316,
74,0.4599205590419246,0.46321332454681396,0.46321332454681396,
75,0.4433094322694416,0.47701990604400635,0.47701990604400635,
76,0.45448481275459135,0.49322113394737244,0.49322113394737244,
77,0.45496750969620775,0.47489967942237854,0.47489967942237854,
