feature,gate,pearson,spearman,kendall,nmi,distance_corr
da_as_as_req_mw_synchronized_reserve,0.7390482,0.68621504,0.6917735,0.57969517,1.0,0.7472102
da_as_as_req_mw_primary_reserve,0.73833203,0.69064945,0.70126647,0.549801,1.0,0.7473827
da_as_as_req_mw_thirty_minutes_reserve,0.7256398,0.6734359,0.6805638,0.58691597,0.80338216,0.7461157
da_as_nsr_mw_primary_reserve,0.70472497,0.6963306,0.5861381,0.46326506,0.69372016,0.6706814
gen_fuel_nuclear_mw,0.621845,0.42732716,0.41239986,0.30404776,0.28017476,0.41669163
da_as_mcp_primary_reserve,0.6124013,0.12875241,0.30576733,0.2225946,0.76206404,0.2296708
gen_fuel_gas_mw,0.5819124,0.29923087,0.31903267,0.20870352,0.099073924,0.34106648
forecast_load_mw_day_ahead,0.56390995,0.22034043,0.2278731,0.16562621,0.08613366,0.3000441
forecast_load_mw_latest_available,0.56349,0.2426396,0.2404983,0.16244236,0.0893144,0.2577233
total_pjm_rmpcp_cr,0.55909574,0.1877544,0.21103595,0.15672141,0.12879309,0.24196328
gen_fuel_coal_mw,0.55895114,0.22278507,0.19458112,0.12490357,0.11214698,0.26081404
da_as_mcp_synchronized_reserve,0.5580116,0.0947597,0.14584117,0.06721988,0.42215252,0.13340671
gen_fuel_gas_pct,0.5579515,0.2384267,0.21886744,0.13615137,0.06656156,0.25026402
gross_sched_interchange_mw,0.5499755,0.19699347,0.23158014,0.15141776,0.02697661,0.20428145
gen_fuel_other_renewables_mw,0.5489495,0.16816501,0.19179894,0.15278661,0.07211892,0.20334126
gen_fuel_multiple_fuels_pct,0.54840976,0.19539896,0.19198646,0.11705241,0.08407308,0.1827223
gen_fuel_coal_pct,0.54430175,0.14973088,0.14904474,0.109743126,0.07534603,0.2279138
gen_fuel_other_renewables_pct,0.5410255,0.16085857,0.13929848,0.09874402,0.07997013,0.18173273
gen_fuel_hydro_pct,0.5406714,0.17030263,0.14087442,0.094378404,0.07212615,0.17746064
rmpcp,0.53556323,0.094991446,0.15721875,0.09413024,0.091047764,0.15524016
gen_fuel_storage_mw,0.5335132,0.14569113,0.17074184,0.09472372,0.045863144,0.10854268
total_pjm_self_sched_reg,0.53243095,0.13598189,0.13132508,0.09926342,0.0325474,0.14811602
gen_fuel_wind_pct,0.5289098,0.11294429,0.095822826,0.073525675,0.041733347,0.16617781
gen_fuel_hydro_mw,0.5276554,0.09434207,0.0747125,0.047981706,0.07452014,0.17242806
gross_inadv_interchange_mw,0.52524024,0.118331395,0.09776632,0.08199091,0.021600934,0.122224055
gen_fuel_nuclear_pct,0.52518296,0.11152167,0.08230113,0.053159308,0.044355012,0.14150916
gen_fuel_multiple_fuels_mw,0.5235789,0.07210353,0.104633674,0.053026192,0.08538688,0.09852812
total_pjm_reg_purchases,0.5232412,0.08202087,0.07884673,0.048845876,0.09423172,0.09788759
gen_fuel_oil_mw,0.52277386,0.08664829,0.00045250362,0.013831168,0.1576348,0.110793136
total_pjm_assigned_reg,0.52251565,0.08833866,0.07285313,0.067490466,0.032506645,0.1387745
da_as_ss_mw_thirty_minutes_reserve,0.5216979,0.056855563,0.056095332,0.057092506,0.11753296,0.09004391
total_pjm_loc_credit,0.5202357,0.016826993,0.058465164,0.05904508,0.12181734,0.10591374
gen_fuel_oil_pct,0.520038,0.018131468,0.107761025,0.06594383,0.08254592,0.09868138
total_pjm_rmccp_cr,0.5199903,0.042112976,0.018289797,0.010578273,0.17744565,0.08734513
system_energy_price_da,0.51823854,0.00824153,0.109868415,0.074253686,0.05804803,0.10307353
gen_fuel_wind_mw,0.5164915,0.07010964,0.061795205,0.028518477,0.042896263,0.10622461
da_as_ss_mw_primary_reserve,0.51556015,0.029342027,0.036495302,0.023025747,0.12680392,0.070433356
net_inadv_interchange_mw,0.5147826,0.098867245,0.09658474,0.02513172,0.011530835,0.05920633
da_as_ss_mw_synchronized_reserve,0.51316535,0.022134256,0.024484115,0.0229038,0.11956664,0.06321361
gen_fuel_solar_mw,0.5125564,0.03945648,0.031116193,0.006579578,0.09783193,0.06838837
rmccp,0.5102469,0.040199414,0.042468652,0.01646372,0.04590845,0.07548395
total_lmp_rt,0.5082567,0.020713793,0.052572045,0.0010401043,0.060287587,0.058292154
marginal_loss_price_rt,0.5073509,0.014361949,0.020234007,0.01498289,0.07185168,0.05455657
gen_fuel_solar_pct,0.504939,0.013626571,0.017266987,0.011198303,0.041988067,0.060947556
